essential	patric
CDR20291_0003	645463.3.peg.1
CDR20291_0004A	645463.3.peg.881
CDR20291_0005	645463.3.peg.882
CDR20291_0036	645463.3.peg.883
CDR20291_0037	645463.3.peg.884
CDR20291_0038	645463.3.peg.885
CDR20291_0040	645463.3.peg.886
CDR20291_0041	645463.3.peg.887
CDR20291_0043	645463.3.peg.888
CDR20291_0051	645463.3.peg.889
CDR20291_0052	645463.3.peg.890
CDR20291_0053	645463.3.peg.891
CDR20291_0054	645463.3.peg.892
CDR20291_0055	645463.3.peg.893
CDR20291_0056	645463.3.peg.76
CDR20291_0057	645463.3.peg.894
CDR20291_0060	645463.3.peg.895
CDR20291_0061	645463.3.peg.896
CDR20291_0062	645463.3.peg.897
CDR20291_0063	645463.3.peg.77
CDR20291_0064	645463.3.peg.898
CDR20291_0065	645463.3.peg.899
CDR20291_0067	645463.3.peg.900
CDR20291_0068	645463.3.peg.901
CDR20291_0069	645463.3.peg.902
CDR20291_0070	645463.3.peg.78
CDR20291_0071	645463.3.peg.903
CDR20291_0072	645463.3.peg.904
CDR20291_0073	645463.3.peg.905
CDR20291_0074	645463.3.peg.906
CDR20291_0075	645463.3.peg.907
CDR20291_0076	645463.3.peg.908
CDR20291_0078	645463.3.peg.909
CDR20291_0079	645463.3.peg.910
CDR20291_0080	645463.3.peg.911
CDR20291_0081	645463.3.peg.912
CDR20291_0082	645463.3.peg.913
CDR20291_0083	645463.3.peg.914
CDR20291_0084	645463.3.peg.915
CDR20291_0085	645463.3.peg.916
CDR20291_0086	645463.3.peg.917
CDR20291_0087	645463.3.peg.918
CDR20291_0088	645463.3.peg.919
CDR20291_0089	645463.3.peg.79
CDR20291_0090	645463.3.peg.920
CDR20291_0091	645463.3.peg.921
CDR20291_0092	645463.3.peg.922
CDR20291_0093	645463.3.peg.923
CDR20291_0094	645463.3.peg.924
CDR20291_0095	645463.3.peg.925
CDR20291_0096	645463.3.peg.926
CDR20291_0097	645463.3.peg.927
CDR20291_0102	645463.3.peg.928
CDR20291_0103	645463.3.peg.929
CDR20291_0106	645463.3.peg.930
CDR20291_0107	645463.3.peg.931
CDR20291_0110	645463.3.peg.932
CDR20291_0118	645463.3.peg.933
CDR20291_0119	645463.3.peg.934
CDR20291_0122	645463.3.peg.80
CDR20291_0126	645463.3.peg.935
CDR20291_0127	645463.3.peg.936
CDR20291_0129	645463.3.peg.937
CDR20291_0142	645463.3.peg.938
CDR20291_0143	645463.3.peg.81
CDR20291_0149	645463.3.peg.939
CDR20291_0150	645463.3.peg.940
CDR20291_0173	645463.3.peg.941
CDR20291_0194	645463.3.peg.942
CDR20291_0195	645463.3.peg.943
CDR20291_0198	645463.3.peg.82
CDR20291_0338	645463.3.peg.944
CDR20291_0351	645463.3.peg.945
CDR20291_0374	645463.3.peg.946
CDR20291_0377	645463.3.peg.947
CDR20291_0382	645463.3.peg.948
CDR20291_0405A	645463.3.peg.949
CDR20291_0447A	645463.3.peg.83
CDR20291_0472	645463.3.peg.950
CDR20291_0481	645463.3.peg.951
CDR20291_0498	645463.3.peg.952
CDR20291_0500	645463.3.peg.84
CDR20291_0526	645463.3.peg.953
CDR20291_0554A	645463.3.peg.954
CDR20291_0581	645463.3.peg.955
CDR20291_0611	645463.3.peg.85
CDR20291_0612	645463.3.peg.956
CDR20291_0613	645463.3.peg.86
CDR20291_0622	645463.3.peg.957
CDR20291_0623	645463.3.peg.87
CDR20291_0625	645463.3.peg.958
CDR20291_0626	645463.3.peg.959
CDR20291_0627	645463.3.peg.960
CDR20291_0637	645463.3.peg.961
CDR20291_0645	645463.3.peg.88
CDR20291_0647	645463.3.peg.962
CDR20291_0697	645463.3.peg.963
CDR20291_0712	645463.3.peg.89
CDR20291_0725	645463.3.peg.964
CDR20291_0809	645463.3.peg.90
CDR20291_0828	645463.3.peg.965
CDR20291_0868	645463.3.peg.91
CDR20291_0896	645463.3.peg.966
CDR20291_0905	645463.3.peg.967
