gene	transcript	inclusion
b2690	0.0	100
b2923	0.0	0
b2519	0.0	100
b2518	2.0	100
b2926	10.0	100
b2927	1.0	100
b3350	0.0	0
b2697	11.0	0
b0414	1.0	100
b3829	15.0	0
b3453	0.0	0
b0417	1.0	100
b3455	2.0	0
b3454	2.0	0
b2515	2.0	100
b3359	4.0	0
b4079	0.0	0
b4177	8.0	0
b1539	2.0	0
b4072	0.0	100
b4073	0.0	100
b4070	0.0	100
b4071	0.0	100
b4077	0.0	100
b3825	0.0	0
b2215	28.0	100
b3182	0.0	100
b2210	3.0	0
b3826	0.0	0
b2199	0.0	0
b2198	0.0	0
b2197	0.0	0
b0199	1.0	100
b2925	14.0	0
b3189	3.0	100
b3734	29.0	100
b0521	0.0	100
b3736	11.0	100
b3737	3.0	100
b3730	4.0	100
b3731	4.0	100
b3732	18.0	100
b3733	11.0	100
b0529	1.0	0
b0480	1.0	0
b3738	6.0	100
b3739	1.0	100
b2601	5.0	0
b0484	4.0	0
b2174	0.0	0
b3222	0.0	0
b3452	0.0	0
b2170	0.0	0
b0411	3.0	100
b2997	0.0	0
b2996	0.0	0
b2995	0.0	0
b2994	0.0	0
b3918	0.0	0
b3850	0.0	100
b0047	0.0	0
b0864	1.0	0
b1897	0.0	0
b3915	1.0	0
b3916	3.0	0
b2587	12.0	100
b2582	0.0	0
b4476	0.0	0
b4477	0.0	0
b4474	0.0	0
b4471	0.0	0
b2600	3.0	0
b4478	0.0	0
b0242	2.0	0
b2103	1.0	0
b2104	1.0	0
b3040	0.0	100
b3451	0.0	0
b2458	0.0	100
b0862	0.0	0
b1096	0.0	100
b1095	7.0	100
b1094	10.0	100
b1093	6.0	100
b1092	5.0	100
b1091	4.0	0
b1090	2.0	0
b1098	0.0	100
b3450	0.0	0
b4407	0.0	0
b2710	0.0	0
b1800	0.0	0
b1801	0.0	0
b1805	0.0	100
b0907	10.0	100
b2497	3.0	0
b0452	0.0	100
b1850	1.0	0
b0418	0.0	100
b4374	0.0	0
b1533	1.0	0
b0896	0.0	0
b2779	22.0	100
b2029	14.0	100
b4213	0.0	100
b1270	0.0	0
b1277	1.0	100
b0778	0.0	0
b3578	0.0	0
b3579	0.0	0
b0775	1.0	0
b0774	0.0	0
b0777	0.0	0
b0776	0.0	0
b3572	3.0	0
b1377	0.0	100
b3571	0.0	0
b1677	36.0	0
b0415	1.0	100
b3172	11.0	0
b1858	0.0	0
b3176	2.0	100
b3177	1.0	100
b2802	0.0	0
b4367	3.0	0
b1651	1.0	0
b0709	0.0	0
b1876	2.0	0
b2551	13.0	100
b1873	0.0	0
b1656	2.0	0
b3073	2.0	0
b2481	0.0	0
b0875	0.0	100
b0343	0.0	0
b0870	1.0	0
b0871	1.0	0
b2143	0.0	0
b4136	0.0	0
b2388	1.0	0
b3708	0.0	100
b3255	4.0	100
b0511	0.0	100
b0049	0.0	0
b0512	0.0	100
b0514	0.0	0
b4139	1.0	0
b4138	1.0	0
b1479	3.0	0
b1478	1.0	100
b1326	0.0	0
b1773	0.0	0
b0680	5.0	0
b1473	0.0	100
b1475	0.0	0
b0684	1.0	100
b1778	1.0	0
b1476	0.0	0
b2258	0.0	0
b2310	1.0	0
b2312	6.0	0
b2315	1.0	100
b3384	3.0	0
b3386	1.0	0
b3389	3.0	0
b2251	0.0	0
b3457	2.0	0
b2253	0.0	0
b2254	0.0	0
b2255	0.0	0
b2256	0.0	0
b2257	0.0	0
b1484	0.0	100
b1485	0.0	100
b3735	6.0	100
b1487	0.0	100
b0179	5.0	0
b1483	0.0	100
b3770	2.0	0
b3771	3.0	0
b0175	1.0	100
b0174	2.0	100
b0678	0.0	0
b1489	0.0	0
b0171	2.0	100
b0425	0.0	0
b0356	0.0	100
b2429	0.0	0
b2428	0.0	0
b0421	1.0	100
b0526	1.0	0
b0351	0.0	100
b3957	2.0	0
b3456	4.0	0
b2422	2.0	100
b2818	3.0	0
b2132	1.0	0
b0429	2.0	100
b0428	5.0	100
b2425	2.0	100
b3409	1.0	0
b1243	10.0	100
b0194	7.0	0
b0197	5.0	100
b3792	0.0	0
b4006	5.0	0
b4005	4.0	0
b1054	0.0	0
b2957	0.0	0
b0198	0.0	100
b0052	1.0	100
b3816	1.0	100
b2903	4.0	0
b3927	0.0	0
b0954	2.0	100
b0451	1.0	0
b0904	1.0	100
b0902	0.0	100
b0903	17.0	100
b3526	0.0	0
b2557	11.0	0
b0459	0.0	0
b3417	2.0	0
b3496	0.0	0
b2552	0.0	0
b0908	4.0	100
b2045	0.0	0
b1059	1.0	0
b0974	0.0	0
b2019	3.0	0
b2724	0.0	0
b0957	84.0	0
b2049	0.0	0
b2048	0.0	0
b2722	0.0	0
b2723	0.0	0
b3925	0.0	0
b3924	0.0	100
b0221	1.0	0
b3926	0.0	0
b3416	2.0	0
b2240	0.0	100
b1702	6.0	0
b1250	0.0	100
b0755	6.0	100
b2153	3.0	100
b0114	28.0	0
b3607	1.0	0
b3012	1.0	0
b3612	5.0	100
b3600	1.0	0
b0344	0.0	0
b2423	1.0	100
b0972	0.0	0
b1704	1.0	0
b0655	2.0	0
b1101	16.0	0
b1606	0.0	100
b1605	0.0	100
b1602	12.0	100
b1603	15.0	100
b1600	0.0	0
b0653	0.0	0
b2095	27.0	0
b2284	4.0	100
b1709	0.0	100
b0657	1.0	0
b0031	2.0	0
b0832	0.0	100
b0830	1.0	100
b0831	0.0	100
b0837	0.0	0
b1288	6.0	100
b0839	1.0	100
b3857	0.0	100
b3856	0.0	100
b2835	0.0	0
b0420	2.0	100
b3919	6.0	100
b1302	0.0	0
b1301	0.0	0
b1300	0.0	0
b3198	1.0	0
b3199	1.0	0
b4544	0.0	0
b3580	0.0	0
b3196	0.0	100
b3197	1.0	0
b2803	0.0	0
b3588	0.0	0
b4381	0.0	0
b4382	1.0	0
b4383	2.0	100
b4384	1.0	0
b4386	0.0	100
b1896	1.0	0
b1732	2.0	0
b4262	1.0	0
b4261	1.0	0
b4260	2.0	0
b1734	0.0	0
b2149	0.0	0
b3917	0.0	100
b3941	0.0	100
b2682	1.0	100
b3412	0.0	0
b0887	1.0	0
b0886	1.0	0
b0733	2.0	0
b0732	0.0	0
b0734	1.0	0
b3542	1.0	100
b0630	0.0	0
