gene	transcript	inclusion
b2690	0.0	1
b2923	0.0	0
b2519	0.0	1
b2518	0.0	1
b2926	11.0	1
b2927	2.0	1
b3350	0.0	0
b2697	8.0	0
b0414	1.0	1
b3829	20.0	0
b3453	0.0	0
b0417	0.0	1
b3455	1.0	0
b3454	1.0	0
b2515	3.0	1
b3359	0.0	0
b4079	12.0	0
b4177	23.0	0
b1539	3.0	0
b4072	0.0	1
b4073	0.0	1
b4070	1.0	1
b4071	0.0	1
b4077	1.0	0
b3825	1.0	0
b2215	78.0	1
b3182	0.0	1
b2210	0.0	0
b3826	1.0	0
b2199	0.0	0
b2198	0.0	0
b2197	0.0	0
b0199	2.0	1
b2925	15.0	0
b3189	2.0	1
b3734	8.0	1
b0521	0.0	1
b3736	3.0	1
b3737	1.0	1
b3730	3.0	1
b3731	2.0	1
b3732	6.0	1
b3733	3.0	1
b0529	1.0	1
b0480	1.0	0
b3738	2.0	1
b3739	0.0	1
b2601	1.0	0
b0484	45.0	0
b2174	0.0	0
b3222	0.0	0
b3452	0.0	0
b2170	0.0	0
b0411	0.0	1
b2997	3.0	0
b2996	4.0	0
b2995	1.0	0
b2994	2.0	0
b3918	0.0	0
b3850	0.0	1
b0047	0.0	0
b0864	0.0	0
b1897	1.0	0
b3915	1.0	0
b3916	6.0	0
b2587	2.0	1
b2582	0.0	1
b4476	0.0	1
b4477	0.0	0
b4474	0.0	0
b4471	0.0	0
b2600	0.0	0
b4478	0.0	0
b0242	3.0	0
b2103	0.0	0
b2104	1.0	0
b3040	1.0	1
b3451	0.0	0
b2458	0.0	1
b0862	0.0	0
b1096	0.0	1
b1095	5.0	0
b1094	7.0	1
b1093	4.0	0
b1092	2.0	0
b1091	2.0	0
b1090	1.0	0
b1098	0.0	1
b3450	0.0	0
b4407	0.0	0
b2710	0.0	0
b1800	0.0	0
b1801	0.0	0
b1805	0.0	0
b0907	10.0	1
b2497	0.0	0
b0452	0.0	1
b1850	1.0	0
b0418	1.0	1
b4374	0.0	0
b1533	0.0	0
b0896	0.0	0
b2779	33.0	1
b2029	7.0	0
b4213	0.0	0
b1270	0.0	0
b1277	1.0	1
b0778	0.0	0
b3578	0.0	0
b3579	0.0	0
b0775	1.0	0
b0774	0.0	0
b0777	0.0	0
b0776	1.0	0
b3572	1.0	0
b1377	0.0	1
b3571	0.0	0
b1677	38.0	0
b0415	1.0	1
b3172	1.0	0
b1858	0.0	0
b3176	2.0	1
b3177	0.0	1
b2802	0.0	0
b4367	0.0	0
b1651	1.0	0
b0709	0.0	0
b1876	1.0	0
b2551	14.0	1
b1873	0.0	1
b1656	3.0	0
b3073	1.0	0
b2481	0.0	0
b0875	0.0	1
b0343	0.0	0
b0870	1.0	1
b0871	3.0	0
b2143	1.0	0
b4136	0.0	0
b2388	1.0	0
b3708	0.0	1
b3255	2.0	1
b0511	0.0	1
b0049	1.0	0
b0512	0.0	1
b0514	0.0	0
b4139	1.0	0
b4138	2.0	0
b1479	1.0	0
b1478	0.0	1
b1326	1.0	0
b1773	0.0	0
b0680	4.0	0
b1473	0.0	1
b1475	0.0	0
b0684	1.0	1
b1778	0.0	0
b1476	0.0	0
b2258	0.0	0
b2310	0.0	0
b2312	1.0	0
b2315	0.0	1
b3384	2.0	0
b3386	1.0	0
b3389	2.0	0
b2251	0.0	0
b3457	1.0	0
b2253	0.0	0
b2254	0.0	0
b2255	1.0	0
b2256	0.0	0
b2257	0.0	0
b1484	0.0	1
b1485	0.0	1
b3735	1.0	1
b1487	0.0	1
b0179	6.0	0
b1483	0.0	1
b3770	17.0	0
b3771	36.0	0
b0175	1.0	1
b0174	1.0	1
b0678	0.0	0
b1489	0.0	0
b0171	1.0	1
b0425	1.0	0
b0356	0.0	1
b2429	0.0	0
b2428	0.0	0
b0421	1.0	1
b0526	1.0	0
b0351	0.0	1
b3957	1.0	0
b3456	1.0	0
b2422	3.0	1
b2818	0.0	0
b2132	1.0	0
b0429	0.0	0
b0428	0.0	1
b2425	3.0	1
b3409	3.0	0
b1243	75.0	0
b0194	3.0	0
b0197	4.0	1
b3792	1.0	0
b4006	1.0	0
b4005	0.0	0
b1054	0.0	0
b2957	0.0	0
b0198	1.0	1
b0052	1.0	1
b3816	1.0	1
b2903	6.0	0
b3927	0.0	1
b0954	2.0	0
b0451	0.0	1
b0904	3.0	1
b0902	1.0	1
b0903	100.0	1
b3526	0.0	0
b2557	3.0	0
b0459	0.0	0
b3417	1.0	0
b3496	1.0	0
b2552	0.0	0
b0908	6.0	1
b2045	0.0	0
b1059	1.0	0
b0974	12.0	0
b2019	1.0	0
b2724	1.0	0
b0957	47.0	0
b2049	0.0	0
b2048	0.0	0
b2722	1.0	0
b2723	2.0	0
b3925	0.0	0
b3924	1.0	1
b0221	0.0	1
b3926	0.0	0
b3416	1.0	0
b2240	0.0	1
b1702	3.0	0
b1250	1.0	1
b0755	1.0	1
b2153	2.0	1
b0114	40.0	0
b3607	1.0	0
b3012	1.0	0
b3612	9.0	1
b3600	1.0	0
b0344	0.0	0
b2423	1.0	1
b0972	34.0	0
b1704	1.0	0
b0655	1.0	0
b1101	4.0	0
b1606	0.0	1
b1605	0.0	1
b1602	4.0	1
b1603	5.0	1
b1600	0.0	0
b0653	0.0	0
b2095	9.0	0
b2284	2.0	1
b1709	1.0	1
b0657	1.0	0
b0031	1.0	0
b0832	1.0	1
b0830	1.0	1
b0831	0.0	1
b0837	0.0	0
b1288	3.0	0
b0839	2.0	1
b3857	0.0	1
b3856	0.0	1
b2835	0.0	0
b0420	2.0	1
b3919	9.0	1
b1302	0.0	0
b1301	0.0	0
b1300	0.0	0
b3198	1.0	0
b3199	1.0	0
b4544	0.0	0
b3580	0.0	0
b3196	0.0	1
b3197	1.0	0
b2803	0.0	0
b3588	0.0	0
b4381	1.0	0
b4382	1.0	0
b4383	3.0	1
b4384	1.0	0
b4386	0.0	1
b1896	2.0	0
b1732	2.0	0
b4262	2.0	0
b4261	1.0	0
b4260	1.0	1
b1734	0.0	0
b2149	0.0	0
b3917	0.0	1
b3941	1.0	1
b2682	1.0	1
b3412	0.0	0
b0887	0.0	0
b0886	1.0	0
b0733	7.0	0
b0732	0.0	0
b0734	6.0	0
b3542	0.0	1
b0630	1.0	0
b0632	1.0	1
b3006	0.0	1
b3093	0.0	0
b0888	1.0	1
b0469	1.0	0
b3360	0.0	1
b3367	0.0	0
b3366	0.0	0
b3365	1.0	0
b2917	0.0	0
b0019	2.0	0
b0463	1.0	0
b2914	1.0	1
b2661	1.0	0
b2912	0.0	0
b2663	0.0	1
b2662	1.0	0
b3693	0.0	0
b3691	0.0	0
b4169	1.0	0
b1263	1.0	0
b4160	3.0	1
b4161	2.0	0
b2261	1.0	1
b2260	0.0	1
b2263	0.0	1
b2262	1.0	1
b2265	1.0	0
b2264	1.0	1
b3428	5.0	0
b4034	0.0	0
b0124	1.0	0
b0125	1.0	0
b0126	2.0	1
b0040	0.0	0
b0120	1.0	0
b3744	0.0	0
