metabolite	iCdG700_sim	Cd630_biolog	iCdR700_sim	CdR20291_biolog
cpd00383	1.0	1.242	1.0	1.175
cpd00162	5.72152704135737	1.527	1.0	1.510
cpd00438	5.72152704135737	1.441	1.0	1.683
cpd00654	5.72152704135737	1.439	1.0	1.381
cpd00277	5.72152704135737	1.303	1.0	1.255
cpd03279	5.72152704135737	1.340	1.0	1.294
cpd00412	5.72152704135737	1.520	1.0	1.462
cpd00136	5.72152704135737	1.251	1.0	1.422
cpd00339	5.72152704135737	1.652	1.0	1.382
cpd00027	5.72152704135737	1.242	1.0	1.252
cpd00208	5.72152704135737	1.637	1.0	1.668
cpd03561	0.9841640155531991	1.567	1.105945945945946	1.543
cpd00029	5.72152704135737	1.033	1.0	1.197
cpd00142	5.72152704135737	0.976	1.0	1.284
cpd00182	5.72152704135737	1.731	1.0	1.788
cpd00152	0	1.816	1.0	1.424
cpd29695	5.72152704135737	1.066	1.0	1.106
cpd29696	5.72152704135737	0.898	1.0	0.986
cpd11586	5.72152704135737	0.922	1.0	1.095
cpd29694	5.72152704135737	1.188	1.0	1.370
cpd29697	5.72152704135737	1.004	1.0	1.138
cpd29698	5.72152704135737	1.418	1.0	1.216
cpd11582	5.72152704135737	1.207	1.0	1.148
cpd03697	0	2.116	0	1.630
cpd00085	0	1.434	1.0	1.420
cpd00211	5.72152704135737	1.363	1.0	1.616
cpd00098	0	1.156	1.0	1.199
cpd00137	0	0.963	0	0.966
cpd00424	5.72152704135737	1.146	1.0	3.073
cpd00367	5.72152704135737	1.410	1.0	1.329
cpd00307	5.72152704135737	1.463	1.0	1.329
cpd00731	5.72152704135737	1.293	1.0	1.472
cpd29694	5.72152704135737	1.336	1.0	1.508
cpd29698	5.72152704135737	1.547	1.0	1.563
cpd00117	5.72152704135737	1.447	1.0	1.311
cpd00339	5.72152704135737	1.339	1.0	1.573
cpd00320	5.72152704135737	1.340	1.0	1.245
cpd00158	5.72152704135737	2.294	1.0	2.317
cpd00082	5.72152704135737	2.057	1.0	2.096
