Exchange reaction ID	Substrate	Median optimal flux	significance
EX_cpd00276_e	D-Glucosamine	38.55364216928443	NA
EX_cpd00001_e	H2O	-282.91146676683513	NA
EX_cpd00023_e	L-Glutamate	-12.794553545246401	n.s.
EX_cpd00971_e	Na+	-0.06568045967708258	n.s.
EX_cpd00051_e	L-Arginine	-4.203549419382966	n.s.
EX_cpd10515_e	Fe2+	-0.06568045967793523	n.s.
EX_cpd00009_e	Phosphate	-37.59787406588492	n.s.
EX_cpd00060_e	L-Methionine	-3.54674482260441	n.s.
EX_cpd00067_e	H+	-748.1575868127383	*
EX_cpd00122_e	N-Acetyl-D-glucosamine	650.0812673544357	n.s.
EX_cpd00035_e	L-Alanine	-559.1915895760892	n.s.
EX_cpd00220_e	Riboflavin	-0.07224850564557528	n.s.
EX_cpd00117_e	D-Alanine	-68.96448266175287	n.s.
EX_cpd00307_e	Cytosine	224.003207731339	n.s.
EX_cpd00254_e	Mg	-0.0656804596777647	n.s.
EX_cpd00205_e	K+	-0.06568045967793523	n.s.
EX_cpd00065_e	L-Tryptophan	-0.8407098838765705	n.s.
EX_cpd00149_e	Co2+	-0.0656804596777647	n.s.
EX_cpd00099_e	Cl-	-0.0656804596777647	n.s.
EX_cpd00104_e	Biotin	-0.06568045967793523	n.s.
EX_cpd00011_e	CO2	874.1726424397864	n.s.
EX_cpd00063_e	Ca2+	-0.0656804596777647	n.s.
EX_cpd00156_e	L-Valine	-8.617276309735189	n.s.
EX_cpd00039_e	L-Lysine	-31.710525932470716	n.s.
EX_cpd00393_e	Folate	-0.06568045967787839	n.s.
EX_cpd00322_e	L-Isoleucine	-907.6788368319437	n.s.
EX_cpd00030_e	Mn2+	-0.0656804596777647	n.s.
EX_cpd00084_e	L-Cysteine	-1.766804365334508	n.s.
EX_cpd00644_e	Pantothenate	-0.13792896532339682	n.s.
EX_cpd00263_e	Pyridoxol	-0.06568045967793523	n.s.
EX_cpd00232_e	N-Acetyl-Neuraminic acid	-601.507739483399	n.s.
EX_cpd00492_e	N-Acetyl-D-mannosamine	10.906134307207694	NA
EX_cpd00107_e	L-Leucine	-11.9538436613704	n.s.
EX_cpd00069_e	L-Tyrosine	-5.464614245197822	n.s.
EX_cpd00066_e	L-Phenylalanine	-5.7536082677804075	n.s.
EX_cpd00567_e	D-Proline	-3.599289190346667	n.s.
EX_cpd00119_e	L-Histidine	-1.7865085032377692	n.s.
EX_cpd00132_e	L-Asparagine	-8.459643206508247	n.s.
EX_cpd00054_e	L-Serine	-118.37017684626848	n.s.
EX_cpd00161_e	L-Threonine	-6.515501600043649	n.s.
EX_cpd00041_e	L-Aspartate	-28.761473292938206	n.s.
EX_cpd19585_e	2-Methylbutyrate	894.1849929487972	n.s.
EX_cpd00029_e	Acetate	999.9999999999711	n.s.
EX_cpd00013_e	Ammonia	810.65012843563	*
EX_cpd00133_e	Nicotinamide	-0.3284022983884256	n.s.
EX_cpd00047_e	Formate	727.6191468693679	n.s.
EX_cpd00311_e	Guanosine	-471.2073595085681	n.s.
EX_cpd00182_e	Adenosine	-236.5731059632264	NA
EX_cpd00654_e	Deoxycytidine	-2.068934479852487	n.s.
EX_cpd00412_e	Deoxyuridine	-236.11548185671757	n.s.
EX_cpd00438_e	Deoxyadenosine	244.51598327073873	n.s.
EX_cpd00186_e	D-Glutamate	-39.40827580671589	n.s.
EX_cpd00207_e	Guanine	467.8335302823342	n.s.
