	minimum	maximum
rxn03408_c	17.813494849902668	22.26686856245749
rxn00519_c	202.50974728531367	253.13718410754075
rxn00258_c	330.56240182323575	1000.0
rxn01547_c	-7.57073531123558	-6.056588248966932
rxn04996_c	18.407278011566273	23.0090975145394
rxn00678_c	-398.2592134740154	746.0659376071292
rxn00001_c	401.7418115182446	502.17726439959057
rxn01322_c	-8.93112091441208	1000.0
rxn12512_c	0.06531614778229065	0.08164518473181895
rxn08669_c	-0.018555723802251123	-0.014844579041778161
rxn00225_c	-991.0932525750487	-356.30477959202244
rxn00148_c	-417.56524026965894	-9.901334220744427
rxn05569_c	119.95278872201611	999.9999999999998
rxn00100_c	0.06531614778251532	0.08164518473137407
rxn05560_c	0.014844579039731798	673.6595609835422
rxn05158_c	0.0	654.1113834102663
rxn08976_c	-1000.0000000000002	-1.1368683772161603e-13
rxn05298_c	53.440484549698795	66.80060568737122
rxn03903_c	17.81349484990278	22.266868562457148
rxn00097_c	0.0	374.5907079224475
rxn00692_c	-988.1243367667269	-191.76614405804025
rxn00926_c	-4.245549605934002	-3.3964396847168246
rxn00171_c	-989.3480659394496	-11.875663233267929
rxn03958_c	-253.1000726599376	-202.48005812722454
rxn10060_c	-3.7111447604096863	-2.968915808317004
rxn05617_c	-999.9999999999997	1000.0
rxn00305_c	0.05937831616634034	0.07422289520819253
rxn05234_c	1.48445790415852	1.8555723802048127
rxn05938_c	-9.890754881780595e-12	1000.0
rxn05555_c	0.0593783161663419	0.0742228952081921
rxn09111_c	0.014844579041550787	0.01855572380202375
rxn00707_c	-253.1371841075378	-202.50974728532196
rxn00392_c	0.005937831616634199	0.0074113229873424445
rxn00747_c	-535.8763177500057	-104.72553622257055
rxn05219_c	5.937831616634173	7.422289520819107
rxn02175_c	0.065316147783289	0.08164518473005658
rxn02009_c	17.81349484990211	22.26686856245719
rxn01505_c	72.44154572293462	90.5519321539922
rxn00737_c	0.0	977.4724027061931
rxn00213_c	-45.27596607699627	-36.22077286146862
rxn05655_c	36.30984033571792	45.38730041980875
rxn04043_c	-273.65757099278176	121.61271049600066
rxn03910_c	202.4800581272309	253.10007265993602
rxn04794_c	0.0	977.4724027061734
rxn03886_c	-1000.0000000000005	1000.0
rxn00786_c	-273.6575709927856	121.61271049600532
rxn03908_c	202.48005812722838	253.10007265993573
rxn05485_c	-927.5584542770642	-47.51124299911078
rxn10114_c	0.0	1000.0
rxn05496_c	47.50265293307166	59.37831616655251
rxn00527_c	-7.422289520819163	-5.937831616634298
