reaction	linear_coefficient
rxn07841_c	0.7143031019106143
rxn02201_c	0.7143031019106143
rxn02200_c	0.7143031019106143
rxn07842_c	0.7143031019106143
rxn00836_c	0.9450582911661004
rxn00915_c	0.9450582911661004
rxn00390_c	0.7143031019106143
rxn00938_c	0.7143031019106143
rxn00345_c	0.7143031019106143
rxn00376_c	0.7143031019106143
rxn02230_c	1.0
rxn02229_c	1.0
rxn00423_c	0.9450582911661004
rxn00364_c	0.9450582911661004
rxn01219_c	0.9450582911661004
rxn00707_c	0.9450582911661004
rxn03408_c	0.5934313303229275
peptidoglycan_rxn	0.5934313303229275
rxn03933_c	0.5934313303229275
rxn02177_c	1.0
rxn00141_c	1.0
rxn00988_c	1.0
rxn09449_c	1.0
rxn05736_c	1.0
rxn09448_c	1.0
rxn09450_c	1.0
rxn00947_c	1.0
rxn03861_c	0.08796753613240471
rxn01452_c	0.08796753613240471
rxn00575_c	0.9450582911661004
rxn00022_c	0.9450582911661004
rxn00973_c	1.0
rxn00974_c	1.0
rxn01388_c	1.0
rxn04031_c	1.0
rxn00405_c	1.0
rxn00346_c	1.0
rxn01231_c	1.0
rxn00194_c	1.0
rxn00322_c	1.0
rxn05452_c	0.5824429764030398
rxn05454_c	0.5824429764030398
rxn05453_c	0.5824429764030398
rxn05455_c	0.5824429764030398
rxn05408_c	0.5824429764030398
rxn05465_c	0.5824429764030398
rxn05358_c	0.5824429764030398
rxn05458_c	0.5824429764030398
rxn05383_c	0.5824429764030398
rxn05459_c	0.5824429764030398
rxn05457_c	0.5824429764030398
rxn05456_c	0.5824429764030398
rxn05451_c	0.5824429764030398
rxn10283_c	1.0
rxn10271_c	1.0
rxn10273_c	1.0
rxn10286_c	1.0
rxn10278_c	1.0
rxn10284_c	1.0
rxn10282_c	1.0
rxn10285_c	1.0
rxn10275_c	1.0
rxn10287_c	1.0
rxn10288_c	1.0
rxn10277_c	1.0
rxn10279_c	1.0
rxn10276_c	1.0
rxn10274_c	1.0
rxn10280_c	1.0
rxn10281_c	1.0
rxn10272_c	1.0
rxn03365_c	0.5934313303229275
rxn04744_c	0.5934313303229275
rxn04271_c	0.5934313303229275
rxn02107_c	0.5934313303229275
rxn01851_c	0.5934313303229275
rxn03915_c	0.5934313303229275
rxn07885_c	0.5934313303229275
rxn04723_c	0.5934313303229275
rxn03366_c	0.5934313303229275
rxn04727_c	0.5934313303229275
rxn07876_c	0.5934313303229275
rxn02687_c	0.5934313303229275
rxn05126_c	0.5934313303229275
rxn00532_c	0.5934313303229275
rxn04658_c	0.5934313303229275
rxn04270_c	0.5934313303229275
rxn03921_c	0.5934313303229275
rxn05127_c	0.5934313303229275
rxn07875_c	0.5934313303229275
rxn01643_c	0.5934313303229275
rxn04737_c	0.5934313303229275
rxn03618_c	0.5934313303229275
rxn05396_c	0.5604662685632645
rxn05348_c	0.5604662685632645
rxn05375_c	0.5604662685632645
rxn05343_c	0.5604662685632645
rxn05404_c	0.5604662685632645
rxn05345_c	0.5604662685632645
rxn05359_c	0.5604662685632645
rxn05388_c	0.5604662685632645
rxn05421_c	0.5604662685632645
rxn05409_c	0.5604662685632645
rxn05425_c	0.5604662685632645
rxn05392_c	0.5604662685632645
rxn05460_c	0.5604662685632645
rxn05347_c	0.5604662685632645
rxn05350_c	0.5604662685632645
rxn05384_c	0.5604662685632645
rxn05400_c	0.5604662685632645
rxn05429_c	0.5604662685632645
