	minimum	maximum
rxn03408_c	18.065273159591015	22.58159145045113
rxn00519_c	205.37204703595364	256.715058805883
rxn00258_c	-150.16702585050928	1000.0
rxn01547_c	-7.677741093153486	-6.1421928742609
rxn04996_c	18.66744893157749	23.33431116546636
rxn00539_c	0.0	1000.0
rxn00678_c	-358.6390505656748	986.8856278788488
rxn00001_c	407.4200838105387	509.27510478487955
rxn01322_c	-52.52417720698932	1000.0
rxn01297_c	6.142192874260786	7.677741093153259
rxn12512_c	0.0662393349221252	0.08279916865141818
rxn08669_c	-0.018817992875369782	-0.015054394299454543
rxn00225_c	-992.4728028501705	-198.5649400885612
rxn00148_c	-147.46657390145802	-117.97325911613707
rxn05569_c	-178.07705506900027	1000.0
rxn00100_c	0.06623933492004336	0.08279916865111858
rxn05560_c	0.015054394299681917	0.01881799287514241
rxn05158_c	214.86032994988346	268.5754124488006
rxn08976_c	-1000.0000000000002	-1.1368683772161603e-13
rxn05298_c	54.195819478777366	67.74477435135441
rxn00292_c	-45.91590261623157	-36.732722091169784
rxn03903_c	18.065273159590447	22.581591450451015
rxn00097_c	222.43168665632166	278.0396083322567
rxn00692_c	-987.9564845602769	-112.83142491396416
rxn00926_c	-4.305556769889222	-3.4444454157655855
rxn00171_c	-971.4143762122109	986.4510451303134
rxn03958_c	-256.6774228201281	-205.34193824735428
rxn10060_c	-3.7635985750752368	-3.0108788599318355
rxn05617_c	-999.9999999999998	789.6199436800108
rxn00305_c	0.06021757719863682	0.07527197150150416
rxn10131_c	-993.978242280136	-2.2737367544323206e-13
rxn05938_c	7.787548383930698e-12	1000.0
rxn05555_c	0.06021757719863713	0.07527197150150444
rxn09111_c	0.015054394299681917	0.018817992875369782
rxn00471_c	0.0	993.9782422801366
rxn00707_c	-256.71505880587995	-205.37204703595353
rxn00392_c	0.006021757719863646	0.0075122440770110845
rxn00747_c	-267.6721487907812	-214.1377190234998
rxn05219_c	6.02175771986367	7.527197150150454
rxn02175_c	0.06623933491735627	0.08279916864898221
rxn02009_c	18.065273159590877	22.581591450451192
rxn00555_c	-7.527197150150414	-6.021757719863672
rxn01505_c	36.732722091167375	45.915902615916025
rxn00737_c	0.0	987.9564845602696
