rep	area	perimeter	variant	condition
1	251687	3765.038	smooth	no_gluc
2	177118	3061.692	smooth	no_gluc
3	217801	3500.462	smooth	no_gluc
4	188297	3374.86	smooth	no_gluc
5	213143	3161.515	smooth	no_gluc
1	151580	1694.549	smooth	gluc
2	157202	2013.793	smooth	gluc
3	137323	1750.784	smooth	gluc
4	122345	1595.511	smooth	gluc
1	477909	10396.545	rough	no_gluc
2	387596	9907.034	rough	no_gluc
3	610400	10428.914	rough	no_gluc
4	503419	10056.767	rough	no_gluc
1	496275	5522.649	rough	gluc
2	669828	6746.599	rough	gluc
3	671377	7276.437	rough	gluc
4	1051546	9496.279	rough	gluc
1	222915	2097.827	smooth	bhi
2	208160	2260.006	smooth	bhi
3	199484	2256.191	smooth	bhi
4	225424	2455.371	smooth	bhi
5	170724	1901.361	smooth	bhi
1	794276	13415.404	rough	bhi
2	744477	10574.214	rough	bhi
3	748995	9859.422	rough	bhi
4	788835	11753.402	rough	bhi
