metabolite	group	iCdG693	iCdR700	Karasawa_et_al_(1995)	Karlsson_et_al_(1999)
Tryptophan	Amino_acid	1	1	0	1
Methionine	Amino_acid	0	0	0	1
Isoleucine	Amino_acid	1	0	1	1
Proline	Amino_acid	1	1	1	1
Valine	Amino_acid	1	1	1	1
Leucine	Amino_acid	1	1	1	1
Cysteine	Amino_acid	1	1	1	1
Biotin	Vitamin	1	1	1	1
Pyridoxine	Vitamin	1	1	1	1
Pantothenate	Vitamin	0	0	1	1
Na+	Mineral	1	1	1	1
Fe2+	Mineral	1	1	1	1
Mg	Mineral	1	1	1	1
K+	Mineral	1	1	1	1
Co2+	Mineral	1	1	1	1
Cl-	Mineral	1	1	1	1
Mn2+	Mineral	1	1	1	1
Ca	Mineral	0	0	1	1
