gene	pfba	lb_aerobic	m9_aerobic	m9_anaerobic
b0007	2	0	0	0
b3945	0	2	0	0
b0511	0	0	0	2
b0767	0	0	2	2
b0512	0	0	0	2
b0411	2	2	0	2
b0517	0	0	0	2
b2143	0	0	2	0
b1981	2	0	0	0
b4381	2	2	0	0
b4383	2	2	0	1
b4384	2	2	0	0
b4072	2	1	2	2
b4073	2	1	2	2
b4070	2	1	2	2
b4071	2	1	2	2
b4077	2	0	1	0
b2500	0	2	0	0
b2210	0	0	0	2
b3061	0	0	0	2
b3062	0	0	0	2
b3063	0	0	0	2
b3734	1	2	2	1
b3735	1	2	2	1
b3736	1	2	2	1
b3737	1	2	2	1
b3731	1	2	2	1
b3732	1	2	2	1
b4208	1	2	1	2
b3770	2	2	0	0
b0529	2	0	0	2
b3774	2	2	0	0
b1006	0	0	0	2
b0888	0	0	2	2
b4238	2	2	2	0
b0356	0	0	2	2
b3089	0	0	0	2
b1492	0	2	0	2
b2564	0	0	0	2
b3370	0	2	0	0
b3733	1	2	2	1
b0429	1	2	0	0
b3447	2	2	0	2
b2663	0	2	0	2
b3371	0	2	0	0
b0516	0	0	0	2
b3919	2	1	2	1
b3771	2	2	0	0
b2587	2	1	1	2
b0052	0	0	0	2
b3816	2	2	1	2
b3116	2	2	2	0
b2265	2	2	0	0
b3924	1	1	2	2
b3738	1	2	2	1
b3927	0	1	2	2
b1852	0	0	2	2
b0123	2	2	0	0
b2344	2	0	2	0
b1136	0	2	0	0
b0432	1	2	0	0
b1243	0	0	2	0
b0430	1	2	0	0
b0431	1	2	0	0
b3374	0	2	0	0
b0662	2	2	2	0
b1329	2	2	0	2
b1378	2	1	1	0
b2907	2	2	2	0
b3846	0	2	2	2
b1192	0	0	2	0
b0221	0	2	0	2
b1693	0	2	2	2
b1692	0	2	2	2
b4111	2	0	2	0
b0593	0	0	2	2
b3867	0	0	0	2
b0907	0	0	0	2
b0386	0	0	0	2
b0612	0	2	0	0
b3236	2	2	1	0
b1849	1	2	1	1
b2239	2	0	2	2
b0928	2	2	1	2
b2234	0	0	2	2
b2235	0	0	2	2
b3653	0	0	2	0
b4213	0	0	2	0
b3835	2	2	2	0
b2392	0	0	0	2
b3831	0	0	0	2
b3617	0	0	2	0
b2406	2	2	0	0
b3616	0	0	2	0
b3665	0	0	0	2
b1761	1	0	1	2
b2320	0	0	0	2
b2240	2	2	2	1
b2436	2	2	2	0
b2763	2	2	2	0
b2764	2	2	2	0
b2029	0	0	2	2
b1015	0	2	0	2
b1014	0	0	0	2
b3608	2	1	1	1
