gene	cefoperazone
272563.8.peg.1023	0
272563.8.peg.1034	1
272563.8.peg.1040	0
272563.8.peg.1041	0
272563.8.peg.1042	0
272563.8.peg.1043	0
272563.8.peg.1045	1
272563.8.peg.1046	0
272563.8.peg.1052	0
272563.8.peg.1054	1
272563.8.peg.1055	1
272563.8.peg.1056	2
272563.8.peg.105	52
272563.8.peg.1062	11
272563.8.peg.106	80
272563.8.peg.1085	0
272563.8.peg.1086	0
272563.8.peg.1087	4
272563.8.peg.1088	1
272563.8.peg.1099	3
272563.8.peg.10	9
272563.8.peg.1101	2
272563.8.peg.1109	49
272563.8.peg.1110	52
272563.8.peg.1111	63
272563.8.peg.1124	1
272563.8.peg.1128	1
272563.8.peg.1130	0
272563.8.peg.1131	0
272563.8.peg.1132	1
272563.8.peg.1137	1
272563.8.peg.113	76
272563.8.peg.1175	0
272563.8.peg.1176	1
272563.8.peg.1186	0
272563.8.peg.1191	2
272563.8.peg.1211	7
272563.8.peg.121	2
272563.8.peg.1224	1
272563.8.peg.122	7
272563.8.peg.1231	38
272563.8.peg.1233	20
272563.8.peg.1238	15
272563.8.peg.123	19
272563.8.peg.1240	18
272563.8.peg.1243	36
272563.8.peg.1250	10
272563.8.peg.1264	1
272563.8.peg.1266	2
272563.8.peg.1279	6
272563.8.peg.1282	6
272563.8.peg.1283	1
272563.8.peg.1284	1
272563.8.peg.128	2
272563.8.peg.129	4
272563.8.peg.1312	3
272563.8.peg.1314	5
272563.8.peg.1339	3
272563.8.peg.1344	11
272563.8.peg.1347	6
272563.8.peg.135	10
272563.8.peg.1360	7
272563.8.peg.1361	6
272563.8.peg.1365	1
272563.8.peg.1370	4
272563.8.peg.1373	9
272563.8.peg.1382	7
272563.8.peg.1389	2
272563.8.peg.1394	4
272563.8.peg.1399	2
272563.8.peg.139	2
272563.8.peg.13	11
272563.8.peg.1401	7
272563.8.peg.1403	1
272563.8.peg.1405	1
272563.8.peg.1406	23
272563.8.peg.1407	2
272563.8.peg.1411	3
272563.8.peg.1421	3
272563.8.peg.1453	1
272563.8.peg.1457	1
272563.8.peg.1458	4
272563.8.peg.146	8
272563.8.peg.1472	2
272563.8.peg.1473	0
272563.8.peg.1479	0
272563.8.peg.1481	4
272563.8.peg.1498	1
272563.8.peg.14	13
272563.8.peg.1517	1
272563.8.peg.1518	1
272563.8.peg.1519	2
272563.8.peg.151	3
272563.8.peg.1521	4
272563.8.peg.1522	7
272563.8.peg.1523	2
272563.8.peg.1524	9
272563.8.peg.1525	16
272563.8.peg.1527	7
272563.8.peg.152	4
272563.8.peg.153	5
272563.8.peg.1551	1
272563.8.peg.1554	1
272563.8.peg.1555	3
272563.8.peg.1556	11
272563.8.peg.1562	0
272563.8.peg.1563	1
272563.8.peg.1567	8
272563.8.peg.1570	11
272563.8.peg.1574	2
272563.8.peg.1586	0
272563.8.peg.1587	1
272563.8.peg.1593	1
272563.8.peg.1597	12
272563.8.peg.1602	7
272563.8.peg.1610	2
272563.8.peg.1623	1
272563.8.peg.1625	2
272563.8.peg.1626	1
272563.8.peg.1628	3
272563.8.peg.1629	0
272563.8.peg.1630	1
272563.8.peg.1641	0
272563.8.peg.1645	0
272563.8.peg.1647	0
272563.8.peg.164	10
272563.8.peg.1652	5
272563.8.peg.1655	0
272563.8.peg.1657	1
272563.8.peg.1667	0
272563.8.peg.1668	0
272563.8.peg.1669	0
272563.8.peg.1670	0
272563.8.peg.1671	1
272563.8.peg.1673	3
272563.8.peg.1676	1
272563.8.peg.1677	0
272563.8.peg.1678	1
272563.8.peg.1679	1
272563.8.peg.1708	0
272563.8.peg.1714	12
272563.8.peg.1724	0
272563.8.peg.1725	0
272563.8.peg.1726	1
272563.8.peg.1727	0
272563.8.peg.1730	0
272563.8.peg.1731	3
272563.8.peg.1732	3
272563.8.peg.1734	1
272563.8.peg.1735	2
272563.8.peg.1740	1
272563.8.peg.1743	0
272563.8.peg.1744	2
272563.8.peg.1768	9
272563.8.peg.1769	21
272563.8.peg.1774	4
272563.8.peg.1775	14
272563.8.peg.1776	17
272563.8.peg.1777	11
272563.8.peg.1778	12
272563.8.peg.1781	0
272563.8.peg.1782	0
272563.8.peg.1786	0
272563.8.peg.1796	0
272563.8.peg.1810	0
272563.8.peg.1815	2
272563.8.peg.1830	0
272563.8.peg.1831	0
272563.8.peg.1842	1
272563.8.peg.1852	4
272563.8.peg.1855	0
272563.8.peg.1873	2
272563.8.peg.1881	5
272563.8.peg.1886	45
272563.8.peg.1895	1
272563.8.peg.1897	0
272563.8.peg.1904	4
272563.8.peg.1906	4
272563.8.peg.1908	3
272563.8.peg.1910	0
272563.8.peg.1912	2
272563.8.peg.1916	3
272563.8.peg.1917	2
272563.8.peg.1922	0
272563.8.peg.1923	1
272563.8.peg.1924	0
272563.8.peg.1925	1
272563.8.peg.1926	0
272563.8.peg.1927	2
272563.8.peg.1928	0
272563.8.peg.1929	0
272563.8.peg.1930	1
272563.8.peg.194	20
272563.8.peg.195	30
272563.8.peg.196	7
272563.8.peg.198	24
272563.8.peg.1993	2
272563.8.peg.1994	1
272563.8.peg.2009	7
272563.8.peg.2010	3
272563.8.peg.2013	5
272563.8.peg.2020	4
272563.8.peg.2022	0
272563.8.peg.202	2
272563.8.peg.2032	19
272563.8.peg.2033	24
272563.8.peg.2034	27
272563.8.peg.2035	21
272563.8.peg.205	9
272563.8.peg.206	0
272563.8.peg.2071	3
272563.8.peg.2085	4
272563.8.peg.2117	0
272563.8.peg.2133	2
272563.8.peg.2135	0
272563.8.peg.2136	0
272563.8.peg.2137	0
272563.8.peg.2138	0
272563.8.peg.2139	0
272563.8.peg.2144	0
272563.8.peg.2156	0
272563.8.peg.2160	0
272563.8.peg.2161	0
272563.8.peg.217	4
272563.8.peg.2181	0
272563.8.peg.2182	0
272563.8.peg.2183	2
272563.8.peg.2187	0
272563.8.peg.2188	1
272563.8.peg.2189	0
272563.8.peg.2190	0
272563.8.peg.2194	0
272563.8.peg.2195	1
272563.8.peg.2197	0
272563.8.peg.2198	0
272563.8.peg.2215	3
272563.8.peg.2218	4
272563.8.peg.2223	0
272563.8.peg.2227	1
272563.8.peg.2229	2
272563.8.peg.2230	2
272563.8.peg.2243	3
272563.8.peg.2247	6
272563.8.peg.2248	11
272563.8.peg.224	1
272563.8.peg.225	0
272563.8.peg.226	0
272563.8.peg.2278	4
272563.8.peg.2282	1
272563.8.peg.2286	29
272563.8.peg.2299	0
272563.8.peg.229	4
272563.8.peg.22	7
272563.8.peg.2302	0
272563.8.peg.2303	3
272563.8.peg.2304	4
272563.8.peg.2306	1
272563.8.peg.2315	0
272563.8.peg.2316	0
272563.8.peg.2321	1
272563.8.peg.2333	1
272563.8.peg.2351	5
272563.8.peg.2355	12
272563.8.peg.2356	2
272563.8.peg.2360	7
272563.8.peg.2369	0
272563.8.peg.2370	0
272563.8.peg.237	4
272563.8.peg.2383	3
272563.8.peg.2384	1
272563.8.peg.238	3
272563.8.peg.2392	0
272563.8.peg.2393	0
272563.8.peg.2394	0
272563.8.peg.2395	0
272563.8.peg.2396	0
272563.8.peg.239	6
272563.8.peg.2400	0
272563.8.peg.240	8
272563.8.peg.241	4
272563.8.peg.242	3
272563.8.peg.2436	3
272563.8.peg.2438	24
272563.8.peg.2439	15
272563.8.peg.243	9
272563.8.peg.2440	5
272563.8.peg.2441	3
272563.8.peg.2442	5
272563.8.peg.2443	3
272563.8.peg.2444	3
272563.8.peg.2446	11
272563.8.peg.2447	5
272563.8.peg.2448	36
272563.8.peg.2449	28
272563.8.peg.2450	20
272563.8.peg.2451	22
272563.8.peg.2452	19
272563.8.peg.2455	19
272563.8.peg.2456	6
272563.8.peg.2458	6
272563.8.peg.2464	2
272563.8.peg.2470	40
272563.8.peg.2471	33
272563.8.peg.2482	8
272563.8.peg.2487	1
272563.8.peg.2488	0
272563.8.peg.2489	0
272563.8.peg.2496	17
272563.8.peg.2499	6
272563.8.peg.24	4
272563.8.peg.2520	2
272563.8.peg.2521	0
272563.8.peg.2528	9
272563.8.peg.2531	0
272563.8.peg.2532	0
272563.8.peg.2536	0
272563.8.peg.2550	0
272563.8.peg.2551	7
272563.8.peg.2552	15
272563.8.peg.2558	4
272563.8.peg.2559	2
272563.8.peg.2568	10
272563.8.peg.2586	1
272563.8.peg.2588	0
272563.8.peg.2596	5
272563.8.peg.2606	0
272563.8.peg.2607	0
272563.8.peg.2613	3
272563.8.peg.2617	1
272563.8.peg.2622	1
272563.8.peg.2624	0
272563.8.peg.2631	0
272563.8.peg.2632	0
272563.8.peg.2634	0
272563.8.peg.2636	15
272563.8.peg.2638	5
272563.8.peg.2644	8
272563.8.peg.2647	3
272563.8.peg.2660	0
272563.8.peg.2663	0
272563.8.peg.2680	1
272563.8.peg.2693	1
272563.8.peg.2697	1
272563.8.peg.2698	12
272563.8.peg.2699	4
272563.8.peg.2708	5
272563.8.peg.2709	0
272563.8.peg.2710	2
272563.8.peg.2711	7
272563.8.peg.2713	4
272563.8.peg.2715	2
272563.8.peg.2716	7
272563.8.peg.2719	0
272563.8.peg.2720	1
272563.8.peg.2721	0
272563.8.peg.2733	14
272563.8.peg.2734	5
272563.8.peg.2736	54
272563.8.peg.2741	13
272563.8.peg.2754	7
272563.8.peg.2775	4
272563.8.peg.2777	10
272563.8.peg.2778	9
272563.8.peg.2790	0
272563.8.peg.2791	0
272563.8.peg.2793	4
272563.8.peg.2794	1
272563.8.peg.2795	0
272563.8.peg.2796	4
272563.8.peg.2798	2
272563.8.peg.2800	0
272563.8.peg.2803	0
272563.8.peg.2804	0
272563.8.peg.2806	105
272563.8.peg.2816	6
272563.8.peg.2818	17
272563.8.peg.2820	7
272563.8.peg.2821	0
272563.8.peg.2829	4
272563.8.peg.2830	6
272563.8.peg.2833	0
272563.8.peg.2839	5
272563.8.peg.2840	2
272563.8.peg.2852	0
272563.8.peg.2853	0
272563.8.peg.2860	1
272563.8.peg.2861	0
272563.8.peg.2862	0
272563.8.peg.2865	13
272563.8.peg.2866	9
272563.8.peg.2867	3
272563.8.peg.2871	2
272563.8.peg.2872	3
272563.8.peg.2882	23
272563.8.peg.2888	2
272563.8.peg.2889	1
272563.8.peg.2898	9
272563.8.peg.2899	4
272563.8.peg.2901	2
272563.8.peg.2906	5
272563.8.peg.2907	4
272563.8.peg.2910	7
272563.8.peg.2911	19
272563.8.peg.2913	0
272563.8.peg.2916	8
272563.8.peg.2918	17
272563.8.peg.2921	1
272563.8.peg.2922	0
272563.8.peg.2923	2
272563.8.peg.2926	0
272563.8.peg.2940	0
272563.8.peg.294	0
272563.8.peg.2946	0
272563.8.peg.2955	0
272563.8.peg.295	2
272563.8.peg.2961	0
272563.8.peg.2962	0
272563.8.peg.2968	1
272563.8.peg.2977	1
272563.8.peg.2980	2
272563.8.peg.2981	3
272563.8.peg.2983	0
272563.8.peg.2988	0
272563.8.peg.2999	0
272563.8.peg.3000	0
272563.8.peg.3001	0
272563.8.peg.3009	4
272563.8.peg.3011	5
272563.8.peg.3012	1
272563.8.peg.3013	0
272563.8.peg.3024	0
272563.8.peg.304	0
272563.8.peg.305	0
272563.8.peg.307	0
272563.8.peg.3083	0
272563.8.peg.308	0
272563.8.peg.309	1
272563.8.peg.3111	126
272563.8.peg.3114	0
272563.8.peg.3115	0
272563.8.peg.3116	1
272563.8.peg.3130	1
272563.8.peg.3134	0
272563.8.peg.3135	0
272563.8.peg.3138	1
272563.8.peg.3139	0
272563.8.peg.3146	17
272563.8.peg.3147	2
272563.8.peg.3148	11
272563.8.peg.3150	32
272563.8.peg.3153	3
272563.8.peg.3156	0
272563.8.peg.3171	0
272563.8.peg.3174	0
272563.8.peg.3176	0
272563.8.peg.3177	1
272563.8.peg.318	1
