gene	clindamycin
272563.8.peg.1023	0
272563.8.peg.1034	2
272563.8.peg.1040	0
272563.8.peg.1041	0
272563.8.peg.1042	0
272563.8.peg.1043	2
272563.8.peg.1045	1
272563.8.peg.1046	0
272563.8.peg.1052	0
272563.8.peg.1054	0
272563.8.peg.1055	1
272563.8.peg.1056	1
272563.8.peg.105	39
272563.8.peg.1062	1
272563.8.peg.106	33
272563.8.peg.1085	2
272563.8.peg.1086	0
272563.8.peg.1087	7
272563.8.peg.1088	0
272563.8.peg.1099	2
272563.8.peg.10	5
272563.8.peg.1101	3
272563.8.peg.1109	72
272563.8.peg.1110	51
272563.8.peg.1111	64
272563.8.peg.1124	3
272563.8.peg.1128	1
272563.8.peg.1130	1
272563.8.peg.1131	0
272563.8.peg.1132	2
272563.8.peg.1137	1
272563.8.peg.113	46
272563.8.peg.1175	2
272563.8.peg.1176	4
272563.8.peg.1186	2
272563.8.peg.1191	2
272563.8.peg.1211	13
272563.8.peg.121	4
272563.8.peg.1224	0
272563.8.peg.122	1
272563.8.peg.1231	51
272563.8.peg.1233	15
272563.8.peg.1238	7
272563.8.peg.123	15
272563.8.peg.1240	7
272563.8.peg.1243	8
272563.8.peg.1250	5
272563.8.peg.1264	0
272563.8.peg.1266	1
272563.8.peg.1279	7
272563.8.peg.1282	8
272563.8.peg.1283	10
272563.8.peg.1284	2
272563.8.peg.128	12
272563.8.peg.129	22
272563.8.peg.1312	0
272563.8.peg.1314	1
272563.8.peg.1339	6
272563.8.peg.1344	4
272563.8.peg.1347	5
272563.8.peg.135	12
272563.8.peg.1360	2
272563.8.peg.1361	8
272563.8.peg.1365	1
272563.8.peg.1370	5
272563.8.peg.1373	8
272563.8.peg.1382	2
272563.8.peg.1389	11
272563.8.peg.1394	2
272563.8.peg.1399	6
272563.8.peg.139	7
272563.8.peg.13	7
272563.8.peg.1401	1
272563.8.peg.1403	1
272563.8.peg.1405	3
272563.8.peg.1406	65
272563.8.peg.1407	8
272563.8.peg.1411	5
272563.8.peg.1421	1
272563.8.peg.1453	2
272563.8.peg.1457	0
272563.8.peg.1458	0
272563.8.peg.146	8
272563.8.peg.1472	4
272563.8.peg.1473	0
272563.8.peg.1479	2
272563.8.peg.1481	0
272563.8.peg.1498	0
272563.8.peg.14	3
272563.8.peg.1517	0
272563.8.peg.1518	1
272563.8.peg.1519	2
