patric_id	refseq_locus_tag	gene
645463.3.peg.2378	CDR20291_2230	abfD
645463.3.peg.2375	CDR20291_2227	abfH
645463.3.peg.2376	CDR20291_2228	abfT
645463.3.peg.325	CDR20291_0308	abgB1
645463.3.peg.838	CDR20291_0779	abgB2
645463.3.peg.2888	CDR20291_2726	abgT
645463.3.peg.1988	CDR20291_1859	accA
645463.3.peg.1991	CDR20291_1862	accB
645463.3.peg.1990	CDR20291_1861	accC
645463.3.peg.1989	CDR20291_1860	accD
645463.3.peg.1223	CDR20291_1145	acd
645463.3.peg.394	CDR20291_0370	acdB
645463.3.peg.1079	CDR20291_1012	ackA
645463.3.peg.37	CDR20291_0025	acoA
645463.3.peg.38	CDR20291_0026	acoB
645463.3.peg.39	CDR20291_0027	acoC
645463.3.peg.40	CDR20291_0028	acoL
645463.3.peg.2468	CDR20291_2313	acp
645463.3.peg.984	CDR20291_0918	acpP
645463.3.peg.1088	CDR20291_1021	acpP
645463.3.peg.3505	CDR20291_3302	acpS
645463.3.peg.3146	CDR20291_2974	acsB3
645463.3.peg.788	CDR20291_0730	act
645463.3.peg.1750	CDR20291_1641	add
645463.3.peg.962	CDR20291_0897	addA
645463.3.peg.961	CDR20291_0896	addB
645463.3.peg.1830	CDR20291_1715	ade
645463.3.peg.361	CDR20291_0339	adhE
645463.3.peg.2965	CDR20291_2800	adhE
645463.3.peg.102	CDR20291_0088	adk
645463.3.peg.3474	CDR20291_3275	agaA
645463.3.peg.3470	CDR20291_3271	agaS
645463.3.peg.3080	CDR20291_2913	agaY
645463.3.peg.3469	CDR20291_3270	agaY
645463.3.peg.2799	CDR20291_2640	agrB
645463.3.peg.1199	CDR20291_1122	alaS
645463.3.peg.2261	CDR20291_2113	aldH
645463.3.peg.3502	CDR20291_3299	alr
645463.3.peg.2719	CDR20291_2560	appA
645463.3.peg.2720	CDR20291_2561	appB
645463.3.peg.2721	CDR20291_2562	appC
645463.3.peg.2718	CDR20291_2559	appD
645463.3.peg.2717	CDR20291_2558	appF
645463.3.peg.2794	CDR20291_2634	apt
645463.3.peg.2325	CDR20291_2176	araD
645463.3.peg.2082	CDR20291_1945	argB
645463.3.peg.2084	CDR20291_1947	argC
645463.3.peg.323	CDR20291_0306	argE
645463.3.peg.2080	CDR20291_1943	argF
645463.3.peg.1792	CDR20291_1680	argG
645463.3.peg.2551	CDR20291_2392	argH
645463.3.peg.2083	CDR20291_1946	argJ
645463.3.peg.2081	CDR20291_1944	argM
645463.3.peg.693	CDR20291_0637	argS
645463.3.peg.1843	CDR20291_1729	aroA
645463.3.peg.1842	CDR20291_1728	aroB
645463.3.peg.1844	CDR20291_1730	aroC
645463.3.peg.2273	CDR20291_2124	aroD
645463.3.peg.1846	CDR20291_1732	aroE
645463.3.peg.1847	CDR20291_1733	aroK
645463.3.peg.3085	CDR20291_2918	ascB
645463.3.peg.3140	CDR20291_2968	ascB2
645463.3.peg.3276	CDR20291_3084	asd
645463.3.peg.2743	CDR20291_2583	asnA
645463.3.peg.1634	CDR20291_1530	asnB
645463.3.peg.2293	CDR20291_2144	asnS
645463.3.peg.1467	CDR20291_1386	aspB
645463.3.peg.119	CDR20291_0105	aspC
645463.3.peg.2566	CDR20291_2407	aspD
645463.3.peg.2788	CDR20291_2628	aspS
645463.3.peg.2281	CDR20291_2132	asrA
645463.3.peg.2280	CDR20291_2131	asrB
645463.3.peg.2279	CDR20291_2130	asrC
645463.3.peg.3509	CDR20291_3306	atpA
645463.3.peg.3513	CDR20291_3310	atpB
645463.3.peg.3506	CDR20291_3303	atpC
645463.3.peg.3507	CDR20291_3304	atpD
645463.3.peg.3512	CDR20291_3309	atpE
645463.3.peg.3511	CDR20291_3308	atpF
645463.3.peg.3508	CDR20291_3305	atpG
645463.3.peg.3510	CDR20291_3307	atpH
645463.3.peg.3514	CDR20291_3311	atpI
645463.3.peg.3515	CDR20291_3312	atpZ
645463.3.peg.1250	CDR20291_1173	bacA1
645463.3.peg.2985	CDR20291_2821	bacA2
645463.3.peg.976	CDR20291_0910	bcd2
645463.3.peg.3282	CDR20291_3090	bclA2
645463.3.peg.3388	CDR20291_3193	bclA3
645463.3.peg.1831	CDR20291_1716	bcp
645463.3.peg.2726	CDR20291_2567	bdhA
645463.3.peg.384	CDR20291_0360	bglA
645463.3.peg.3101	CDR20291_2934	bglA1
645463.3.peg.3122	CDR20291_2954	bglA2
645463.3.peg.383	CDR20291_0359	bglF
645463.3.peg.3123	CDR20291_2955	bglF
645463.3.peg.385	CDR20291_0361	bglG
645463.3.peg.3124	CDR20291_2956	bglG
645463.3.peg.3103	CDR20291_2936	bglG1
645463.3.peg.3142	CDR20291_2970	bglG2
