reaction_id	substrate	smooth	rough
EX_cpd01030_e	Salicin	NA	NA
EX_cpd00276_e	D-Glucosamine	NA	NA
EX_cpd00082_e	D-Fructose	NA	NA
EX_cpd00080_e	Glycerol-3-phosphate	NA	NA
EX_cpd00001_e	H2O	-255.449	NA
EX_cpd00023_e	L-Glutamate	NA	NA
EX_cpd00971_e	Na+	-0.08	-0.077
EX_cpd00314_e	D-Mannitol	NA	NA
EX_cpd00797_e	(R)-3-Hydroxybutanoate	NA	NA
EX_cpd00051_e	L-Arginine	-386.153	-352.285
EX_cpd00064_e	Ornithine	NA	NA
EX_cpd10515_e	Fe2+	-0.08	-0.077
EX_cpd00179_e	Maltose	NA	NA
EX_cpd00009_e	Phosphate	-45.761	-43.8
EX_cpd00060_e	L-Methionine	NA	NA
EX_cpd00076_e	Sucrose	NA	NA
EX_cpd01171_e	Dulcose	NA	NA
EX_cpd00067_e	H+	-350.638	-291.864
EX_cpd00154_e	Xylose	NA	NA
EX_cpd00637_e	D-Methionine	NA	NA
EX_cpd00122_e	N-Acetyl-D-glucosamine	801.319	773.159
EX_cpd00035_e	L-Alanine	203.699	NA
EX_cpd00309_e	Xanthine	NA	NA
EX_cpd00220_e	Riboflavin	-0.088	-0.084
EX_cpd00588_e	Sorbitol	NA	NA
EX_cpd00117_e	D-Alanine	NA	NA
EX_cpd00307_e	Cytosine	NA	NA
EX_cpd00254_e	Mg	-0.08	-0.077
EX_cpd00205_e	K+	-0.08	-0.077
EX_cpd00138_e	D-Mannose	NA	NA
EX_cpd00305_e	Thiamin	-0.08	-0.077
EX_cpd01242_e	Thyminose	NA	NA
EX_cpd03048_e	Isethionate	NA	NA
EX_cpd00065_e	L-Tryptophan	-1.023	-0.979
EX_cpd00149_e	Co2+	-0.08	-0.077
EX_cpd00099_e	Cl-	-0.08	-0.077
EX_cpd00162_e	Aminoethanol	NA	NA
EX_cpd00395_e	L-Cysteate	NA	NA
EX_cpd00027_e	D-Glucose	NA	NA
EX_cpd00794_e	D-Trehalose	NA	NA
EX_cpd00105_e	D-Ribose	NA	NA
EX_cpd00226_e	Hypoxanthine	705.844	731.96
EX_cpd00104_e	Biotin	-0.08	-0.077
EX_cpd00007_e	O2	NA	NA
EX_cpd00092_e	Uracil	NA	NA
EX_cpd00208_e	Lactose	NA	NA
EX_cpd00158_e	Cellobiose	NA	NA
EX_cpd00011_e	CO2	834.521	872.007
EX_cpd00063_e	Ca2+	-0.08	-0.077
EX_cpd01080_e	Octadecanoic acid	NA	NA
EX_cpd00156_e	L-Valine	-10.488	-10.039
EX_cpd00039_e	L-Lysine	-38.595	-36.942
EX_cpd00393_e	Folate	-0.08	-0.077
EX_cpd00264_e	Spermidine	NA	NA
EX_cpd00322_e	L-Isoleucine	-393.918	-318.096
EX_cpd00030_e	Mn2+	-0.08	-0.077
EX_cpd00516_e	meso-2,6-Diaminopimelate	NA	NA
EX_cpd00084_e	L-Cysteine	NA	NA
EX_cpd00644_e	Pantothenate	-0.168	-0.161
EX_cpd00263_e	Pyridoxol	-0.08	-0.077
EX_cpd00232_e	N-Acetyl-Neuraminic acid	NA	NA
EX_cpd00492_e	N-Acetyl-D-mannosamine	NA	NA
EX_cpd00751_e	L-Fucose	NA	NA
EX_cpd05161_e	Melezitose	NA	NA
EX_cpd00107_e	L-Leucine	-403.013	-304.163
EX_cpd00069_e	L-Tyrosine	NA	NA
EX_cpd00066_e	L-Phenylalanine	NA	NA
EX_cpd00129_e	L-Proline	NA	NA
EX_cpd00567_e	D-Proline	-4.381	-19.098
EX_cpd29317_e	4-hydroxyproline	NA	NA
EX_cpd00033_e	Glycine	NA	NA
EX_cpd00119_e	L-Histidine	-2.174	-2.081
EX_cpd00132_e	L-Asparagine	NA	NA
EX_cpd00054_e	L-Serine	-241.006	-268.864
EX_cpd00161_e	L-Threonine	-7.93	-7.59
EX_cpd00053_e	L-Glutamine	NA	NA
EX_cpd00041_e	L-Aspartate	-391.78	-383.247
EX_cpd05178_e	Isovalerate	388.464	290.237
EX_cpd01711_e	Isobutyrate	NA	NA
EX_cpd19585_e	2-Methylbutyrate	377.994	302.854
EX_cpd00489_e	4-Hydroxyphenylacetate	NA	NA
EX_cpd01042_e	p-Cresol	NA	NA
EX_cpd00430_e	Phenylacetate	NA	NA
EX_cpd00339_e	5-Aminopentanoate	NA	NA
EX_C21399_e	Isocaproate	NA	NA
EX_cpd03343_e	Phenylpropanoate	NA	NA
EX_cpd03170_e	4-Hydroxymandelate	56.909	156.456
EX_cpd00036_e	Succinate	NA	NA
EX_cpd00211_e	Butyrate	NA	NA
EX_cpd00029_e	Acetate	781.39	833.834
EX_cpd00159_e	L-Lactate	NA	NA
EX_cpd00221_e	D-Lactate	NA	NA
EX_cpd00141_e	Propionate	NA	NA
EX_cpd00013_e	Ammonia	442.178	187.627
EX_cpd00242_e	Carbonate	NA	NA
EX_cpd00133_e	Nicotinamide	-0.4	-0.383
EX_cpd00443_e	4-Aminobenzoate	NA	NA
EX_cpd00210_e	Taurine	NA	NA
EX_cpd11592_e	gly-glu-L	NA	NA
EX_cpd11590_e	met-L-ala-L	NA	NA
EX_cpd11588_e	gly-pro-L	NA	NA
EX_cpd11586_e	ala-L-glu-L	NA	NA
EX_cpd11582_e	ala-L-Thr-L	NA	NA
EX_cpd11581_e	gly-asn-L	-10.296	-9.855
EX_cpd15551_e	L-Prolinylglycine	NA	NA
EX_cpd15603_e	Gly-Cys	-2.07	-1.982
EX_cpd15604_e	Gly-Leu	NA	NA
EX_cpd15605_e	Gly-Phe	-7.003	-6.703
EX_cpd15606_e	Gly-Tyr	-63.56	-162.823
EX_cpd29695_e	L-ala-L-asp	NA	NA
EX_cpd29694_e	L-ala-gly	-344.041	-134.331
EX_cpd29697_e	L-ala-L-his	NA	NA
EX_cpd29698_e	L-ala-L-leu	NA	NA
EX_cpd29696_e	L-ala-L-gln	NA	NA
EX_cpd29699_e	L-ala-L-thr	NA	NA
EX_cpd29693_e	gly-L-met	NA	-4.132
EX_cpd29690_e	gly-L-asn	NA	NA
EX_cpd29691_e	gly-L-gln	NA	NA
EX_cpd29700_e	L-met-L-ala	NA	NA
EX_cpd00320_e	D-Aspartate	NA	NA
EX_cpd02711_e	2-keto-3-deoxygluconate	NA	NA
EX_cpd01553_e	Saligenin	NA	NA
