	minimum	maximum
rxn03408_c	24.7699289305167	30.962411163072147
rxn00022_c	50.51001341081161	766.8266646872341
rxn01358_c	-480.86913624503495	1000.0000000000006
rxn00258_c	-2.4253888744401593	-1.9403110995566522
rxn09177_c	0.09082307274570647	0.11352884093171725
rxn01218_c	-3.2510531721302858	-2.600842537704255
rxn00001_c	430.7992529316747	538.4990661646009
rxn02305_c	0.08256642976823514	0.10320803721049288
rxn00910_c	93.66317072607751	1000.0
rxn00337_c	24.769928930516695	30.962411163072115
rxn08669_c	-0.025802009302537954	-0.02064160744214405
rxn01739_c	0.08256642976853375	0.1032080372103379
rxn00225_c	-997.9358392557766	-371.87955526140456
rxn00148_c	-1000.0	-79.34389432070974
rxn00100_c	0.09082307274568233	0.11352884093197824
rxn05298_c	-934.3762016200847	839.2247591371543
rxn03903_c	24.769928930516585	30.96241116307192
rxn00097_c	155.61423656944578	194.5177957113473
rxn01217_c	2.6008425377042546	3.2510531721225666
rxn02212_c	0.08256642976847003	0.10320803721032122
rxn00692_c	-417.02899472574825	11.783426845747272
rxn00926_c	-1000.0	217.41937050256956
rxn00171_c	-359.91865718118675	427.2470539086213
rxn03958_c	-351.9394068869145	-281.5515255102033
rxn00506_c	21.104656035651036	1000.0
rxn10060_c	-2.3428224446724415	-1.8742579557424335
rxn01966_c	-63.11171475406172	-50.489371803369295
rxn02380_c	-670.2811802810321	551.6935264014833
rxn08799_c	-0.07740602790761386	-0.06192482232643215
rxn05938_c	137.60434992579977	1000.0
rxn09111_c	0.02064160744214405	0.02580200930265164
rxn00907_c	0.08256642976834883	0.10320803721003813
rxn01643_c	24.769928930516727	30.962411163072197
rxn00392_c	0.008256642976838908	0.01032080372102408
rxn00747_c	-212.6501327167099	487.1110488991716
rxn01334_c	-681.3806300194067	-214.07802504024357
rxn02175_c	0.0908230727442049	0.11352884093177372
rxn02009_c	24.769928930516787	30.962411163072062
rxn00555_c	369.03145450088414	995.789112081806
rxn01505_c	100.73104431743457	125.91380539679301
rxn00213_c	-62.95690269824627	-50.36552215871677
rxn01740_c	-0.1032080372102655	-0.0825664297685762
rxn00139_c	-19.13602304435119	-15.308818435518106
rxn00790_c	0.08256642976872564	0.10320803721094662
rxn03910_c	281.55152551020456	351.9394068877506
rxn00182_c	-928.3195432064065	191.7059813519952
rxn00405_c	5.116264339606461e-13	747.7020900420264
rxn01132_c	-766.8266646872341	-50.51001341083054
rxn03908_c	281.5515255102034	351.9394068869184
rxn01255_c	0.08256642976856428	0.10320803721041617
rxn05485_c	-895.058067764377	-268.3004101838193
rxn00527_c	0.0	158.83200119836965
rxn10271_c	0.02064160744214405	0.025802009302537954
rxn01548_c	2.2737367544323206e-13	996.9218392804762
rxn08352_c	25.59559322820017	31.994491535249963
rxn08850_c	-0.025802009302537954	-0.020641607442030363
rxn01345_c	214.07802504024352	681.3806300194066
rxn05645_c	0.09082307274513823	0.11352884093128068
rxn01967_c	-817.316036490605	-100.9993852141813
rxn01116_c	-62.60249714382371	666.6391445234106
rxn00711_c	15.226252005749418	19.032815007185036
rxn00908_c	-415.0721703402349	13.89269585061244
rxn01138_c	-1000.0	484.27756268363476
rxn01870_c	0.02064160744209726	716.3372928838486
rxn00297_c	0.825664297683943	1.0320803721025413
rxn00611_c	-1.2642984558250419	-1.0114387646624436
rxn08756_c	255.95593228200306	319.94491535250063
rxn03005_c	-0.10320803721094762	-0.08256642976868989
rxn08647_c	0.0	716.3166512764094
rxn10168_c	0.0825664297683891	0.10320803721023979
rxn02895_c	0.08256642976872565	0.10320803721047181
rxn00283_c	86.69475125680844	108.36843907075172
rxn03108_c	0.08256642976856912	0.10320803721041978
rxn00410_c	4.896365977425605	6.120457471767155
rxn01333_c	297.9346039038253	958.1102497948855
rxn12510_c	0.09082307274420505	0.11352884093007563
rxn03933_c	24.769928930516926	30.962411163071806
rxn01977_c	100.85489396208754	768.7821429382784
rxn01986_c	9.750066126751067	1000.0
rxn01646_c	-0.4128321488411757	-0.33026571907373636
rxn00105_c	0.33026571907341934	0.412832148841141
rxn00223_c	0.020641607442030363	716.3372928837973
rxn00784_c	9.750066126670504	999.999999999999
rxn02285_c	-61.92482232614384	-49.53985786103328
rxn05663_c	1.0568503010353743	1.3210628762910677
rxn03907_c	281.5515255102033	351.93940688691544
rxn09310_c	0.08256642976835887	0.10320803721020992
rxn01213_c	25.595593228200187	31.994491535173893
rxn00459_c	1.2505552149377763e-12	716.3166512764178
rxn05209_c	-1000.0	773.6009607572357
rxn05059_c	-0.9082307274501318	-0.7265845819619017
rxn10474_c	-0.1032080372102655	-0.08256642976846251
rxn00260_c	1.9403110995564248	2.425388874439932
rxn00461_c	49.53985786103328	61.92482232614384
rxn10473_c	-0.10320803721060656	-0.08256642976846251
rxn02937_c	0.08256642976855874	0.10320803721084787
rxn08309_c	0.02064160744214405	0.025802009302537954
rxn03841_c	0.08256642976838913	0.10320803721048642
rxn04954_c	-1000.0	-93.66317072608092
rxn01257_c	0.08256642976846251	0.1032080372102655
rxn02213_c	0.08256642976847002	0.10320803721032074
rxn00704_c	50.36552215871677	62.9569026982457
rxn01671_c	0.3302657190729401	0.41283214884056463
rxn05313_c	47.264014955482025	59.08001869423333
rxn01332_c	0.08256642976847	0.10320803721032074
rxn00785_c	-333.278289046822	31.34253178679967
rxn03909_c	281.63409193997177	352.04261492412604
rxn03084_c	0.08256642976855873	0.10320803721040993
rxn02005_c	50.48937180336944	63.11171475406144
rxn01859_c	-1000.0000000000005	999.9999999999998
rxn05201_c	-1000.0	118.014910226805
rxn10280_c	0.0412832148842881	0.051604018605189594
rxn05616_c	-0.1032080372102655	-0.08256642976846251
rxn00077_c	2.039390815278877	2.5492385191048568
rxn00134_c	5.344336747436973	6.680420934309772
rxn09109_c	0.02064160744214405	0.02580200930265164
rxn01200_c	-333.3677360124077	31.259965357015062
rxn00763_c	-0.02580200930265164	-0.02064160744214405
rxn00122_c	0.008256642976791349	0.010320803721023944
rxn05223_c	0.08256642976838914	0.10320803721023938
rxn00085_c	373.24234241907817	1000.0
rxn09345_c	25.5955932282003	31.994491535173893
rxn01466_c	25.5955932282003	31.994491535174006
rxn02008_c	49.539857861033376	61.92482232614361
rxn03904_c	24.769928930516585	30.962411163071692
rxn00778_c	-93.86246250085458	1000.0
rxn03901_c	50.3655221587172	62.956902698245806
rxn01985_c	-480.86913624503654	1000.0
rxn00193_c	-950.4601421389668	823.1408186181982
rxn10272_c	0.02064160744214405	0.025802009302537954
rxn00342_c	0.0	644.8355773787115
rxn01799_c	15.226252005749302	19.03281500714047
rxn10281_c	0.04128321488417441	0.051604018605189594
rxn02341_c	0.09082307274360221	0.11352884093105843
rxn08797_c	-0.07740602790750017	-0.06192482232643215
rxn05232_c	2.0641607442097283	2.5802009302621602
rxn01513_c	1.8742579557424335	2.3428224446780415
rxn08307_c	0.02064160744214405	0.02580200930265164
rxn00686_c	-2.3428224446779495	-1.8742579557424506
rxn00157_c	-999.8348671404668	0.17825050908538742
rxn01286_c	0.0	716.316651276377
rxn05289_c	373.943716005612	1000.0
rxn00933_c	-5.655800439120981	-4.524640351307653
rxn00293_c	35.13927015296783	43.92408769110597
EX_cpd00001_e	-231.52731201136052	1000.0
EX_cpd00023_e	-839.2247591371497	934.3762016200815
EX_cpd00971_e	-0.1032080372102655	-0.0825664297685762
EX_cpd00051_e	-752.9863415465251	-5.284251505176826
EX_cpd10515_e	-0.1032080372102655	-0.08256642976834883
EX_cpd00009_e	-59.08001869423185	-47.26401495551147
EX_cpd00067_e	-1000.0	530.8629580738768
EX_cpd00122_e	268.3004101834404	895.0580677643766
EX_cpd00220_e	-0.11352884093128068	-0.09082307274513823
EX_cpd00254_e	-0.1032080372102655	-0.08256642976834883
EX_cpd00205_e	-0.1032080372102655	-0.08256642976834883
EX_cpd00065_e	-1.3210628762909664	-1.0568503010354107
EX_cpd00149_e	-0.1032080372102655	-0.08256642976834883
EX_cpd00099_e	-0.1032080372102655	-0.08256642976834883
EX_cpd00027_e	-667.9272489762209	1.1368683772161603e-13
EX_cpd00226_e	-118.0149102268092	1000.0
