name	rough_1	rough_2	smooth_2	smooth_3
rsbW	76	94	64	79
sigB	51	58	49	50
16S rRNA_1	2	2	1	1
23S rRNA_1	0	0	0	0
5S rRNA_1	0	0	0	0
CDR20291_0001	79	89	98	107
CDR20291_0002	36	39	37	37
serS1	190	242	527	519
CDR20291_0004	1086	1300	1285	1348
dnaH	65	84	84	84
CDR20291_0006	124	154	167	178
recD	177	214	204	235
CDR20291_0008	76	96	82	82
16S rRNA_2	37	37	35	61
23S rRNA_2	247	180	190	179
5S rRNA_2	0	0	0	0
CDR20291_0009	5	7	6	5
pyc	35	42	80	90
CDR20291_0011	103	91	131	138
ctsR	249	324	483	483
CDR20291_0013	167	224	348	362
CDR20291_0014	119	165	304	326
clpC	125	161	269	294
radA	101	100	141	151
CDR20291_0017	55	48	70	79
CDR20291_0018	143	155	208	204
CDR20291_0019	24	28	26	27
CDR20291_0020	19	22	20	16
CDR20291_0021	0	1	0	1
CDR20291_0022	1	1	2	1
CDR20291_0023	1	1	1	2
CDR20291_0024	12	12	17	18
acoA	5	5	10	10
acoB	4	6	7	10
acoC	5	5	7	7
acoL	7	8	7	10
CDR20291_0029	1	1	1	1
CDR20291_0030	1	2	1	0
CDR20291_0031	2	2	2	3
CDR20291_0032	1	1	1	1
CDR20291_0033	0	0	0	0
CDR20291_0034	0	1	0	0
CDR20291_0035	42	50	52	46
ispD_1	23	30	28	27
ispF	29	31	35	34
proS	86	109	109	115
CDR20291_0039	89	105	92	96
gltX	103	129	110	112
cysS	582	713	825	892
CDR20291_0042	544	680	790	816
CDR20291_0043	114	140	132	152
CDR20291_0044	76	93	82	80
CDR20291_0045	87	105	96	99
CDR20291_0046	128	159	132	141
CDR20291_0047	105	112	115	129
CDR20291_0048	100	120	121	126
CDR20291_0049	74	89	93	102
sigH	137	138	271	284
CDR20291_0051	185	221	264	303
rpmG	15	23	21	15
secE	193	232	179	191
nusG	466	621	465	503
rplK	592	815	513	570
rplA	535	699	404	460
rplJ	683	1010	395	452
rplL	317	402	172	164
CDR20291_0059	129	180	346	356
rpoB	343	441	331	372
rpoC	428	554	351	395
rpsL	744	946	713	811
rpsG	875	1130	847	945
fusA	452	608	387	419
CDR20291_0065	184	229	149	170
rpsJ	566	691	810	851
rplC	367	445	520	588
rplD	378	466	573	616
rplW	305	401	419	521
rplB	307	400	416	450
rpsS	188	268	261	319
rplV	340	524	503	624
rpsC	259	337	366	426
rplP	275	356	364	427
rpmC	131	175	191	226
rpsQ	158	213	214	247
rplN	274	381	331	395
rplX	361	535	486	541
rplE	226	301	250	281
rpsN	69	104	97	106
rpsH	387	538	443	534
rplF	272	355	276	312
rplR	330	426	338	411
rpsE	424	505	381	471
rpmD	109	157	89	101
rplO	505	638	392	457
prlA	326	430	227	242
adk	369	477	256	275
map1	523	715	358	419
CDR20291_0090	249	353	197	215
infA	212	322	162	197
rpmJ	2	4	3	4
rpsM	305	410	327	349
rpsK	497	638	548	656
rpsD	444	586	418	494
