	minimum	maximum
rxn03408_c	17.65892696197693	22.073658702471334
rxn00519_c	200.75256801273804	250.94071001592465
rxn00258_c	227.75236228234405	1000.0
rxn01547_c	-7.505043958840361	-6.0040351670722885
rxn04996_c	18.247557860709193	22.809447325886694
rxn00678_c	-305.9813583416293	973.0590688202491
rxn00001_c	398.2558934645004	497.8198668305957
rxn00710_c	13.244195221483253	16.555244026853952
rxn00910_c	-1000.0	1000.0
rxn01297_c	6.004035167072061	7.505043958840133
rxn12512_c	0.06474939887441965	0.08093674857578577
rxn08669_c	-0.01837390309060538	-0.01471577246832112
rxn00225_c	-979.3979185443601	0.0
rxn00148_c	-1000.0	0.0
rxn05569_c	-1000.0	1000.000000000001
rxn00100_c	0.06474939886060802	0.08093674857657951
rxn05560_c	0.014715772467411625	792.8985254250348
rxn08976_c	-1000.0000000000002	-86.19925283972884
rxn05298_c	52.9767808859275	66.22097610741878
rxn03903_c	17.65892696197693	22.073658702471107
rxn00692_c	-503.67894311707846	-150.82286514798614
rxn00926_c	-4.208710925936202	-3.3669687407499396
rxn03958_c	-250.90392058476175	-200.72313646780128
rxn01362_c	13.244195221486486	16.555244026853927
rxn10060_c	-3.678943117078496	-2.9431544936628407
rxn05617_c	-999.9999999999998	806.1301750241619
rxn00305_c	0.058863089873256697	0.07357886234157081
rxn00612_c	-0.9013410636842991	-0.7210728509477349
rxn02380_c	-1000.0	1000.0
rxn10131_c	-994.1136910126743	-5.886308987325492
rxn08799_c	-0.05518414675634631	-0.04414731740484967
rxn05234_c	13.244195221484004	992.4510070356611
rxn05938_c	3.069544618483633e-12	1000.0
rxn05555_c	0.05886308987325682	0.07357886234157089
rxn09111_c	0.014715772468434807	0.018394715585372978
rxn00471_c	5.886308987324195	994.113691012674
rxn01465_c	-16.555244026853984	-13.244195221483665
rxn01301_c	-1000.0	1000.0
rxn00707_c	-250.94071001592545	-200.752568012746
rxn00392_c	0.00588630898732568	0.007357886234157062
rxn00747_c	-520.9621714073669	223.80046501796767
rxn05219_c	5.886308987325701	7.357886234157081
rxn02175_c	0.0647493988572983	0.08093674857572586
rxn02009_c	17.658926961976963	22.07365870247115
rxn00555_c	-541.2662788178036	994.1136910126794
rxn01505_c	71.81296964537319	89.76621205671609
rxn00737_c	0.0	978.8628196998524
rxn00213_c	-999.9117053651897	-35.90648482269182
rxn05655_c	35.99477945750027	1000.0000000000002
rxn04043_c	-271.78560171729566	-217.42848137384055
rxn03910_c	200.72313646779992	250.90392058476152
rxn04794_c	0.0	978.8628196998509
rxn03886_c	-1000.0	806.130175024039
rxn00786_c	-271.78560171729816	-217.42848137383965
rxn03908_c	200.72313646780947	250.90392058475976
rxn05485_c	-928.1870303546274	625.8119350872311
rxn10114_c	86.19925283972708	1000.0
rxn05496_c	47.0904718986053	58.8630898732564
rxn00527_c	-7.357886234156922	-5.886308987325606
rxn10271_c	0.01471577246832112	0.018394715585372978
rxn01548_c	-990.9412084427746	-11.772617974650984
rxn08850_c	-0.018394715585372978	-0.014715772468207433
rxn00500_c	-1000.0	1000.0
rxn00546_c	-1000.0	806.1301750240796
rxn05645_c	0.06474939886072661	0.08093674857570932
rxn01116_c	-677.2784166250634	-23.08217964229914
rxn00711_c	200.7525680127464	250.9407100159323
rxn10184_c	-999.9999999999998	806.1301750240733
rxn00908_c	-499.9999999999999	-147.87971065435886
rxn01138_c	-4.208710925938249	-3.366968740730954
rxn05494_c	61.80624436691983	77.25780545864814
rxn01870_c	0.014715772468548494	792.8985254250192
rxn00297_c	0.5886308987326174	0.7357886234157149
rxn00313_c	29.43154493662819	36.78943117078548
rxn08647_c	0.0	792.8801813421169
rxn10168_c	0.05886308987325682	0.0735788623415717
rxn10042_c	202.45569276094946	1000.0
rxn09657_c	0.05886308987328448	0.0735788623416056
rxn05236_c	4.414731740494477	5.51841467561806
rxn00410_c	205.16729975323227	256.45912469154223
rxn01333_c	-338.63920831253097	-11.54108982115065
rxn12510_c	0.06474939885950465	0.08093674857564347
rxn03933_c	17.65892696197693	22.07365870247088
rxn01977_c	-1000.0	999.9999999999994
rxn01986_c	11.772617974652348	990.9412084427873
rxn01646_c	-0.294315449366195	-0.23545235949302423
rxn00105_c	0.23545235949280116	0.2943154493661583
rxn01302_c	-1000.0	1000.0
rxn00784_c	11.772617974653144	990.9412084427967
rxn02285_c	-44.1473174049421	-35.31785392395375
rxn05663_c	1.1772617974651378	1.4715772468314086
rxn03907_c	200.72313646780958	250.90392058475925
rxn01213_c	18.247557860709776	22.80944732588705
rxn00459_c	0.0	792.8801813421346
rxn00770_c	213.9967632342225	267.49595404278375
rxn05209_c	-226.0312855369341	660.4041187487429
rxn05059_c	-1.8394715585394579	-1.4715772468314299
rxn01366_c	200.75256801274224	250.9407100159309
rxn10474_c	-0.0735788623416056	-0.05886308987317079
rxn00260_c	-1000.0	-113.56459571431105
rxn00461_c	35.31785392395386	44.147317404942555
rxn10473_c	-0.0735788623416056	-0.05886308987317079
rxn00161_c	0.0	986.7558047785158
rxn08309_c	0.01471577246832112	0.018373903090832755
rxn08655_c	-1000.0000000000002	-86.19925283969417
rxn04954_c	-1000.0	999.9999999999768
rxn04113_c	182.47557860709668	228.09447325887024
rxn05226_c	-1000.0	1000.0
rxn00704_c	35.90648482268682	999.91170536519
rxn03641_c	0.0	1000.0
rxn01671_c	0.23545235948515253	0.2943154493553618
rxn05313_c	87.22038341971108	109.02547927451144
rxn00785_c	11.541089821156447	338.63920831252096
rxn03909_c	200.72313646781257	250.90392058477687
rxn00558_c	-1000.0	1000.0
rxn05201_c	9.371003907824274	11.713754884738819
rxn10280_c	0.029431544936528553	0.03678943117063227
rxn05616_c	-0.07357886234149191	-0.05886308987317079
rxn00077_c	3.060880673409081	3.8261008417619595
rxn01446_c	11.772617974651439	990.9412084427933
rxn00541_c	-990.941208442794	-11.772617974651212
rxn01368_c	200.75256801273815	250.94071001594327
rxn00134_c	3.3669687407453477	4.2087109258970985
rxn09109_c	0.014715772468434807	0.018394715585372978
rxn01200_c	11.541089821148375	338.63920831255075
rxn00763_c	-0.018391137318872097	-0.01471577246832112
rxn00122_c	0.005886308987325681	0.007357687776541052
rxn05223_c	0.05886308987325682	0.07357886234156788
rxn01649_c	-7.505043958840133	-6.004035167071947
rxn00085_c	-535.3799698302438	1000.0
rxn00119_c	0.0	964.0052205425036
rxn09345_c	18.247557860709662	22.809447325885685
rxn01466_c	18.24755786070955	22.809447325885685
