	minimum	maximum
rxn03408_c	17.820070938840672	22.275088673550954
rxn00519_c	202.58450645638857	253.2306330704838
rxn00258_c	341.83989739367814	1000.0
rxn01547_c	-7.573530149007411	-6.058824119205951
rxn04996_c	18.414073303468665	23.017591629335683
rxn00678_c	-153.82411380724693	804.5685864000227
rxn00001_c	401.89011986004135	502.362649825038
rxn00710_c	13.365053204130902	16.706316505163414
rxn00910_c	-1000.0	999.999999999998
rxn01297_c	6.058824119205724	7.573530149007183
rxn12512_c	0.06534026010932201	0.08167532513668514
rxn08669_c	-0.01856257389476923	-0.014850059115815384
rxn00225_c	-991.0899645305798	-260.8359367053439
rxn00148_c	-733.7228583328705	-586.9782866663056
rxn05569_c	-999.9999999999991	1000.0
rxn00100_c	0.06534026011032334	0.08167532513748119
rxn05560_c	649.7940367256964	812.2425459071525
rxn08976_c	-1000.0000000000002	-1.1368683772161603e-13
rxn05298_c	53.460212816522585	66.825266020654
rxn03903_c	17.82007093884056	22.27508867355084
rxn00692_c	-903.043964033579	-174.1910266237411
rxn00926_c	-4.247116907084774	-3.397693525671457
rxn03958_c	-253.1935079227004	-202.55480633815864
rxn01362_c	13.365053204131957	16.706316505163855
rxn10060_c	-3.712514778925275	-2.970011823140184
rxn05617_c	-1000.0	914.3326945504361
rxn00305_c	0.059400236462802146	0.07425029557850288
rxn00612_c	-0.9095661208367574	-0.7276528966694968
rxn02380_c	-1000.0000000000001	1000.0
rxn10131_c	-994.0599763537198	3.410605131648481e-13
rxn08799_c	-0.05568772168385294	-0.04455017734710509
rxn05234_c	1.4850059115700527	1.8562573894625567
rxn05938_c	-6.821210263296962e-13	1000.0
rxn05555_c	0.059400236462802125	0.07425029557850282
rxn09111_c	0.014850059115701697	0.018562573894655543
rxn00471_c	0.0	994.0599763537186
rxn01465_c	-16.706316505166342	-13.365053204131186
rxn01301_c	-1000.0	1000.0
rxn00707_c	-253.23063307050643	-202.58450645639198
rxn00392_c	0.005940023646280212	0.007425029557850273
rxn00747_c	-537.0672379783837	-429.6537903827608
rxn05219_c	5.940023646280256	7.425029557850286
rxn02175_c	0.06534026010929153	0.08167532513852287
rxn02009_c	17.82007093884068	22.27508867355067
rxn00555_c	-771.2114717660186	994.0599763537198
rxn01505_c	72.46828848461871	90.58536060577319
rxn00737_c	0.0	788.2678571283273
rxn00213_c	-360.52231018142174	-288.4178481451421
rxn05655_c	288.5069484998321	360.6336856247949
rxn04043_c	-274.26574180787895	-219.41259344630896
rxn03910_c	202.55480633815728	253.1935079227004
rxn04794_c	0.0	788.2678571283309
rxn03886_c	-1000.0	914.3326945503757
rxn00786_c	-274.2657418078795	-219.41259344630487
rxn03908_c	202.55480633815725	253.19350792269833
rxn05485_c	-927.5317115153814	206.4453097201183
rxn10114_c	0.0	1000.0
rxn05496_c	47.520189170241906	59.40023646280076
rxn00527_c	-7.42502955785028	-5.94002364628011
rxn10271_c	0.01485005911558801	0.018562573894655543
rxn08850_c	-0.018562573894655543	-0.014850059115701697
rxn00546_c	-1000.0	914.332694550388
rxn05645_c	0.06534026010922389	0.08167532513652986
rxn01116_c	-19.21597649571811	-15.372781196573783
rxn00711_c	202.58450645639036	253.2306330704888
rxn10184_c	-1000.0	914.3326945504751
rxn00908_c	-900.0739522104446	-171.2210148005895
rxn01138_c	-4.247116907092391	-3.3976935256715706
rxn05494_c	62.370248285942694	77.96281035742811
rxn01870_c	649.7940367257374	812.2425459071443
rxn00297_c	0.5940023646280679	0.7425029557850849
rxn00313_c	29.70011823140127	37.12514778925172
rxn08647_c	649.7791866666217	812.2239833332495
rxn10168_c	0.05940023646280256	0.07425029557850282
rxn10042_c	235.54451244248014	1000.0
rxn09657_c	0.05940023646280679	0.07425029557850849
rxn05236_c	4.455017734710088	5.568772168387599
rxn00410_c	207.0395241910987	258.79940523887154
