target_name	normalized_abundance
lsi:HN6_00522|no_gene_symbols|Transposase_ISLasa6a_IS3_family|no_ko_id|no_pathway_id|Evalue:3.4e-20|gene:000000001	71
k127_5325|flag=0|multi=34.0552|len=21666_2|#|973|#|1227|#|1|#|ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.333|unknown:000000001	12
lrh:LGG_00143|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:2.3e-46|gene:000000002	52
lba:Lebu_0123|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.1e-141|gene:000000003	38
lrm:LRC_05650|no_gene_symbols|NUDIX_hydrolase|K03574|no_pathway_id|Evalue:3.7e-49|gene:000000004	25
lai:LAC30SC_02280|no_gene_symbols|phage_related_helicase|K17677|no_pathway_id|Evalue:0.0e+00|gene:000000005	51
ssr:SALIVB_0500|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.3e-141|gene:000000006	16
gtn:GTNG_2006|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.1e-11|gene:000000007	27
k127_5325|flag=0|multi=34.0552|len=21666_9|#|10663|#|11028|#|1|#|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.344|unknown:000000002	32
ldl:LBU_1051|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.6e-14|gene:000000008	50
k127_5325|flag=0|multi=34.0552|len=21666_11|#|11487|#|11897|#|-1|#|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.404|unknown:000000003	35
k127_5325|flag=0|multi=34.0552|len=21666_12|#|12121|#|12330|#|1|#|ID=1_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.319|unknown:000000004	0
slu:KE3_1118|no_gene_symbols|Glycoside_hydrolase_family_1|K01223|Glycolysis/Gluconeogenesis|Evalue:3.7e-226|gene:000000009	84
ecas:ECBG_03134|no_gene_symbols|hypothetical_protein|K02760|Phosphotransferase_system_(PTS)|Evalue:3.0e-35|gene:000000010	20
ecas:ECBG_03135|no_gene_symbols|hypothetical_protein|K03491|no_pathway_id|Evalue:7.1e-159|gene:000000011	58
ecas:ECBG_03136|no_gene_symbols|PTS_system_cellobiose-specific_IIA_componenent|K02759|Phosphotransferase_system_(PTS)|Evalue:3.1e-32|gene:000000012	27
efc:EFAU004_02571|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.7e-11|gene:000000013	36
ecas:ECBG_03138|no_gene_symbols|PTS_system_lactose/cellobiose_family_IIC_component|K02761|Phosphotransferase_system_(PTS)|Evalue:5.1e-169|gene:000000014	74
k127_5325|flag=0|multi=34.0552|len=21666_19|#|18643|#|19215|#|1|#|ID=1_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.382|unknown:000000005	24
k127_5325|flag=0|multi=34.0552|len=21666_20|#|19306|#|19785|#|1|#|ID=1_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.417|unknown:000000006	65
sip:N597_09715|no_gene_symbols|ion_channel|no_ko_id|no_pathway_id|Evalue:3.5e-28|gene:000000015	34
lsl:LSL_1883|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.9e-86|gene:000000016	37
scf:Spaf_1931|fap1|fimbriae-associated_protein_Fap1_(fap1)|no_ko_id|no_pathway_id|Evalue:2.7e-29|gene:000000017	131
lrm:LRC_19710|no_gene_symbols|NADPH-dependent_FMN_reductase|no_ko_id|no_pathway_id|Evalue:1.5e-71|gene:000000018	80
lpz:Lp16_2314|no_gene_symbols|thiamin_biosynthesis_lipoprotein_ApbE|K03734|no_pathway_id|Evalue:3.0e-102|gene:000000019	64
lrm:LRC_19810|no_gene_symbols|Stage_III_sporulation_protein_J|K03217|Protein_export;Bacterial_secretion_system|Evalue:6.3e-101|gene:000000020	87
lrm:LRC_19820|no_gene_symbols|ribonuclease_P|K03536|no_pathway_id|Evalue:2.8e-50|gene:000000021	37
