target_name	normalized_abundance
bacc:BRDCF_04080|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:9.4e-196|gene:000000001	1079
pol:Bpro_3900|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.5e-05|gene:000000002	196
bacc:BRDCF_04090|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.9e-265|gene:000000003	574
k127_610|flag=0|multi=402.9459|len=5613_4|#|5463|#|5612|#|-1|#|ID=1_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.393|unknown:000000001	85
bsa:Bacsa_2544|no_gene_symbols|Relaxase/mobilization_nuclease|no_ko_id|no_pathway_id|Evalue:1.9e-106|gene:000000004	441
pdi:BDI_0749|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.2e-26|gene:000000005	194
bfg:BF638R_2089|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.6e-63|gene:000000006	280
k127_1438|flag=0|multi=238.6722|len=24845_4|#|3397|#|3810|#|1|#|ID=2_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.498|unknown:000000002	235
k127_1438|flag=0|multi=238.6722|len=24845_5|#|3814|#|4116|#|1|#|ID=2_5;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=3bp;gc_cont=0.528|unknown:000000003	191
k127_1438|flag=0|multi=238.6722|len=24845_6|#|4116|#|4847|#|1|#|ID=2_6;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=14bp;gc_cont=0.523|unknown:000000004	244
tfo:BFO_1250|no_gene_symbols|conjugative_transposon_protein_TraE|no_ko_id|no_pathway_id|Evalue:1.4e-36|gene:000000007	186
bsa:Bacsa_2551|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.5e-31|gene:000000008	211
bxy:BXY_33770|no_gene_symbols|Domain_of_unknown_function_DUF87.|no_ko_id|no_pathway_id|Evalue:0.0e+00|gene:000000009	383
tfo:BFO_1254|no_gene_symbols|conjugative_transposon_protein_TraI|no_ko_id|no_pathway_id|Evalue:1.5e-54|gene:000000010	364
bxy:BXY_33740|no_gene_symbols|Homologues_of_TraJ_from_Bacteroides_conjugative_transposon.|no_ko_id|no_pathway_id|Evalue:9.3e-131|gene:000000011	370
bsa:Bacsa_2556|no_gene_symbols|conjugative_transposon_TraK_protein|no_ko_id|no_pathway_id|Evalue:4.1e-89|gene:000000012	246
k127_1438|flag=0|multi=238.6722|len=24845_13|#|10498|#|10833|#|1|#|ID=2_13;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=13bp;gc_cont=0.518|unknown:000000005	224
bxy:BXY_33710|no_gene_symbols|Protein_of_unknown_function_(DUF3714).|no_ko_id|no_pathway_id|Evalue:2.9e-59|gene:000000013	326
tfo:BFO_1259|traN_1|conjugative_transposon_TraN_protein|no_ko_id|no_pathway_id|Evalue:1.3e-121|gene:000000014	331
bfr:BF0115|no_gene_symbols|TraO|no_ko_id|no_pathway_id|Evalue:2.9e-52|gene:000000015	301
k127_1438|flag=0|multi=238.6722|len=24845_17|#|13628|#|14293|#|1|#|ID=2_17;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=12bp;gc_cont=0.441|unknown:000000006	368
pgt:PGTDC60_1026|traP|mobilizable_transposon_excision_protein|no_ko_id|no_pathway_id|Evalue:8.4e-72|gene:000000016	305
bsa:Bacsa_2562|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.5e-39|gene:000000017	236
bxy:BXY_33660|no_gene_symbols|Phage-related_lysozyme_(muraminidase)|no_ko_id|no_pathway_id|Evalue:2.0e-35|gene:000000018	218
k127_1438|flag=0|multi=238.6722|len=24845_21|#|16383|#|16511|#|1|#|ID=2_21;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=9bp;gc_cont=0.450|unknown:000000007	39
afd:Alfi_0585|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.6e-19|gene:000000019	180
bfr:BF0110|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.0e-35|gene:000000020	184
afd:Alfi_0558|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:6.0e-14|gene:000000021	100
bfr:BF0108|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.8e-12|gene:000000022	109
bfr:BF0107|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:7.3e-184|gene:000000023	374
tfo:BFO_1270|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:6.2e-39|gene:000000024	204
k127_1438|flag=0|multi=238.6722|len=24845_28|#|20353|#|20571|#|-1|#|ID=2_28;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=10bp;gc_cont=0.420|unknown:000000008	67
osp:Odosp_0087|no_gene_symbols|ATPase|K06926|no_pathway_id|Evalue:5.6e-135|gene:000000025	301
mmt:Metme_4541|no_gene_symbols|ATPase-like_protein|no_ko_id|no_pathway_id|Evalue:7.9e-66|gene:000000026	358
mmt:Metme_4540|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.6e-28|gene:000000027	225
k127_1438|flag=0|multi=238.6722|len=24845_32|#|24571|#|24831|#|1|#|ID=2_32;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=9bp;gc_cont=0.452|unknown:000000009	163
bxy:BXY_37240|no_gene_symbols|DNA_binding_domain_excisionase_family|no_ko_id|no_pathway_id|Evalue:9.8e-41|gene:000000028	288
pdi:BDI_1997|dnaK|molecular_chaperone_DnaK|K04043|RNA_degradation;Tuberculosis|Evalue:1.5e-270|gene:000000029	325
tfo:BFO_2318|asnA|aspartate--ammonia_ligase|K01914|Alanine,_aspartate,_and_glutamate_metabolism;Cyanoamino_acid_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Biosynthesis_of_amino_acids|Evalue:2.7e-125|gene:000000030	307
pro:HMPREF0669_00431|no_gene_symbols|Sua5/YciO/YrdC/YwlC_family_protein|K07566|no_pathway_id|Evalue:1.5e-48|gene:000000031	368
oho:Oweho_0903|no_gene_symbols|exopolysaccharide_biosynthesis_polyprenyl_glycosylphosphotransferase|no_ko_id|no_pathway_id|Evalue:4.6e-54|gene:000000032	364
pdi:BDI_1743|no_gene_symbols|chloride_channel_protein|K03281|no_pathway_id|Evalue:1.6e-202|gene:000000033	437
