target_name	normalized_abundance
lrm:LRC_06550|pta|phosphate_acetyltransferase|K00625|Taurine_and_hypotaurine_metabolism;Pyruvate_metabolism;Propanoate_metabolism;Methane_metabolism;Carbon_fixation_pathways_in_prokaryotes;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Carbon_metabolism|Evalue:4.7e-56|gene:000000001	97
lsi:HN6_00953|ung|uracil-DNA_glycosylase_(EC:3.2.2.-)|K03648|Base_excision_repair;Primary_immunodeficiency|Evalue:1.7e-107|gene:000000002	128
lrm:LRC_06530|no_gene_symbols|HAD_superfamily_hydrolase|K07024|no_pathway_id|Evalue:1.1e-124|gene:000000003	138
lrm:LRC_06520|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.1e-50|gene:000000004	130
k127_153|flag=1|multi=9.0000|len=4809_5|#|2811|#|3068|#|1|#|ID=1_5;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.395|unknown:000000001	85
lsi:HN6_00349|pckA|phosphoenolpyruvate_carboxykinase_(EC:4.1.1.49)|K01610|Glycolysis/Gluconeogenesis;Citrate_cycle(TCA_cycle);Pyruvate_metabolism;Carbon_fixation_in_photosynthetic_organisms;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Microbial_metabolism_in_diverse_environments|Evalue:1.8e-211|gene:000000005	108
lrm:LRC_03470|pth|peptidyl-tRNA_hydrolase|K01056|no_pathway_id|Evalue:4.6e-69|gene:000000006	28
lsl:LSL_1360|mfd|transcription-repair_coupling_factor|K03723|Nucleotide_excision_repair|Evalue:0.0e+00|gene:000000007	36
lrm:LRC_03490|no_gene_symbols|PST_family_polysaccharide_transporter|no_ko_id|no_pathway_id|Evalue:5.0e-139|gene:000000008	42
lrm:LRC_03500|hsp|heat_shock_protein|no_ko_id|no_pathway_id|Evalue:8.7e-22|gene:000000009	17
lsi:HN6_00970|no_gene_symbols|Putative_sporulation_transcription_regulator_whiA|K09762|no_pathway_id|Evalue:2.5e-146|gene:000000010	39
lrm:LRC_06330|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.3e-158|gene:000000011	59
lrm:LRC_06320|no_gene_symbols|hypothetical_protein|K06958|no_pathway_id|Evalue:2.2e-128|gene:000000012	46
lrm:LRC_06310|sdhA|L-serine_dehydratase_subunit_alpha|K01752|Glycine,_serine,_and_threonine_metabolism;Cysteine_and_methionine_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Carbon_metabolism;Biosynthesis_of_amino_acids|Evalue:1.4e-117|gene:000000013	44
lrm:LRC_06300|sdhB|L-serine_dehydratase_subunit_beta|K01752|Glycine,_serine,_and_threonine_metabolism;Cysteine_and_methionine_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Carbon_metabolism;Biosynthesis_of_amino_acids|Evalue:1.1e-74|gene:000000014	23
lrm:LRC_06280|luxS|S-ribosylhomocysteinase|K07173|Cysteine_and_methionine_metabolism;Biosynthesis_of_amino_acids;Vibrio_cholerae_pathogenic_cycle|Evalue:4.7e-85|gene:000000015	245
lrm:LRC_06270|uvrA|excinuclease_ABC_subunit_A|K03701|Nucleotide_excision_repair|Evalue:2.1e-34|gene:000000016	42
k127_203|flag=1|multi=7.0000|len=3108_1|#|182|#|373|#|1|#|ID=4_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.354|unknown:000000002	597
lpr:LBP_cg1284|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:6.7e-09|gene:000000017	630
era:ERE_21900|no_gene_symbols|Archaeal_ATPase.|no_ko_id|no_pathway_id|Evalue:3.6e-106|gene:000000018	47
k127_203|flag=1|multi=7.0000|len=3108_4|#|1988|#|2122|#|-1|#|ID=4_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.356|unknown:000000003	15
lsl:LSL_0951|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:7.3e-108|gene:000000019	20
bacc:BRDCF_03275|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.9e-11|gene:000000020	36
bni:BANAN_03965|no_gene_symbols|CrcB_protein|K06199|no_pathway_id|Evalue:1.3e-24|gene:000000021	51
lrr:N134_08680|no_gene_symbols|urease_accessory_protein_UreD|K03190|no_pathway_id|Evalue:3.8e-77|gene:000000022	39
lrr:N134_08685|no_gene_symbols|urease_accessory_protein_UreG|K03189|no_pathway_id|Evalue:2.9e-98|gene:000000023	50
lrr:N134_08690|no_gene_symbols|urease_accessory_protein_UreF|K03188|no_pathway_id|Evalue:2.3e-83|gene:000000024	32
lrr:N134_08695|no_gene_symbols|urease_accessory_protein_UreE|K03187|no_pathway_id|Evalue:1.4e-49|gene:000000025	30
k127_315|flag=1|multi=10.0000|len=2847_1|#|1|#|231|#|1|#|ID=6_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.420|unknown:000000004	7
cay:CEA_G3714|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.6e-19|gene:000000026	13
k127_315|flag=1|multi=10.0000|len=2847_3|#|636|#|980|#|1|#|ID=6_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.429|unknown:000000005	20
k127_315|flag=1|multi=10.0000|len=2847_4|#|994|#|1263|#|1|#|ID=6_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.407|unknown:000000006	20
cay:CEA_G0344|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:2.0e-10|gene:000000027	24
lrt:LRI_1966|no_gene_symbols|toxin-antitoxin_system_antitoxin_component_HicB_family|no_ko_id|no_pathway_id|Evalue:2.7e-38|gene:000000028	20
lcr:LCRIS_01393|no_gene_symbols|orfb|no_ko_id|no_pathway_id|Evalue:7.3e-71|gene:000000029	67
lrm:LRC_18280|no_gene_symbols|ATP-dependent_DNA_helicase|K03657|Nucleotide_excision_repair;Mismatch_repair|Evalue:0.0e+00|gene:000000030	40
lrm:LRC_18290|no_gene_symbols|Na+/H+_antiporter|K03455|no_pathway_id|Evalue:1.5e-198|gene:000000031	40
ljo:LJ1152|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.1e-29|gene:000000032	49
bfg:BF638R_2190|no_gene_symbols|putative_aldo/keto_reductase|no_ko_id|no_pathway_id|Evalue:5.7e-98|gene:000000033	65
lfe:LAF_0635|no_gene_symbols|NAD(P)H_oxidoreductase|no_ko_id|no_pathway_id|Evalue:4.4e-55|gene:000000034	38
lhl:LBHH_0952|no_gene_symbols|MerR_family_transcriptional_regulator|no_ko_id|no_pathway_id|Evalue:1.1e-40|gene:000000035	42
lrm:LRC_18300|no_gene_symbols|phosphoglycerate_mutase|K15634|Glycolysis/Gluconeogenesis;Glycine,_serine,_and_threonine_metabolism;Methane_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Microbial_metabolism_in_diverse_environments;Carbon_metabolism;Biosynthesis_of_amino_acids|Evalue:1.3e-77|gene:000000036	81
lsl:LSL_0369|trmA|tRNA_(Uracil-5-)_-methyltransferase_(EC:2.1.1.35)|K00557|no_pathway_id|Evalue:1.0e-164|gene:000000037	43
lrm:LRC_06860|no_gene_symbols|hypothetical_protein|K07586|no_pathway_id|Evalue:5.2e-96|gene:000000038	267
lpz:Lp16_0962|no_gene_symbols|transport_protein|no_ko_id|no_pathway_id|Evalue:4.5e-94|gene:000000039	29
lbn:LBUCD034_2105|rara3|recombination_factor_protein|K07478|no_pathway_id|Evalue:6.1e-167|gene:000000040	45
sanc:SANR_1940|adh|alcohol_dehydrogenase_(EC:1.1.1.1)|no_ko_id|no_pathway_id|Evalue:1.0e-153|gene:000000041	72
wko:WKK_02085|no_gene_symbols|saccharopine_dehydrogenase-like_protein|no_ko_id|no_pathway_id|Evalue:6.7e-82|gene:000000042	32
lcz:LCAZH_2186|no_gene_symbols|flavodoxin|no_ko_id|no_pathway_id|Evalue:1.4e-24|gene:000000043	19
lsl:LSL_1941|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:8.4e-47|gene:000000044	54
lbr:LVIS_0901|no_gene_symbols|amino_acid_transporter|no_ko_id|no_pathway_id|Evalue:3.2e-196|gene:000000045	39
lrm:LRC_13880|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.1e-46|gene:000000046	581
lrm:LRC_12580|no_gene_symbols|ComE_operon_protein_1|K02237|no_pathway_id|Evalue:3.0e-17|gene:000000047	8
lsi:HN6_00598|comEB|ComE_operon_protein_2|K01493|Pyrimidine_metabolism;Metabolic_pathways|Evalue:2.4e-68|gene:000000048	22
lrm:LRC_12560|no_gene_symbols|ComE_operon_protein_3|K02238|no_pathway_id|Evalue:2.2e-161|gene:000000049	29
lrm:LRC_15250|amyA|alpha-amylase|no_ko_id|no_pathway_id|Evalue:2.3e-217|gene:000000050	478
lsl:LSL_1290|glgP|glycogen_phosphorylase_(EC:2.4.1.1)|K00688|Starch_and_sucrose_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Insulin_signaling_pathway|Evalue:0.0e+00|gene:000000051	430
lrm:LRC_15270|glgA|glycogen_synthase|K00703|Starch_and_sucrose_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:7.7e-201|gene:000000052	340
lrm:LRC_07670|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:8.2e-53|gene:000000053	679
lrm:LRC_07660|pepF|oligoendopeptidase_F|K08602|no_pathway_id|Evalue:7.5e-232|gene:000000054	54
lsl:LSL_0397|no_gene_symbols|competence_protein/transcription_factor|K06198|no_pathway_id|Evalue:6.1e-55|gene:000000055	13
lrm:LRC_07640|mecA|MecA-type_protein|K16511|no_pathway_id|Evalue:8.0e-71|gene:000000056	615
fus:HMPREF0409_01967|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:2.8e-57|gene:000000057	419
k127_504|flag=1|multi=10.0000|len=2563_2|#|1432|#|1686|#|-1|#|ID=14_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.408|unknown:000000007	225
gva:HMPREF0424_0317|no_gene_symbols|kinase_PfkB_family|no_ko_id|no_pathway_id|Evalue:3.3e-24|gene:000000058	44
snu:SPNA45_01119|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.6e-40|gene:000000059	26
lrm:LRC_19210|no_gene_symbols|zinc/cadmium-transporting_ATPase|K01534|no_pathway_id|Evalue:5.2e-188|gene:000000060	47
lsi:HN6_00931|no_gene_symbols|2'3'-cyclic-nucleotide_2'-phosphodiesterase_(EC:3.1.4.16)|K06950|no_pathway_id|Evalue:3.5e-177|gene:000000061	307
lrm:LRC_11400|no_gene_symbols|Deoxyguanosine_kinase|no_ko_id|no_pathway_id|Evalue:4.0e-99|gene:000000062	27
lsl:LSL_1284|kup|Kup_system_potassium_uptake_protein|K03549|no_pathway_id|Evalue:1.1e-266|gene:000000063	27
lrm:LRC_12930|ftsQ|cell_division_protein|K03589|Cell_cycle-Caulobacter|Evalue:1.4e-53|gene:000000064	32
lsi:HN6_00867|murG|UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase_(Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc_GlcNAc_transferase)_(EC:2.4.1.227)|K02563|Peptidoglycan_biosynthesis;Metabolic_pathways;Cell_cycle-Caulobacter|Evalue:6.5e-154|gene:000000065	47
lsl:LSL_1051|murD|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_synthetase_(EC:6.3.2.9)|K01925|D-Glutamine_and_D-glutamate_metabolism;Peptidoglycan_biosynthesis;Metabolic_pathways|Evalue:1.5e-176|gene:000000066	52
lrm:LRC_12960|mraY|phospho-N-acetylmuramoyl-pentapeptide-transferase|K01000|Peptidoglycan_biosynthesis;Metabolic_pathways|Evalue:9.3e-138|gene:000000067	42
k127_735|flag=1|multi=7.0000|len=6773_1|#|2|#|577|#|1|#|ID=18_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.401|unknown:000000008	17
lsi:HN6_00516|dnaJ|chaperone_protein_dnaJ|K03686|no_pathway_id|Evalue:8.5e-133|gene:000000068	221
lrm:LRC_08700|no_gene_symbols|chaperone_DnaK|K04043|RNA_degradation;Tuberculosis|Evalue:1.3e-279|gene:000000069	2243
lsi:HN6_00514|grpE|protein_grpE|K03687|no_pathway_id|Evalue:1.9e-48|gene:000000070	1378
lrm:LRC_08680|no_gene_symbols|heat-inducible_transcription_repressor|K03705|no_pathway_id|Evalue:3.5e-133|gene:000000071	1346
lsl:LSL_0575|ribF|riboflavin_kinase/FMN_adenylyltransferase_(EC:2.7.1.26_2.7.7.2)|K11753|Riboflavin_metabolism;Metabolic_pathways|Evalue:1.3e-95|gene:000000072	21
lrm:LRC_10550|apt|adenine_phosphoribosyltransferase|K00759|Purine_metabolism;Metabolic_pathways|Evalue:3.8e-88|gene:000000073	214
lsi:HN6_00902|recJ|ssDNA-specific_exonuclease_RecJ_(EC:3.1.-.-)|K07462|Base_excision_repair;Mismatch_repair;Homologous_recombination|Evalue:6.4e-212|gene:000000074	152
lrm:LRC_04820|murA|UDP-N-acetylglucosamine_1-carboxyvinyltransferase|K00790|Amino_sugar_and_nucleotide_sugar_metabolism;Peptidoglycan_biosynthesis;Metabolic_pathways|Evalue:2.1e-204|gene:000000075	48
lrm:LRC_04830|rho|transcription_termination_factor_rho|K03628|RNA_degradation|Evalue:1.0e-185|gene:000000076	39
lsl:LSL_0347|rpmE2|50S_ribosomal_protein_L31|K02909|Ribosome|Evalue:8.3e-41|gene:000000077	297
bcu:BCAH820_0553|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.1e-12|gene:000000078	21
lrr:N134_06430|no_gene_symbols|Cro/Cl_family_transcriptional_regulator|no_ko_id|no_pathway_id|Evalue:3.4e-13|gene:000000079	294
k127_809|flag=1|multi=7.0000|len=5606_6|#|4530|#|4787|#|1|#|ID=20_6;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430|unknown:000000009	161
lrm:LRC_04890|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.9e-66|gene:000000080	259
lrm:LRC_12060|no_gene_symbols|chromosome_partition_protein|K03529|no_pathway_id|Evalue:2.2e-232|gene:000000081	30
lrm:LRC_12070|no_gene_symbols|ribonuclease_III|K03685|Ribosome_biogenesis_in_eukaryotes;Proteoglycans_in_cancer|Evalue:2.9e-107|gene:000000082	27
pce:PECL_1039|acpP|acyl_carrier_protein|K02078|no_pathway_id|Evalue:2.6e-23|gene:000000083	155
lrm:LRC_12090|no_gene_symbols|Fatty_acid/phospholipid_synthesis_protein|K03621|Glycerolipid_metabolism;Glycerophospholipid_metabolism;Metabolic_pathways|Evalue:8.0e-138|gene:000000084	78
lrm:LRC_12100|no_gene_symbols|ATP-dependent_DNA_helicase|K03655|Homologous_recombination|Evalue:5.4e-255|gene:000000085	72
lrm:LRC_12110|no_gene_symbols|hypothetical_protein|K07030|no_pathway_id|Evalue:5.4e-208|gene:000000086	205
lrm:LRC_12120|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.0e-55|gene:000000087	126
lsl:LSL_0619|rpmB|50S_ribosomal_protein_L28|K02902|Ribosome|Evalue:1.9e-26|gene:000000088	114
lrm:LRC_18930|no_gene_symbols|oligopeptide_ABC_transporter_binding_protein|no_ko_id|no_pathway_id|Evalue:3.9e-195|gene:000000089	32
llm:llmg_1099|glpK|glycerol_kinase_(EC:2.7.1.30)|K00864|Glycerolipid_metabolism;Metabolic_pathways;PPAR_signaling_pathway;Plant-pathogen_interaction|Evalue:8.0e-264|gene:000000090	142
lde:LDBND_1824|glpF|glycerol_uptake_facilitator_permease_(major_intrinsic_protein_family)|K02440|no_pathway_id|Evalue:8.0e-97|gene:000000091	117
lde:LDBND_1825|no_gene_symbols|dihydroxyacetone_kinase_phosphotransfer_subunit|no_ko_id|no_pathway_id|Evalue:5.1e-42|gene:000000092	85
lde:LDBND_1826|dAK|dihydroxyacetone_kinase_l_subunit|K05879|Glycerolipid_metabolism;Metabolic_pathways|Evalue:1.1e-72|gene:000000093	98
lde:LDBND_1827|dAK|dihydroxyacetone_kinase_dhak_subunit|K05878|Glycerolipid_metabolism;Metabolic_pathways|Evalue:9.1e-147|gene:000000094	98
lsl:LSL_1634|dAK|DhaKLM_operon_coactivator_DhaQ_(EC:2.7.1.29)|K00863|Glycerolipid_metabolism;Methane_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Carbon_metabolism;RIG-I-like_receptor_signaling_pathway|Evalue:7.7e-90|gene:000000095	74
lde:LDBND_1823|no_gene_symbols|transcriptional_regulator|no_ko_id|no_pathway_id|Evalue:1.6e-46|gene:000000096	39
lrm:LRC_09260|no_gene_symbols|carbamoyl_phosphate_synthase_large_subunit|K01955|Pyrimidine_metabolism;Alanine,_aspartate,_and_glutamate_metabolism;Metabolic_pathways|Evalue:3.4e-277|gene:000000097	34
