gene_name	cdR20291_gene	cd630_gene	cdR20291_homolog	cd630_homolog	iCdR700_included	iCdG706_included
none	fig|645463.3.peg.56	none	1	0	0	0
thymidylate synthase (EC 2.1.1.45)	fig|645463.3.peg.57	none	1	0	1	0
dihydrofolate reductase (EC 1.5.1.3)	fig|645463.3.peg.58	none	1	0	1	0
none	fig|645463.3.peg.59	none	1	0	0	0
none	fig|645463.3.peg.217	none	1	0	0	0
dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	fig|645463.3.peg.237	none	1	0	1	0
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	fig|645463.3.peg.239	none	1	0	1	0
none	fig|645463.3.peg.257	none	1	0	0	0
none	fig|645463.3.peg.258	none	1	0	0	0
none	fig|645463.3.peg.259	none	1	0	0	0
none	fig|645463.3.peg.261	none	1	0	0	0
none	fig|645463.3.peg.262	none	1	0	0	0
none	fig|645463.3.peg.326	none	1	0	0	0
none	fig|645463.3.peg.327	none	1	0	0	0
none	fig|645463.3.peg.328	none	1	0	0	0
none	fig|645463.3.peg.348	none	1	0	0	0
none	fig|645463.3.peg.357	none	1	0	0	0
none	fig|645463.3.peg.358	none	1	0	0	0
none	fig|645463.3.peg.359	none	1	0	0	0
none	fig|645463.3.peg.381	none	1	0	0	0
none	fig|645463.3.peg.382	none	1	0	0	0
none	fig|645463.3.peg.400	none	1	0	0	0
none	fig|645463.3.peg.404	none	1	0	0	0
none	fig|645463.3.peg.409	none	1	0	0	0
none	fig|645463.3.peg.410	none	1	0	0	0
none	fig|645463.3.peg.432	none	1	0	0	0
none	fig|645463.3.peg.434	none	1	0	0	0
none	fig|645463.3.peg.436	none	1	0	0	0
none	fig|645463.3.peg.457	none	1	0	0	0
none	fig|645463.3.peg.532	none	1	0	0	0
none	fig|645463.3.peg.535	none	1	0	0	0
none	fig|645463.3.peg.536	none	1	0	0	0
none	fig|645463.3.peg.538	none	1	0	0	0
none	fig|645463.3.peg.541	none	1	0	0	0
