patric	product
645463.3.peg.1	Chromosomal_replication_initiator_protein_DnaA
645463.3.peg.881	Agmatinase_(EC_3.5.3.11)
645463.3.peg.882	Cold_shock_protein_of_CSP_family
645463.3.peg.883	[FeFe]_hydrogenase_(EC_1.12.7.2)
645463.3.peg.884	[FeFe]_hydrogenase_(EC_1.12.7.2)
645463.3.peg.885	hypothetical_protein
645463.3.peg.886	Mobile_element_protein
645463.3.peg.887	MBL-fold_metallo-hydrolase_superfamily
645463.3.peg.888	hypothetical_protein
645463.3.peg.889	hypothetical_protein
645463.3.peg.890	ATP-dependent_Zn_protease
645463.3.peg.891	DNA_polymerase_IV_(EC_2.7.7.7)
645463.3.peg.892	ABC_transporter,_ATP-binding_protein_(cluster_13,_osmolytes)
645463.3.peg.893	ABC_transporter,_permease_protein_(cluster_13,_osmolytes)_/_ABC_transporter,_substrate-binding_protein_(cluster_13,_osmolytes)
645463.3.peg.76	SSU_ribosomal_protein_S12p_(S23e)
645463.3.peg.894	Cobalt-zinc-cadmium_resistance_protein
645463.3.peg.895	hypothetical_protein
645463.3.peg.896	hypothetical_protein
645463.3.peg.897	UbiA_polyprenyltransferase_family_protein
645463.3.peg.77	SSU_ribosomal_protein_S7p_(S5e)
645463.3.peg.898	Phosphoserine_phosphatase_(EC_3.1.3.3)
645463.3.peg.899	hypothetical_protein
645463.3.peg.900	Multi_antimicrobial_extrusion_protein_(Na(+)/drug_antiporter),_MATE_family_of_MDR_efflux_pumps
645463.3.peg.901	SSU_ribosomal_protein_S1p
645463.3.peg.902	putative_histidinol_phosphatase_and_related_hydrolases_of_the_PHP_family
645463.3.peg.78	Translation_elongation_factor_G
645463.3.peg.903	hypothetical_protein
645463.3.peg.904	2-isopropylmalate_synthase_(EC_2.3.3.13)
645463.3.peg.905	3-isopropylmalate_dehydratase_large_subunit_(EC_4.2.1.33)
645463.3.peg.906	3-isopropylmalate_dehydratase_small_subunit_(EC_4.2.1.33)
645463.3.peg.907	3-isopropylmalate_dehydrogenase_(EC_1.1.1.85)
645463.3.peg.908	hypothetical_protein
645463.3.peg.909	Serine--pyruvate_aminotransferase_(EC_2.6.1.51)
645463.3.peg.910	D-3-phosphoglycerate_dehydrogenase_(EC_1.1.1.95)
645463.3.peg.911	Related_to_HTH_domain_of_SpoOJ/ParA/ParB/repB_family,_involved_in_chromosome_partitioning
645463.3.peg.912	hypothetical_protein
645463.3.peg.913	UPF0313_[4Fe-4S]_protein_YgiQ
645463.3.peg.914	ABC_transporter,_substrate-binding_protein_(cluster_10,_nitrate/sulfonate/bicarbonate)
645463.3.peg.915	ABC_transporter,_permease_protein_(cluster_10,_nitrate/sulfonate/bicarbonate)
645463.3.peg.916	ABC_transporter,_ATP-binding_protein_(cluster_10,_nitrate/sulfonate/bicarbonate)
645463.3.peg.917	Cys-tRNA(Pro)_deacylase_YbaK
645463.3.peg.918	Fumarate_hydratase_class_I,_alpha_region_(EC_4.2.1.2);_L(+)-tartrate_dehydratase_alpha_subunit_(EC_4.2.1.32)
645463.3.peg.919	Fumarate_hydratase_class_I,_beta_region_(EC_4.2.1.2);_L(+)-tartrate_dehydratase_beta_subunit_(EC_4.2.1.32)
645463.3.peg.79	Translation_elongation_factor_Tu
645463.3.peg.920	NADP-dependent_malic_enzyme_(EC_1.1.1.40)
645463.3.peg.921	Transcriptional_regulator
645463.3.peg.922	ABC_transporter-coupled_two-component_system,_LuxR_family_response_regulator
645463.3.peg.923	ABC_transporter-coupled_two-component_system,_signal_transduction_histidine_kinase
645463.3.peg.924	ABC_transporter-coupled_two-component_system,_ATP-binding_protein
645463.3.peg.925	ABC_transporter-coupled_two-component_system,_fused_permease_protein
645463.3.peg.926	Uncharacterized_S1_RNA_binding_domain_protein_YitL
645463.3.peg.927	hypothetical_protein
645463.3.peg.928	Predicted_transcriptional_regulator_of_N-Acetylglucosamine_utilization,_GntR_family
645463.3.peg.929	N-acetylgalactosamine-6-phosphate_deacetylase
645463.3.peg.930	Glucosamine-6-phosphate_deaminase_(EC_3.5.99.6)
645463.3.peg.931	hypothetical_protein
645463.3.peg.932	Two-component_system_response_regulator_QseB
645463.3.peg.933	Sensor_protein_cssS_(EC_2.7.13.3)
645463.3.peg.934	hypothetical_protein
645463.3.peg.80	SSU_ribosomal_protein_S10p_(S20e)
645463.3.peg.935	sensory_box/GGDEF/EAL/CBS_domain_protein
645463.3.peg.936	hypothetical_protein
645463.3.peg.937	Multidrug-efflux_transporter_transcription_regulator_BltR
645463.3.peg.938	Efflux_ABC_transporter,_permease/ATP-binding_protein_BLi02168
645463.3.peg.81	LSU_ribosomal_protein_L3p_(L3e)
645463.3.peg.939	Efflux_ABC_transporter,_permease/ATP-binding_protein_BLi02169
645463.3.peg.940	hypothetical_protein
645463.3.peg.941	hypothetical_protein
645463.3.peg.942	Cellulosomal_protein
645463.3.peg.943	hypothetical_protein
645463.3.peg.82	LSU_ribosomal_protein_L4p_(L1e)
