target_name	normalized_abundance
lsi:HN6_00522|no_gene_symbols|Transposase_ISLasa6a_IS3_family|no_ko_id|no_pathway_id|Evalue:3.4e-20|gene:000000001	284
k127_5325|flag=0|multi=34.0552|len=21666_2|#|973|#|1227|#|1|#|ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.333|unknown:000000001	40
lrh:LGG_00143|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:2.3e-46|gene:000000002	57
lba:Lebu_0123|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.1e-141|gene:000000003	67
lrm:LRC_05650|no_gene_symbols|NUDIX_hydrolase|K03574|no_pathway_id|Evalue:3.7e-49|gene:000000004	343
lai:LAC30SC_02280|no_gene_symbols|phage_related_helicase|K17677|no_pathway_id|Evalue:0.0e+00|gene:000000005	376
ssr:SALIVB_0500|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.3e-141|gene:000000006	388
gtn:GTNG_2006|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.1e-11|gene:000000007	15
k127_5325|flag=0|multi=34.0552|len=21666_9|#|10663|#|11028|#|1|#|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.344|unknown:000000002	19
ldl:LBU_1051|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.6e-14|gene:000000008	25
k127_5325|flag=0|multi=34.0552|len=21666_11|#|11487|#|11897|#|-1|#|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.404|unknown:000000003	25
k127_5325|flag=0|multi=34.0552|len=21666_12|#|12121|#|12330|#|1|#|ID=1_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.319|unknown:000000004	13
slu:KE3_1118|no_gene_symbols|Glycoside_hydrolase_family_1|K01223|Glycolysis/Gluconeogenesis|Evalue:3.7e-226|gene:000000009	1581
ecas:ECBG_03134|no_gene_symbols|hypothetical_protein|K02760|Phosphotransferase_system_(PTS)|Evalue:3.0e-35|gene:000000010	1231
ecas:ECBG_03135|no_gene_symbols|hypothetical_protein|K03491|no_pathway_id|Evalue:7.1e-159|gene:000000011	1472
ecas:ECBG_03136|no_gene_symbols|PTS_system_cellobiose-specific_IIA_componenent|K02759|Phosphotransferase_system_(PTS)|Evalue:3.1e-32|gene:000000012	937
efc:EFAU004_02571|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:3.7e-11|gene:000000013	1160
ecas:ECBG_03138|no_gene_symbols|PTS_system_lactose/cellobiose_family_IIC_component|K02761|Phosphotransferase_system_(PTS)|Evalue:5.1e-169|gene:000000014	1472
k127_5325|flag=0|multi=34.0552|len=21666_19|#|18643|#|19215|#|1|#|ID=1_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.382|unknown:000000005	339
k127_5325|flag=0|multi=34.0552|len=21666_20|#|19306|#|19785|#|1|#|ID=1_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.417|unknown:000000006	525
sip:N597_09715|no_gene_symbols|ion_channel|no_ko_id|no_pathway_id|Evalue:3.5e-28|gene:000000015	62
lsl:LSL_1883|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.9e-86|gene:000000016	64
scf:Spaf_1931|fap1|fimbriae-associated_protein_Fap1_(fap1)|no_ko_id|no_pathway_id|Evalue:2.7e-29|gene:000000017	256
lrm:LRC_19710|no_gene_symbols|NADPH-dependent_FMN_reductase|no_ko_id|no_pathway_id|Evalue:1.5e-71|gene:000000018	481
lpz:Lp16_2314|no_gene_symbols|thiamin_biosynthesis_lipoprotein_ApbE|K03734|no_pathway_id|Evalue:3.0e-102|gene:000000019	446
lrm:LRC_19810|no_gene_symbols|Stage_III_sporulation_protein_J|K03217|Protein_export;Bacterial_secretion_system|Evalue:6.3e-101|gene:000000020	1275
lrm:LRC_19820|no_gene_symbols|ribonuclease_P|K03536|no_pathway_id|Evalue:2.8e-50|gene:000000021	785
lsl:LSL_0001|dnaA|chromosomal_replication_initiation_protein|K02313|Two-component_system;Cell_cycle-Caulobacter|Evalue:3.8e-180|gene:000000022	557
lsl:LSL_0002|dnaN|DNA_polymerase_III_subunit_beta_(EC:2.7.7.7)|K02338|Purine_metabolism;Pyrimidine_metabolism;Metabolic_pathways;DNA_replication;Mismatch_repair;Homologous_recombination|Evalue:4.8e-152|gene:000000023	734
lrm:LRC_00040|yaaA|S4_domain_containing_protein_YaaA|no_ko_id|no_pathway_id|Evalue:3.5e-22|gene:000000024	356
lsl:LSL_0004|recF|recombination_protein_F|K03629|Homologous_recombination|Evalue:5.2e-144|gene:000000025	588
lrm:LRC_00060|gyrB|DNA_gyrase_subunit_B|K02470|no_pathway_id|Evalue:0.0e+00|gene:000000026	683
lrm:LRC_00070|gyrA|DNA_gyrase_subunit_A|K02469|no_pathway_id|Evalue:0.0e+00|gene:000000027	830
med:MELS_2179|no_gene_symbols|NAD-binding_protein|K07118|no_pathway_id|Evalue:8.3e-69|gene:000000028	245
lrm:LRC_00080|s6|30S_ribosomal_protein_S6|K02990|Ribosome|Evalue:2.2e-45|gene:000000029	2498
lsi:HN6_00006|ssb|ssDNA-binding_protein|K03111|DNA_replication;Mismatch_repair;Homologous_recombination|Evalue:1.4e-59|gene:000000030	4018
lrm:LRC_00100|s18|30S_ribosomal_protein_S18|K02963|Ribosome|Evalue:3.4e-36|gene:000000031	2470
k127_9253|flag=0|multi=38.0220|len=15369_1|#|3|#|236|#|1|#|ID=3_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.410|unknown:000000007	90
lde:LDBND_1635|lacR|lactose_phosphotransferase_system_repressor|K02530|no_pathway_id|Evalue:5.0e-65|gene:000000032	186
apv:Apar_0324|no_gene_symbols|DeoR_family_transcriptional_regulator|no_ko_id|no_pathway_id|Evalue:3.4e-40|gene:000000033	393
k127_9253|flag=0|multi=38.0220|len=15369_4|#|1901|#|2659|#|-1|#|ID=3_4;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.397|unknown:000000008	123
lcl:LOCK919_2992|no_gene_symbols|putative_L-ascorbate-6-phosphate_lactonase_UlaG|K03476|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments|Evalue:1.2e-173|gene:000000034	76
lcn:C270_00310|no_gene_symbols|PTS_system_mannitol/fructose-specific_transporter_subunit_IIA_domain-containing_protein|K02821|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Phosphotransferase_system_(PTS)|Evalue:6.7e-44|gene:000000035	91
efu:HMPREF0351_11024|no_gene_symbols|PTS_system_transporter_subunit_IIC_(EC:2.7.1.69)|K03475|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Phosphotransferase_system_(PTS)|Evalue:1.2e-211|gene:000000036	118
ehr:EHR_13090|no_gene_symbols|phosphotransferase_enzyme_II_B_component_SgaB|K02822|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Phosphotransferase_system_(PTS)|Evalue:3.2e-26|gene:000000037	107
lro:LOCK900_2729|no_gene_symbols|3-keto-L-gulonate_6-phosphate_decarboxylase|K03081|Pentose_and_glucuronate_interconversions|Evalue:1.1e-90|gene:000000038	98
lcb:LCABL_29090|serB|L-xylulose_5-phosphate_3-epimerase_(EC:3.1.3.3)|K03082|Pentose_and_glucuronate_interconversions|Evalue:5.4e-95|gene:000000039	93
lsa:LSA1857|araD|L-ribulose-5-phosphate_4-epimerase_(EC:5.1.3.4)|K01786|Pentose_and_glucuronate_interconversions;Metabolic_pathways|Evalue:5.6e-95|gene:000000040	60
lsl:LSL_1323|ackA|acetate_kinase_(EC:2.7.2.1)|K00925|Taurine_and_hypotaurine_metabolism;Pyruvate_metabolism;Propanoate_metabolism;Methane_metabolism;Carbon_fixation_pathways_in_prokaryotes;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Carbon_metabolism|Evalue:3.4e-156|gene:000000041	1005
lru:HMPREF0538_22257|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.4e-43|gene:000000042	394
lru:HMPREF0538_22256|no_gene_symbols|transcriptional_regulator|no_ko_id|no_pathway_id|Evalue:2.3e-28|gene:000000043	480
lrf:LAR_1236|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:7.6e-44|gene:000000044	1778
lru:HMPREF0538_22227|uvrA2|excision_endonuclease_subunit_UvrA_(EC:3.1.25.-)|K03701|Nucleotide_excision_repair|Evalue:0.0e+00|gene:000000045	133
lsi:HN6_00038|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:6.3e-43|gene:000000046	99
lde:LDBND_0918|no_gene_symbols|act_domain-containing_protein|K07166|no_pathway_id|Evalue:2.2e-23|gene:000000047	833
lsi:HN6_00137|no_gene_symbols|hypothetical_protein|K09157|no_pathway_id|Evalue:1.5e-208|gene:000000048	1692
lrm:LRC_00780|no_gene_symbols|DeoR_family_transcriptional_regulator|K03436|no_pathway_id|Evalue:1.2e-87|gene:000000049	462
lsl:LSL_0164|fruK|1-phosphofructokinase_(EC:2.7.1.56)|K00882|Fructose_and_mannose_metabolism|Evalue:4.4e-140|gene:000000050	491
lrm:LRC_00800|no_gene_symbols|PTS_system_fructose-specific_transporter_subunit_IIABC|K02770|Fructose_and_mannose_metabolism;Metabolic_pathways;Phosphotransferase_system_(PTS)|Evalue:1.4e-252|gene:000000051	738
lsi:HN6_01262|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:8.7e-185|gene:000000052	510
lde:LDBND_1780|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:9.1e-81|gene:000000053	533
lsi:HN6_01422|no_gene_symbols|amino_acid_permease|no_ko_id|no_pathway_id|Evalue:4.7e-218|gene:000000054	324
lsi:HN6_01278|no_gene_symbols|O-acetyl_transferase_(EC:2.3.1.-)|no_ko_id|no_pathway_id|Evalue:3.6e-61|gene:000000055	175
lde:LDBND_0978|no_gene_symbols|bacterial_membrane_protein_yfho|no_ko_id|no_pathway_id|Evalue:4.1e-143|gene:000000056	460
lrm:LRC_01200|no_gene_symbols|glycosyltransferase|no_ko_id|no_pathway_id|Evalue:4.1e-149|gene:000000057	721
lrm:LRC_01190|gtrA|GtrA_containing_transmembrane_protein|no_ko_id|no_pathway_id|Evalue:5.5e-52|gene:000000058	434
lsl:LSL_0166|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.9e-43|gene:000000059	648
lrm:LRC_01390|no_gene_symbols|UDP-galactopyranose_mutase|K01854|no_pathway_id|Evalue:5.3e-196|gene:000000060	705
