Exchange reaction ID	Substrate	Median optimal flux	significance
EX_cpd00276_e	D-Glucosamine	0.0	*
EX_cpd00023_e	L-Glutamate	-16.103244803483904	n.s.
EX_cpd00971_e	Na+	-0.08266552773898184	n.s.
EX_cpd00051_e	L-Arginine	-5.290593775271873	n.s.
EX_cpd10515_e	Fe2+	-0.08266552773875446	n.s.
EX_cpd00009_e	Phosphate	401.3113784810007	n.s.
EX_cpd00076_e	Sucrose	-0.12399829160801801	n.s.
EX_cpd00067_e	H+	-332.49388004936156	n.s.
EX_cpd00122_e	N-Acetyl-D-glucosamine	798.1476652165584	n.s.
EX_cpd00220_e	Riboflavin	-0.09093208051251622	n.s.
EX_cpd00307_e	Cytosine	281.9307823525693	n.s.
EX_cpd00254_e	Mg	-0.08266552773864078	n.s.
EX_cpd00205_e	K+	-0.08266552773875446	n.s.
EX_cpd00305_e	Thiamin	-0.08266552773852709	n.s.
EX_cpd00065_e	L-Tryptophan	-1.0581187550544655	n.s.
EX_cpd00149_e	Co2+	-0.08266552773864078	n.s.
EX_cpd00099_e	Cl-	-0.08266552773864078	n.s.
EX_cpd00104_e	Biotin	-0.08266552773875446	n.s.
EX_cpd00011_e	CO2	851.1578297244707	n.s.
EX_cpd00063_e	Ca2+	-0.08266552773864078	n.s.
EX_cpd01080_e	Octadecanoic acid	-0.041332763869263545	n.s.
EX_cpd00156_e	L-Valine	-10.845717239307191	n.s.
EX_cpd00039_e	L-Lysine	-39.91091679220659	n.s.
EX_cpd00393_e	Folate	-0.08266552773852709	n.s.
EX_cpd00322_e	L-Isoleucine	-787.9919414101934	n.s.
EX_cpd00030_e	Mn2+	-0.08266552773864078	n.s.
EX_cpd00516_e	meso-2,6-Diaminopimelate	-24.79965832158655	n.s.
EX_cpd00644_e	Pantothenate	-0.17359760825172543	n.s.
EX_cpd00263_e	Pyridoxol	-0.08266552773875446	n.s.
EX_cpd00232_e	N-Acetyl-Neuraminic acid	-50.42597192055973	n.s.
EX_cpd00107_e	L-Leucine	-15.045126048429097	n.s.
EX_cpd00567_e	D-Proline	-462.91582539786566	n.s.
EX_cpd00054_e	L-Serine	-334.91714744131536	n.s.
EX_cpd00041_e	L-Aspartate	-9.456936373298504	n.s.
EX_cpd19585_e	2-Methylbutyrate	771.3086426455934	n.s.
EX_cpd00339_e	5-Aminopentanoate	457.57022535465046	NA
EX_cpd03170_e	4-Hydroxymandelate	77.10550266764692	NA
EX_cpd00036_e	Succinate	-1.6119777909040067	n.s.
EX_cpd00029_e	Acetate	606.6369782452034	n.s.
EX_cpd00141_e	Propionate	856.2876722643352	n.s.
EX_cpd00013_e	Ammonia	86.21459331802791	n.s.
EX_cpd00133_e	Nicotinamide	-0.41332763869343125	n.s.
EX_cpd00443_e	4-Aminobenzoate	-0.08266552773852709	n.s.
EX_cpd11582_e	ala-L-Thr-L	-8.200420351671255	n.s.
EX_cpd11581_e	gly-asn-L	-10.647319972734522	n.s.
EX_cpd15603_e	Gly-Cys	-2.141037168431808	NA
EX_cpd15605_e	Gly-Phe	-7.241500229903295	n.s.
EX_cpd29694_e	L-ala-gly	-134.67867779176265	n.s.
EX_cpd29697_e	L-ala-L-his	-2.248502354490597	NA
EX_cpd29693_e	gly-L-met	-4.463938497885465	NA
EX_cpd02711_e	2-keto-3-deoxygluconate	-337.4844601054318	n.s.
EX_cpd00072_e	D-fructose-6-phosphate	-127.4170861715283	n.s.
EX_cpd00136_e	4-Hydroxybenzoate	-84.07895702990425	n.s.
EX_cpd03561_e	2-Hydroxybutyrate	-854.6435610995326	n.s.
EX_cpd00047_e	Formate	999.6375294581201	n.s.
EX_cpd00311_e	Guanosine	-368.5854177935918	n.s.
EX_cpd00277_e	Deoxyguanosine	-335.9777467280808	n.s.
EX_cpd00654_e	Deoxycytidine	-2.6039641237664455	n.s.
EX_cpd00412_e	Deoxyuridine	-297.17530922707874	n.s.
EX_cpd00438_e	Deoxyadenosine	9.976441269132295	NA
EX_cpd00186_e	D-Glutamate	-49.59931664317298	n.s.
EX_cpd00207_e	Guanine	786.4007198629333	NA
