target_name	normalized_abundance
cdf:CD630_08790|no_gene_symbols|carbohydrate_kinase|no_ko_id|no_pathway_id|Evalue:1.1e-298|gene:000000001	858
cdg:CDBI1_04255|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:6.4e-68|gene:000000002	440
cdg:CDBI1_04260|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.3e-122|gene:000000003	921
cdf:CD630_08820|glgC|glucose-1-phosphate_adenylyltransferase_(EC:2.7.7.27)|K00975|Starch_and_sucrose_metabolism;Amino_sugar_and_nucleotide_sugar_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:8.2e-208|gene:000000004	1134
cdf:CD630_08830|glgD|glycogen_biosynthesis_protein|K00975|Starch_and_sucrose_metabolism;Amino_sugar_and_nucleotide_sugar_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:1.2e-203|gene:000000005	596
cdf:CD630_08840|glgA|glycogen_synthase_(Starch_[bacterial_glycogen]_synthase)_(EC:2.4.1.21)|K00703|Starch_and_sucrose_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:8.8e-284|gene:000000006	799
cdf:CD630_08850|glgP|glycogen_phosphorylase_(EC:2.4.1.1)|K00688|Starch_and_sucrose_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Insulin_signaling_pathway|Evalue:0.0e+00|gene:000000007	806
cdf:CD630_08860|no_gene_symbols|alpha-amylase_(EC:3.2.1.-)|no_ko_id|no_pathway_id|Evalue:0.0e+00|gene:000000008	617
cdf:CD630_08870|no_gene_symbols|GntR_family_transcriptional_regulator|no_ko_id|no_pathway_id|Evalue:1.3e-114|gene:000000009	472
cdf:CD630_08880|speA|Arginine_decarboxylase_(EC:4.1.1.19)|K01585|Arginine_and_proline_metabolism;Metabolic_pathways|Evalue:1.8e-276|gene:000000010	780
cdg:CDBI1_04300|no_gene_symbols|S-adenosylmethionine_decarboxylase_proenzyme|K01611|Cysteine_and_methionine_metabolism;Arginine_and_proline_metabolism;Metabolic_pathways|Evalue:1.0e-75|gene:000000011	557
cdc:CD196_0840|speE|spermidine_synthase|K00797|Cysteine_and_methionine_metabolism;Arginine_and_proline_metabolism;beta-Alanine_metabolism;Glutathione_metabolism;Metabolic_pathways|Evalue:4.4e-166|gene:000000012	719
cdg:CDBI1_04310|no_gene_symbols|agmatinase|K01480|Arginine_and_proline_metabolism;Metabolic_pathways|Evalue:1.7e-168|gene:000000013	707
cdc:CD196_0842|cspA|cold_shock_protein|K03704|no_pathway_id|Evalue:1.7e-31|gene:000000014	96
cdf:CD630_08930|no_gene_symbols|iron-dependent_hydrogenase_(EC:1.12.7.2)|no_ko_id|no_pathway_id|Evalue:2.6e-270|gene:000000015	1348
