target_name	normalized_abundance
k127_1448|flag=0|multi=18.0000|len=3722_1|#|221|#|1018|#|1|#|ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.346|unknown:000000001	38
mhy:mhp023|no_gene_symbols|ABC_transporter_ATP-binding_protein|no_ko_id|no_pathway_id|Evalue:5.7e-32|gene:000000001	30
k127_1448|flag=0|multi=18.0000|len=3722_3|#|3505|#|3720|#|1|#|ID=1_3;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.431|unknown:000000002	32
k127_4324|flag=1|multi=22.0000|len=8832_1|#|2|#|190|#|-1|#|ID=2_1;partial=10;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.354|unknown:000000003	11
ttm:Tthe_0830|no_gene_symbols|DEAD_2_domain-containing_protein|no_ko_id|no_pathway_id|Evalue:7.0e-150|gene:000000002	28
acl:ACL_0007|gyrA|DNA_gyrase_subunit_A_(EC:5.99.1.3)|K02469|no_pathway_id|Evalue:1.5e-294|gene:000000003	52
acl:ACL_0006|gyrB|DNA_gyrase_subunit_B_(EC:5.99.1.3)|K02470|no_pathway_id|Evalue:2.1e-237|gene:000000004	62
acl:ACL_0005|recF|DNA_replication_and_repair_protein|K03629|Homologous_recombination|Evalue:4.8e-50|gene:000000005	20
bcy:Bcer98_0003|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.7e-13|gene:000000006	9
ddh:Desde_0894|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.0e-33|gene:000000007	6
bag:Bcoa_1679|no_gene_symbols|ABC_transporter-like_protein|K02028|no_pathway_id|Evalue:3.6e-73|gene:000000008	21
rix:RO1_22990|no_gene_symbols|amine_acid_ABC_transporter_permease_protein_3-TM_region_His/Glu/Gln/Arg/opine_family|K02030|no_pathway_id|Evalue:4.5e-48|gene:000000009	16
hcb:HCBAA847_0854|no_gene_symbols|arginine-binding_periplasmic_protein|K02030|no_pathway_id|Evalue:3.0e-47|gene:000000010	42
ddn:DND132_3131|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.6e-22|gene:000000011	15
fsu:Fisuc_1168|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:6.1e-142|gene:000000012	23
cle:Clole_1977|no_gene_symbols|nitrogen_regulatory_protein_P-II|no_ko_id|no_pathway_id|Evalue:2.7e-12|gene:000000013	16
fsc:FSU_1628|no_gene_symbols|putative_nitrogen_regulatory_protein_P-II|no_ko_id|no_pathway_id|Evalue:2.4e-30|gene:000000014	12
cow:Calow_0264|no_gene_symbols|cell_wall_hydrolase/autolysin|K01448|no_pathway_id|Evalue:2.6e-12|gene:000000015	29
acl:ACL_1366|no_gene_symbols|membrane-anchored_GGDEF_domain-containing_protein|no_ko_id|no_pathway_id|Evalue:1.8e-54|gene:000000016	15
gym:GYMC10_5774|no_gene_symbols|2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase|K00991|Terpenoid_backbone_biosynthesis;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:2.0e-22|gene:000000017	45
