contigName	contigLen	normDepth
CD630_23310|Mannitol-1-phosphate_5-dehydrogenase        1152    571.2674
CD630_07680|Sorbitol_6-phosphate_2-dehydrogenase        774     9.6899
272563.8.peg.9|Chromosomal_replication_initiator_protein_DnaA	1320	91.6288
272563.8.peg.866|Glutamate_synthase	1443	30.3881
272563.8.peg.871|Aconitate_hydratase_(EC_4.2.1.3)	1926	17.3157
272563.8.peg.872|Isocitrate_dehydrogenase	996	22.3896
272563.8.peg.879|Phosphoribosylaminoimidazolecarboxamide_formyltransferase_(EC_2.1.2.3)	1176	50.7228
272563.8.peg.83|SSU_ribosomal_protein_S10p_(S20e)	312	543.109
272563.8.peg.84|LSU_ribosomal_protein_L3p_(L3e)	630	836.4286
272563.8.peg.893|Oligopeptide_ABC_transporter,_substrate-binding_protein_OppA_(TC_3.A.1.5.1)	1569	475.1753
272563.8.peg.894|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppD_(TC_3.A.1.5.1)	1026	292.154
272563.8.peg.895|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppF_(TC_3.A.1.5.1)	138	139.4928
272563.8.peg.896|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppF_(TC_3.A.1.5.1)	627	294.2584
272563.8.peg.85|LSU_ribosomal_protein_L4p_(L1e)	624	748.7981
272563.8.peg.901|PTS_system,_cellobiose-specific_IIC_component	1290	0.5039
272563.8.peg.902|PTS_system,_cellobiose-specific_IIA_component_(EC_2.7.1.205)	330	2.7273
272563.8.peg.903|Maltose-6'-phosphate_glucosidase_(EC_3.2.1.122)	1329	2.5207
272563.8.peg.86|LSU_ribosomal_protein_L23p_(L23Ae)	291	574.9141
272563.8.peg.907|Predicted_molybdate-responsive_regulator_YvgK_in_bacilli	930	28.3333
272563.8.peg.87|LSU_ribosomal_protein_L2p_(L8e)	831	746.0289
272563.8.peg.911|Maltose_O-acetyltransferase_(EC_2.3.1.79)	558	11.6487
272563.8.peg.88|SSU_ribosomal_protein_S19p_(S15e)	282	620.3901
272563.8.peg.89|LSU_ribosomal_protein_L22p_(L17e)	336	551.7857
272563.8.peg.90|SSU_ribosomal_protein_S3p_(S3e)	816	716.7279
272563.8.peg.921|Glucose-1-phosphate_adenylyltransferase_(EC_2.7.7.27)	1161	51.292
272563.8.peg.922|Glycogen_biosynthesis_protein_GlgD,_glucose-1-phosphate_adenylyltransferase_family	1131	54.1556
272563.8.peg.923|Glycogen_synthase,_ADP-glucose_transglucosylase_(EC_2.4.1.21)	1443	71.0326
272563.8.peg.924|Glycogen_phosphorylase_(EC_2.4.1.1)	2421	67.4721
272563.8.peg.91|LSU_ribosomal_protein_L16p_(L10e)	432	547.1065
272563.8.peg.927|Arginine_decarboxylase_(EC_4.1.1.19)	1476	2.1341
272563.8.peg.928|S-adenosylmethionine_decarboxylase_proenzyme_(EC_4.1.1.50),_prokaryotic_class_1B	414	3.2609
272563.8.peg.929|Spermidine_synthase_(EC_2.5.1.16)	852	5.9859
272563.8.peg.930|Agmatinase_(EC_3.5.3.11)	879	10.1251
272563.8.peg.92|LSU_ribosomal_protein_L29p_(L35e)	204	458.5784
272563.8.peg.93|SSU_ribosomal_protein_S17p_(S11e)	255	463.9216
272563.8.peg.94|LSU_ribosomal_protein_L14p_(L23e)	369	589.4309
272563.8.peg.95|LSU_ribosomal_protein_L24p_(L26e)	309	555.0162
272563.8.peg.96|LSU_ribosomal_protein_L5p_(L11e)	543	692.6335
272563.8.peg.97|SSU_ribosomal_protein_S14p_(S29e)_@_SSU_ribosomal_protein_S14p_(S29e),_zinc-dependent	186	279.5699
272563.8.peg.98|SSU_ribosomal_protein_S8p_(S15Ae)	399	608.0201
272563.8.peg.99|LSU_ribosomal_protein_L6p_(L9e)	543	664.733
272563.8.peg.100|LSU_ribosomal_protein_L18p_(L5e)	369	647.832
272563.8.peg.101|SSU_ribosomal_protein_S5p_(S2e)	510	586.3725
272563.8.peg.102|LSU_ribosomal_protein_L30p_(L7e)	186	456.4516
272563.8.peg.103|LSU_ribosomal_protein_L15p_(L27Ae)	444	654.1667
272563.8.peg.105|Adenylate_kinase_(EC_2.7.4.3)	651	725.7296
272563.8.peg.1023|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	816	1.0417
272563.8.peg.106|Methionine_aminopeptidase_(EC_3.4.11.18)	747	751.071
272563.8.peg.1034|Phosphoserine_phosphatase_(EC_3.1.3.3)	474	17.7215
272563.8.peg.109|LSU_ribosomal_protein_L36p_@_LSU_ribosomal_protein_L36p,_zinc-dependent	114	75.4386
272563.8.peg.1040|2-isopropylmalate_synthase_(EC_2.3.3.13)	1743	0.3155
272563.8.peg.1041|3-isopropylmalate_dehydratase_large_subunit_(EC_4.2.1.33)	1278	0.8607
272563.8.peg.110|SSU_ribosomal_protein_S13p_(S18e)	372	494.2204
272563.8.peg.1042|3-isopropylmalate_dehydratase_small_subunit_(EC_4.2.1.33)	492	0.813
272563.8.peg.1043|3-isopropylmalate_dehydrogenase_(EC_1.1.1.85)	1071	0.8403
272563.8.peg.1045|Serine--pyruvate_aminotransferase_(EC_2.6.1.51)	1077	13.6026
272563.8.peg.111|SSU_ribosomal_protein_S11p_(S14e)	399	646.1153
272563.8.peg.1046|D-3-phosphoglycerate_dehydrogenase_(EC_1.1.1.95)	942	9.7134
