R20291_ref_genome_patric_id	630_comp_genome_1_patric_id
645463.3.peg.2	272563.8.peg.10
645463.3.peg.97	272563.8.peg.100
645463.3.peg.1534	272563.8.peg.1000
645463.3.peg.1536	272563.8.peg.1002
645463.3.peg.1539	272563.8.peg.1004
645463.3.peg.1540	272563.8.peg.1005
645463.3.peg.98	272563.8.peg.101
645463.3.peg.1547	272563.8.peg.1010
645463.3.peg.1548	272563.8.peg.1011
645463.3.peg.1549	272563.8.peg.1012
645463.3.peg.1550	272563.8.peg.1013
645463.3.peg.1554	272563.8.peg.1017
645463.3.peg.1556	272563.8.peg.1019
645463.3.peg.99	272563.8.peg.102
645463.3.peg.1560	272563.8.peg.1022
645463.3.peg.100	272563.8.peg.103
645463.3.peg.896	272563.8.peg.1032
645463.3.peg.897	272563.8.peg.1033
645463.3.peg.898	272563.8.peg.1034
645463.3.peg.899	272563.8.peg.1035
645463.3.peg.900	272563.8.peg.1036
645463.3.peg.901	272563.8.peg.1037
645463.3.peg.902	272563.8.peg.1038
645463.3.peg.903	272563.8.peg.1039
645463.3.peg.101	272563.8.peg.104
645463.3.peg.904	272563.8.peg.1040
645463.3.peg.905	272563.8.peg.1041
645463.3.peg.906	272563.8.peg.1042
645463.3.peg.907	272563.8.peg.1043
645463.3.peg.908	272563.8.peg.1044
645463.3.peg.909	272563.8.peg.1045
645463.3.peg.910	272563.8.peg.1046
645463.3.peg.911	272563.8.peg.1047
645463.3.peg.912	272563.8.peg.1048
645463.3.peg.913	272563.8.peg.1049
645463.3.peg.102	272563.8.peg.105
645463.3.peg.914	272563.8.peg.1050
645463.3.peg.915	272563.8.peg.1051
645463.3.peg.916	272563.8.peg.1052
645463.3.peg.917	272563.8.peg.1053
645463.3.peg.918	272563.8.peg.1054
645463.3.peg.919	272563.8.peg.1055
645463.3.peg.920	272563.8.peg.1056
645463.3.peg.921	272563.8.peg.1058
645463.3.peg.926	272563.8.peg.1059
645463.3.peg.103	272563.8.peg.106
645463.3.peg.928	272563.8.peg.1060
645463.3.peg.929	272563.8.peg.1061
645463.3.peg.930	272563.8.peg.1062
645463.3.peg.931	272563.8.peg.1063
645463.3.peg.932	272563.8.peg.1064
645463.3.peg.469	272563.8.peg.1065
645463.3.peg.933	272563.8.peg.1065
645463.3.peg.934	272563.8.peg.1066
645463.3.peg.935	272563.8.peg.1067
645463.3.peg.937	272563.8.peg.1068
645463.3.peg.938	272563.8.peg.1069
645463.3.peg.104	272563.8.peg.107
645463.3.peg.939	272563.8.peg.1070
645463.3.peg.940	272563.8.peg.1071
645463.3.peg.941	272563.8.peg.1072
645463.3.peg.942	272563.8.peg.1073
645463.3.peg.943	272563.8.peg.1074
645463.3.peg.944	272563.8.peg.1075
645463.3.peg.945	272563.8.peg.1076
645463.3.peg.946	272563.8.peg.1077
645463.3.peg.947	272563.8.peg.1078
645463.3.peg.948	272563.8.peg.1079
645463.3.peg.105	272563.8.peg.108
645463.3.peg.949	272563.8.peg.1080
645463.3.peg.950	272563.8.peg.1081
645463.3.peg.256	272563.8.peg.1082
645463.3.peg.951	272563.8.peg.1082
645463.3.peg.952	272563.8.peg.1083
645463.3.peg.953	272563.8.peg.1084
645463.3.peg.954	272563.8.peg.1085
645463.3.peg.955	272563.8.peg.1086
645463.3.peg.956	272563.8.peg.1087
645463.3.peg.957	272563.8.peg.1088
645463.3.peg.958	272563.8.peg.1089
645463.3.peg.106	272563.8.peg.109
645463.3.peg.959	272563.8.peg.1090
645463.3.peg.960	272563.8.peg.1091
645463.3.peg.961	272563.8.peg.1092
645463.3.peg.962	272563.8.peg.1093
645463.3.peg.963	272563.8.peg.1094
645463.3.peg.964	272563.8.peg.1095
645463.3.peg.965	272563.8.peg.1096
645463.3.peg.966	272563.8.peg.1097
645463.3.peg.968	272563.8.peg.1098
645463.3.peg.969	272563.8.peg.1099
645463.3.peg.3	272563.8.peg.11
645463.3.peg.107	272563.8.peg.110
645463.3.peg.970	272563.8.peg.1100
645463.3.peg.971	272563.8.peg.1101
645463.3.peg.972	272563.8.peg.1102
645463.3.peg.973	272563.8.peg.1103
645463.3.peg.974	272563.8.peg.1104
645463.3.peg.975	272563.8.peg.1105
645463.3.peg.976	272563.8.peg.1106
645463.3.peg.977	272563.8.peg.1107
645463.3.peg.978	272563.8.peg.1108
645463.3.peg.979	272563.8.peg.1109
645463.3.peg.108	272563.8.peg.111
645463.3.peg.980	272563.8.peg.1110
645463.3.peg.981	272563.8.peg.1111
645463.3.peg.982	272563.8.peg.1112
645463.3.peg.983	272563.8.peg.1113
645463.3.peg.984	272563.8.peg.1114
645463.3.peg.985	272563.8.peg.1115
645463.3.peg.986	272563.8.peg.1116
645463.3.peg.987	272563.8.peg.1117
645463.3.peg.988	272563.8.peg.1118
645463.3.peg.989	272563.8.peg.1119
645463.3.peg.109	272563.8.peg.112
645463.3.peg.990	272563.8.peg.1120
645463.3.peg.991	272563.8.peg.1121
645463.3.peg.992	272563.8.peg.1122
645463.3.peg.993	272563.8.peg.1123
645463.3.peg.994	272563.8.peg.1124
645463.3.peg.995	272563.8.peg.1125
645463.3.peg.996	272563.8.peg.1126
645463.3.peg.997	272563.8.peg.1127
645463.3.peg.998	272563.8.peg.1128
645463.3.peg.999	272563.8.peg.1129
645463.3.peg.110	272563.8.peg.113
645463.3.peg.1000	272563.8.peg.1130
645463.3.peg.1001	272563.8.peg.1131
645463.3.peg.1002	272563.8.peg.1132
645463.3.peg.1003	272563.8.peg.1133
645463.3.peg.1004	272563.8.peg.1134
645463.3.peg.1005	272563.8.peg.1135
645463.3.peg.1006	272563.8.peg.1136
645463.3.peg.1007	272563.8.peg.1137
645463.3.peg.600	272563.8.peg.1138
645463.3.peg.1008	272563.8.peg.1138
645463.3.peg.1009	272563.8.peg.1139
645463.3.peg.111	272563.8.peg.114
645463.3.peg.1010	272563.8.peg.1140
645463.3.peg.1976	272563.8.peg.1140
645463.3.peg.1011	272563.8.peg.1141
645463.3.peg.1012	272563.8.peg.1142
645463.3.peg.1013	272563.8.peg.1143
645463.3.peg.1014	272563.8.peg.1144
645463.3.peg.1865	272563.8.peg.1148
645463.3.peg.1864	272563.8.peg.1149
645463.3.peg.112	272563.8.peg.115
645463.3.peg.1863	272563.8.peg.1150
645463.3.peg.1862	272563.8.peg.1151
645463.3.peg.1861	272563.8.peg.1152
645463.3.peg.113	272563.8.peg.116
645463.3.peg.114	272563.8.peg.117
645463.3.peg.1015	272563.8.peg.1174
645463.3.peg.1016	272563.8.peg.1175
645463.3.peg.1017	272563.8.peg.1176
645463.3.peg.1018	272563.8.peg.1177
645463.3.peg.1019	272563.8.peg.1178
645463.3.peg.1020	272563.8.peg.1179
645463.3.peg.115	272563.8.peg.118
645463.3.peg.1021	272563.8.peg.1180
645463.3.peg.1022	272563.8.peg.1181
645463.3.peg.1023	272563.8.peg.1182
645463.3.peg.1024	272563.8.peg.1183
645463.3.peg.1026	272563.8.peg.1184
645463.3.peg.1031	272563.8.peg.1185
645463.3.peg.1513	272563.8.peg.1185
645463.3.peg.1032	272563.8.peg.1186
645463.3.peg.1033	272563.8.peg.1187
645463.3.peg.1034	272563.8.peg.1188
645463.3.peg.1035	272563.8.peg.1189
645463.3.peg.116	272563.8.peg.119
645463.3.peg.1036	272563.8.peg.1190
645463.3.peg.1037	272563.8.peg.1191
645463.3.peg.1038	272563.8.peg.1192
645463.3.peg.1039	272563.8.peg.1193
645463.3.peg.1040	272563.8.peg.1194
645463.3.peg.1041	272563.8.peg.1195
645463.3.peg.1042	272563.8.peg.1196
645463.3.peg.1043	272563.8.peg.1197
645463.3.peg.1044	272563.8.peg.1198
645463.3.peg.1045	272563.8.peg.1199
645463.3.peg.4	272563.8.peg.12
645463.3.peg.117	272563.8.peg.120
645463.3.peg.1046	272563.8.peg.1200
645463.3.peg.1047	272563.8.peg.1201
645463.3.peg.1048	272563.8.peg.1202
645463.3.peg.1049	272563.8.peg.1203
645463.3.peg.1050	272563.8.peg.1204
645463.3.peg.1051	272563.8.peg.1205
645463.3.peg.1052	272563.8.peg.1206
645463.3.peg.1053	272563.8.peg.1207
645463.3.peg.1054	272563.8.peg.1208
645463.3.peg.1055	272563.8.peg.1209
645463.3.peg.118	272563.8.peg.121
645463.3.peg.1056	272563.8.peg.1210
645463.3.peg.1057	272563.8.peg.1211
645463.3.peg.537	272563.8.peg.1212
645463.3.peg.1058	272563.8.peg.1212
645463.3.peg.1059	272563.8.peg.1213
645463.3.peg.1060	272563.8.peg.1214
645463.3.peg.1061	272563.8.peg.1215
645463.3.peg.1062	272563.8.peg.1216
645463.3.peg.1063	272563.8.peg.1217
645463.3.peg.1064	272563.8.peg.1218
645463.3.peg.1065	272563.8.peg.1219
645463.3.peg.119	272563.8.peg.122
645463.3.peg.1066	272563.8.peg.1220
645463.3.peg.1067	272563.8.peg.1221
645463.3.peg.1068	272563.8.peg.1222
645463.3.peg.1069	272563.8.peg.1223
645463.3.peg.1070	272563.8.peg.1224
645463.3.peg.1071	272563.8.peg.1225
645463.3.peg.1072	272563.8.peg.1226
645463.3.peg.1073	272563.8.peg.1227
645463.3.peg.1074	272563.8.peg.1228
645463.3.peg.1075	272563.8.peg.1229
645463.3.peg.120	272563.8.peg.123
645463.3.peg.1076	272563.8.peg.1230
645463.3.peg.1077	272563.8.peg.1231
645463.3.peg.1078	272563.8.peg.1232
645463.3.peg.1079	272563.8.peg.1233
645463.3.peg.1080	272563.8.peg.1234
645463.3.peg.1081	272563.8.peg.1235
645463.3.peg.1082	272563.8.peg.1236
645463.3.peg.1083	272563.8.peg.1237
645463.3.peg.1084	272563.8.peg.1238
645463.3.peg.1085	272563.8.peg.1239
645463.3.peg.121	272563.8.peg.124
645463.3.peg.1086	272563.8.peg.1240
645463.3.peg.1087	272563.8.peg.1241
645463.3.peg.1088	272563.8.peg.1242
645463.3.peg.1089	272563.8.peg.1243
645463.3.peg.1090	272563.8.peg.1244
645463.3.peg.1091	272563.8.peg.1245
645463.3.peg.1092	272563.8.peg.1246
645463.3.peg.1093	272563.8.peg.1247
645463.3.peg.1094	272563.8.peg.1248
645463.3.peg.1095	272563.8.peg.1249
645463.3.peg.122	272563.8.peg.125
645463.3.peg.1096	272563.8.peg.1250
645463.3.peg.1097	272563.8.peg.1251
645463.3.peg.1098	272563.8.peg.1252
645463.3.peg.1099	272563.8.peg.1253
645463.3.peg.1100	272563.8.peg.1254
645463.3.peg.1101	272563.8.peg.1255
645463.3.peg.1102	272563.8.peg.1256
645463.3.peg.1103	272563.8.peg.1257
645463.3.peg.1104	272563.8.peg.1258
645463.3.peg.1105	272563.8.peg.1259
645463.3.peg.123	272563.8.peg.126
645463.3.peg.1106	272563.8.peg.1260
645463.3.peg.1107	272563.8.peg.1261
645463.3.peg.1108	272563.8.peg.1262
645463.3.peg.1109	272563.8.peg.1263
