target_name	normalized_abundance
lwe:lwe1429|no_gene_symbols|internalin-like_protein|no_ko_id|no_pathway_id|Evalue:1.2e-04|gene:000000001	44
ccl:Clocl_2634|no_gene_symbols|GTP-binding_protein_YchF|K06942|no_pathway_id|Evalue:6.9e-135|gene:000000002	9
k127_1547|flag=1|multi=6.0000|len=2992_1|#|1|#|138|#|1|#|ID=2_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.370|unknown:000000001	4
css:Cst_c02870|uvrA1|UvrABC_system_protein_A|K03701|Nucleotide_excision_repair|Evalue:0.0e+00|gene:000000003	8
bco:Bcell_2581|no_gene_symbols|YlmC/YmxH_family_sporulation_protein|no_ko_id|no_pathway_id|Evalue:1.3e-05|gene:000000004	5
k127_10178|flag=1|multi=8.0000|len=7295_2|#|986|#|1561|#|-1|#|ID=3_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.490|unknown:000000002	15
cle:Clole_3267|no_gene_symbols|degV_family_protein|no_ko_id|no_pathway_id|Evalue:1.3e-29|gene:000000005	6
bfi:CIY_07810|no_gene_symbols|Transcriptional_regulators|no_ko_id|no_pathway_id|Evalue:9.5e-19|gene:000000006	3
k127_10178|flag=1|multi=8.0000|len=7295_5|#|3210|#|7007|#|-1|#|ID=3_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.441|unknown:000000003	7
rho:RHOM_02375|no_gene_symbols|cell_cycle_protein_MesJ|K04075|no_pathway_id|Evalue:1.1e-41|gene:000000007	4
dae:Dtox_0723|no_gene_symbols|hypoxanthine_phosphoribosyltransferase_(EC:2.4.2.8)|K00760|Purine_metabolism;Drug_metabolism-other_enzymes;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:3.5e-52|gene:000000008	4
k127_11619|flag=0|multi=7.9858|len=10936_3|#|2409|#|3674|#|1|#|ID=4_3;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.442|unknown:000000004	6
faa:HMPREF0389_01611|no_gene_symbols|hypothetical_protein|K03523|ABC_transporters|Evalue:4.2e-27|gene:000000009	6
sez:Sez_0369|alr|alanine_racemase|K01775|D-Alanine_metabolism;Metabolic_pathways|Evalue:4.2e-27|gene:000000010	6
sul:SYO3AOP1_1682|no_gene_symbols|5-formyltetrahydrofolate_cyclo-ligase|K01934|One_carbon_pool_by_folate;Metabolic_pathways|Evalue:5.6e-18|gene:000000011	6
cdf:CD630_25590|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.0e-35|gene:000000012	5
csr:Cspa_c12970|coaD|phosphopantetheine_adenylyltransferase_CoaD_(EC:2.7.7.3)|K00954|Pantothenate_and_CoA_biosynthesis;Metabolic_pathways|Evalue:8.3e-29|gene:000000013	5
bpb:bpr_I1246|no_gene_symbols|3-deoxy-D-arabinoheptulosonate-7-phosphate_synthase_(EC:2.5.1.54)|K01626|Phenylalanine,_tyrosine,_and_tryptophan_biosynthesis;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Biosynthesis_of_amino_acids|Evalue:4.0e-113|gene:000000014	5
ddf:DEFDS_2102|pheA|bifunctional_chorismate_mutase/prephenate_dehydratase_(EC:4.2.1.51_5.4.99.5)|K14170|Phenylalanine,_tyrosine,_and_tryptophan_biosynthesis;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Biosynthesis_of_amino_acids|Evalue:5.9e-35|gene:000000015	7
cdc:CD196_1027|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.4e-26|gene:000000016	6
bmd:BMD_4285|no_gene_symbols|phospholipase|K07001|no_pathway_id|Evalue:4.7e-37|gene:000000017	4
tped:TPE_1552|no_gene_symbols|recombination_factor_protein_RarA|K07478|no_pathway_id|Evalue:1.2e-37|gene:000000018	5
