Entry	Entry_name	Status	Protein_names	Gene_names	EC_number	Cross-reference_(CCDS)	Cross-reference_(RefSeq)	Cross-reference_(KEGG)	Cross-reference_(PATRIC)
C9YJQ8	C9YJQ8_CLODR	unreviewed	Bifunctional_NAD(P)H-hydrate_repair_enzyme_(Nicotinamide_nucleotide_repair_protein)_[Includes:_ADP-dependent_(S)-NAD(P)H-hydrate_dehydratase_(EC_4.2.1.136)_(ADP-dependent_NAD(P)HX_dehydratase);_NAD(P)H-hydrate_epimerase_(EC_5.1.99.6)]	nnrD_nnrE_CDR20291_0808	4.2.1.136;_5.1.99.6			cdl:CDR20291_0808	
C9YLV5	C9YLV5_CLODR	unreviewed	Pyrimidine/purine_nucleoside_phosphorylase_(EC_2.4.2.1)_(EC_2.4.2.2)_(Adenosine_phosphorylase)_(Cytidine_phosphorylase)_(Guanosine_phosphorylase)_(EC_2.4.2.15)_(Inosine_phosphorylase)_(Thymidine_phosphorylase)_(EC_2.4.2.4)_(Uridine_phosphorylase)_(EC_2.4.2.3)_(Xanthosine_phosphorylase)	ppnP_CDR20291_1558	2.4.2.1;_2.4.2.2;_2.4.2.15;_2.4.2.4;_2.4.2.3			cdl:CDR20291_1558	
C9YRY4	C9YRY4_CLODR	unreviewed	Bifunctional_protein_GlmU_[Includes:_UDP-N-acetylglucosamine_pyrophosphorylase_(EC_2.7.7.23)_(N-acetylglucosamine-1-phosphate_uridyltransferase);_Glucosamine-1-phosphate_N-acetyltransferase_(EC_2.3.1.157)]	gcaD_glmU_CDR20291_3352	2.7.7.23;_2.3.1.157			cdl:CDR20291_3352	
C9YRF1	C9YRF1_CLODR	unreviewed	Multifunctional_fusion_protein_[Includes:_dITP/XTP_pyrophosphatase_(EC_3.6.1.66)_(Non-canonical_purine_NTP_pyrophosphatase)_(Non-standard_purine_NTP_pyrophosphatase)_(Nucleoside-triphosphate_diphosphatase)_(Nucleoside-triphosphate_pyrophosphatase)_(NTPase);_Ribonuclease_PH_(RNase_PH)_(EC_2.7.7.56)_(tRNA_nucleotidyltransferase)]	rph_CDR20291_3169	3.6.1.66;_2.7.7.56			cdl:CDR20291_3169	
C9YPN8	C9YPN8_CLODR	unreviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate_ligase_(EC_6.3.2.13)_(Meso-A2pm-adding_enzyme)_(Meso-diaminopimelate-adding_enzyme)_(UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate_ligase)_(UDP-MurNAc-tripeptide_synthetase)_(UDP-N-acetylmuramyl-tripeptide_synthetase)	murE_CDR20291_2552	6.3.2.13			cdl:CDR20291_2552	
C9YRY3	C9YRY3_CLODR	unreviewed	Ribose-phosphate_pyrophosphokinase_(RPPK)_(EC_2.7.6.1)_(5-phospho-D-ribosyl_alpha-1-diphosphate)_(Phosphoribosyl_diphosphate_synthase)_(Phosphoribosyl_pyrophosphate_synthase)_(P-Rib-PP_synthase)_(PRPP_synthase)_(PRPPase)	prs_CDR20291_3351	2.7.6.1			cdl:CDR20291_3351	
C9YPF2	C9YPF2_CLODR	unreviewed	Probable_dual-specificity_RNA_methyltransferase_RlmN_(EC_2.1.1.192)_(23S_rRNA_(adenine(2503)-C(2))-methyltransferase)_(23S_rRNA_m2A2503_methyltransferase)_(Ribosomal_RNA_large_subunit_methyltransferase_N)_(tRNA_(adenine(37)-C(2))-methyltransferase)_(tRNA_m2A37_methyltransferase)	rlmN_CDR20291_2466	2.1.1.192			cdl:CDR20291_2466	
C9YR66	C9YR66_CLODR	unreviewed	Aspartate-semialdehyde_dehydrogenase_(ASA_dehydrogenase)_(ASADH)_(EC_1.2.1.11)_(Aspartate-beta-semialdehyde_dehydrogenase)	asd_CDR20291_3084	1.2.1.11			cdl:CDR20291_3084	
C9YQT1	C9YQT1_CLODR	unreviewed	Pyrophosphate--fructose_6-phosphate_1-phosphotransferase_(EC_2.7.1.90)_(6-phosphofructokinase,_pyrophosphate_dependent)_(PPi-dependent_phosphofructokinase)_(PPi-PFK)_(Pyrophosphate-dependent_6-phosphofructose-1-kinase)	pfp_CDR20291_2948	2.7.1.90			cdl:CDR20291_2948	
C9YHG2	C9YHG2_CLODR	unreviewed	Serine--tRNA_ligase_(EC_6.1.1.11)_(Seryl-tRNA_synthetase)_(SerRS)_(Seryl-tRNA(Ser/Sec)_synthetase)	serS1_serS_CDR20291_0003	6.1.1.11			cdl:CDR20291_0003	
C9YQ66	C9YQ66_CLODR	unreviewed	Serine--tRNA_ligase_(EC_6.1.1.11)_(Seryl-tRNA_synthetase)_(SerRS)_(Seryl-tRNA(Ser/Sec)_synthetase)	serS2_serS_CDR20291_2731	6.1.1.11			cdl:CDR20291_2731	
C9YR71	C9YR71_CLODR	unreviewed	4-hydroxy-tetrahydrodipicolinate_reductase_(HTPA_reductase)_(EC_1.17.1.8)	dapB_dapB2_CDR20291_3089	1.17.1.8			cdl:CDR20291_3089	
C9YR68	C9YR68_CLODR	unreviewed	4-hydroxy-tetrahydrodipicolinate_reductase_(HTPA_reductase)_(EC_1.17.1.8)	dapB_dapB1_CDR20291_3086	1.17.1.8			cdl:CDR20291_3086	
C9YMY7	C9YMY7_CLODR	unreviewed	Arginine_biosynthesis_bifunctional_protein_ArgJ_[Cleaved_into:_Arginine_biosynthesis_bifunctional_protein_ArgJ_alpha_chain;_Arginine_biosynthesis_bifunctional_protein_ArgJ_beta_chain]_[Includes:_Glutamate_N-acetyltransferase_(EC_2.3.1.35)_(Ornithine_acetyltransferase)_(OATase)_(Ornithine_transacetylase);_Amino-acid_acetyltransferase_(EC_2.3.1.1)_(N-acetylglutamate_synthase)_(AGSase)]	argJ_CDR20291_1946	2.3.1.35;_2.3.1.1			cdl:CDR20291_1946	
C9YKL7	C9YKL7_CLODR	unreviewed	Cysteine_desulfurase_IscS_(EC_2.8.1.7)	iscS2_iscS_CDR20291_1119	2.8.1.7			cdl:CDR20291_1119	
C9YLG1	C9YLG1_CLODR	unreviewed	Ketol-acid_reductoisomerase_(NADP(+))_(KARI)_(EC_1.1.1.86)_(Acetohydroxy-acid_isomeroreductase)_(AHIR)_(Alpha-keto-beta-hydroxylacyl_reductoisomerase)	ilvC_CDR20291_1413	1.1.1.86			cdl:CDR20291_1413	
C9YS28	C9YS28_CLODR	unreviewed	ATP-dependent_zinc_metalloprotease_FtsH_(EC_3.4.24.-)	ftsH2_ftsH_CDR20291_3396	3.4.24.-			cdl:CDR20291_3396	
C9YMB8	C9YMB8_CLODR	unreviewed	ATP-dependent_zinc_metalloprotease_FtsH_(EC_3.4.24.-)	ftsH1_ftsH_CDR20291_1722	3.4.24.-			cdl:CDR20291_1722	
C9YRJ9	C9YRJ9_CLODR	unreviewed	ATP-dependent_6-phosphofructokinase_(ATP-PFK)_(Phosphofructokinase)_(EC_2.7.1.11)_(Phosphohexokinase)	pfkA_CDR20291_3217	2.7.1.11			cdl:CDR20291_3217	
C9YPV0	C9YPV0_CLODR	unreviewed	Serine_hydroxymethyltransferase_(SHMT)_(Serine_methylase)_(EC_2.1.2.1)	glyA_CDR20291_2615	2.1.2.1			cdl:CDR20291_2615	
C9YRL3	C9YRL3_CLODR	unreviewed	HPr_kinase/phosphorylase_(HPrK/P)_(EC_2.7.11.-)_(EC_2.7.4.-)_(HPr(Ser)_kinase/phosphorylase)	hprK_CDR20291_3231	2.7.11.-;_2.7.4.-			cdl:CDR20291_3231	
C9YHT8	C9YHT8_CLODR	unreviewed	S-adenosylmethionine_synthase_(AdoMet_synthase)_(EC_2.5.1.6)_(MAT)_(Methionine_adenosyltransferase)	metE_metK_CDR20291_0129	2.5.1.6			cdl:CDR20291_0129	
C9YKB1	C9YKB1_CLODR	unreviewed	Acetate_kinase_(EC_2.7.2.1)_(Acetokinase)	ackA_CDR20291_1012	2.7.2.1			cdl:CDR20291_1012	
C9YIA9	C9YIA9_CLODR	unreviewed	Ribokinase_(RK)_(EC_2.7.1.15)	rbsK_CDR20291_0302	2.7.1.15			cdl:CDR20291_0302	
C9YLZ5	C9YLZ5_CLODR	unreviewed	Riboflavin_biosynthesis_protein_RibD_[Includes:_Diaminohydroxyphosphoribosylaminopyrimidine_deaminase_(DRAP_deaminase)_(EC_3.5.4.26)_(Riboflavin-specific_deaminase);_5-amino-6-(5-phosphoribosylamino)uracil_reductase_(EC_1.1.1.193)_(HTP_reductase)]	ribD_CDR20291_1598	3.5.4.26;_1.1.1.193			cdl:CDR20291_1598	
C9YHT1	C9YHT1_CLODR	unreviewed	UDP-N-acetylglucosamine_1-carboxyvinyltransferase_(EC_2.5.1.7)_(Enoylpyruvate_transferase)_(UDP-N-acetylglucosamine_enolpyruvyl_transferase)_(EPT)	murA_CDR20291_0122	2.5.1.7			cdl:CDR20291_0122	
C9YS24	C9YS24_CLODR	unreviewed	Type_III_pantothenate_kinase_(EC_2.7.1.33)_(PanK-III)_(Pantothenic_acid_kinase)	coaX_CDR20291_3392	2.7.1.33			cdl:CDR20291_3392	
C9YR08	C9YR08_CLODR	unreviewed	Enolase_(EC_4.2.1.11)_(2-phospho-D-glycerate_hydro-lyase)_(2-phosphoglycerate_dehydratase)	eno_CDR20291_3026	4.2.1.11			cdl:CDR20291_3026	
C9YQ60	C9YQ60_CLODR	unreviewed	Serine_hydroxymethyltransferase_(SHMT)_(Serine_methylase)_(EC_2.1.2.1)	glyA_CDR20291_2725	2.1.2.1			cdl:CDR20291_2725	
C9YJU5	C9YJU5_CLODR	unreviewed	3-isopropylmalate_dehydrogenase_(EC_1.1.1.85)_(3-IPM-DH)_(Beta-IPM_dehydrogenase)_(IMDH)	leuB_CDR20291_0845	1.1.1.85			cdl:CDR20291_0845	
C9YHP7	C9YHP7_CLODR	unreviewed	Adenylate_kinase_(AK)_(EC_2.7.4.3)_(ATP-AMP_transphosphorylase)_(ATP:AMP_phosphotransferase)_(Adenylate_monophosphate_kinase)	adk_CDR20291_0088	2.7.4.3			cdl:CDR20291_0088	
