target_name	normalized_abundance
esl:O3K_22615|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:6.5e-156|gene:000000001	0
elw:ECW_m4566|rplI|50S_ribosomal_protein_L9|K02939|Ribosome|Evalue:5.7e-72|gene:000000002	2
senr:STMDT2_42411|rpsR|30s_ribosomal_subunit_protein_S18|no_ko_id|no_pathway_id|Evalue:6.2e-35|gene:000000003	2
elw:ECW_m4564|priB|primosomal_protein_N|K02686|Homologous_recombination|Evalue:1.3e-54|gene:000000004	2
ecm:EcSMS35_4671|rpsF|30S_ribosomal_protein_S6|K02990|Ribosome|Evalue:1.7e-67|gene:000000005	4
elw:ECW_m4562|yjfY|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:8.9e-44|gene:000000006	0
esm:O3M_22550|no_gene_symbols|inner_membrane_protein_yagU|K08996|no_pathway_id|Evalue:3.4e-103|gene:000000007	0
ecs:ECs5174|sgaE|L-ribulose-5-phosphate_4-epimerase_(EC:5.1.3.4)|K03077|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments|Evalue:5.7e-132|gene:000000008	0
ecx:EcHS_A4441|ulaE|L-xylulose_5-phosphate_3-epimerase_(EC:5.1.3.22)|K03079|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments|Evalue:2.3e-162|gene:000000009	1
elc:i14_4788|ulaD|3-keto-L-gulonate-6-phosphate_decarboxylase|K03078|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments|Evalue:5.2e-119|gene:000000010	0
esm:O3M_22570|no_gene_symbols|PTS_system_L-ascorbate-specific_transporter_subunit_IIA|K02821|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Phosphotransferase_system_(PTS)|Evalue:2.4e-81|gene:000000011	0
sbo:SBO_4261|sgaB|PTS_system_L-ascorbate-specific_transporter_subunit_IIB|K02822|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Phosphotransferase_system_(PTS)|Evalue:4.1e-50|gene:000000012	1
ebe:B21_04022|ulaA|ulaA_subunit_of_L-ascorbate_transporting_phosphotransferase_system|K03475|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Phosphotransferase_system_(PTS)|Evalue:5.2e-257|gene:000000013	1
ecy:ECSE_4490|no_gene_symbols|putative_L-ascorbate_6-phosphate_lactonase|K03476|Ascorbate_and_aldarate_metabolism;Metabolic_pathways;Microbial_metabolism_in_diverse_environments|Evalue:2.1e-218|gene:000000014	0
elo:EC042_4671|ulaR|DeoR-family_transcriptional_regulator|K03477|no_pathway_id|Evalue:1.3e-134|gene:000000015	0
esl:O3K_22690|no_gene_symbols|esterase|K06889|no_pathway_id|Evalue:1.5e-141|gene:000000016	0
eco:b4189|bsmA|bioflm_peroxide_resistance_protein|no_ko_id|no_pathway_id|Evalue:1.6e-52|gene:000000017	0
ebd:ECBD_3846|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:2.6e-43|gene:000000018	0
esl:O3K_22705|no_gene_symbols|isovaleryl_CoA_dehydrogenase|K09456|no_pathway_id|Evalue:0.0e+00|gene:000000019	1
ecoa:APECO78_01860|no_gene_symbols|synthetase/amidase|no_ko_id|no_pathway_id|Evalue:2.2e-237|gene:000000020	1
ecw:EcE24377A_4745|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.2e-120|gene:000000021	0
elh:ETEC_4530|no_gene_symbols|hypothetical_protein|K08989|no_pathway_id|Evalue:9.2e-66|gene:000000022	1
ell:WFL_22105|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:4.5e-126|gene:000000023	1
ecd:ECDH10B_4377|yjfJ|transcriptional_regulator_effector_protein|no_ko_id|no_pathway_id|Evalue:3.7e-110|gene:000000024	1
eoi:ECO111_5033|yjfI|hypothetical_protein|K09980|no_pathway_id|Evalue:2.4e-66|gene:000000025	1
elc:i14_4772|yjfH|23S_rRNA_(guanosine-2'-O-)-methyltransferase|K03218|no_pathway_id|Evalue:1.6e-132|gene:000000026	0
elw:ECW_m4541|rnr|exoribonuclease_R_RNase_R|K12573|RNA_degradation|Evalue:0.0e+00|gene:000000027	1
ekf:KO11_22515|nsrR|transcriptional_repressor_NsrR|K13771|Salmonella_infection|Evalue:5.4e-72|gene:000000028	0
elc:i14_4769|purA|adenylosuccinate_synthetase|K01939|Purine_metabolism;Alanine,_aspartate,_and_glutamate_metabolism;Metabolic_pathways|Evalue:2.6e-250|gene:000000029	1
edj:ECDH1ME8569_4033|yjeT|hypothetical_protein|K09937|no_pathway_id|Evalue:4.4e-29|gene:000000030	0
ebr:ECB_04042|hflC|FtsH_protease_regulator_HflC|K04087|no_pathway_id|Evalue:2.2e-164|gene:000000031	1
eso:O3O_02610|no_gene_symbols|FtsH_protease_regulator_HflK|K04088|no_pathway_id|Evalue:1.3e-182|gene:000000032	1
ell:WFL_22055|hflX|GTPase_HflX|K03665|no_pathway_id|Evalue:4.9e-238|gene:000000033	1
sgl:SG0337|hfq|RNA-binding_protein_Hfq|K03666|RNA_degradation|Evalue:6.3e-30|gene:000000034	1
ecw:EcE24377A_4729|miaA|tRNA_delta(2)-isopentenylpyrophosphate_transferase_(EC:2.5.1.75)|K00791|Zeatin_biosynthesis;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:6.2e-177|gene:000000035	1
elw:ECW_m4532|mutL|methyl-directed_mismatch_repair_protein|K03572|Mismatch_repair|Evalue:0.0e+00|gene:000000036	1
eoj:ECO26_5335|amiB|N-acetylmuramoyl-l-alanine_amidase_II|K01448|no_pathway_id|Evalue:1.3e-241|gene:000000037	0
esm:O3M_22710|no_gene_symbols|ADP-binding_protein|K06925|no_pathway_id|Evalue:8.6e-84|gene:000000038	1
eck:EC55989_4722|yjeF|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:2.0e-294|gene:000000039	1
elh:ETEC_4512|no_gene_symbols|putative_4Fe-4S_binding_protein|no_ko_id|no_pathway_id|Evalue:3.0e-226|gene:000000040	1
elu:UM146_21060|no_gene_symbols|oligoribonuclease_(EC:3.1.-.-)|K13288|Ribosome_biogenesis_in_eukaryotes|Evalue:7.0e-101|gene:000000041	0
ssn:SSON_4346|yjeQ|ribosome-associated_GTPase|K06949|no_pathway_id|Evalue:2.0e-200|gene:000000042	0
sfe:SFxv_4707|psd|phosphatidylserine_decarboxylase|K01613|Glycerophospholipid_metabolism;Metabolic_pathways|Evalue:6.3e-185|gene:000000043	0
eoj:ECO26_5328|yjeP|hypothetical_protein|K05802|no_pathway_id|Evalue:0.0e+00|gene:000000044	1
ecr:ECIAI1_4393|yjeM|putative_transporter|no_ko_id|no_pathway_id|Evalue:1.3e-271|gene:000000045	0
ecs:ECs5136|no_gene_symbols|lysyl-tRNA_synthetase_(EC:6.1.1.6)|K04568|Aminoacyl-tRNA_biosynthesis|Evalue:7.5e-186|gene:000000046	0
eoj:ECO26_5323|frdA|fumarate_reductase_flavoprotein_subunit|K00244|Citrate_cycle(TCA_cycle);Oxidative_phosphorylation;Toluene_degradation;Butanoate_metabolism;Carbon_fixation_pathways_in_prokaryotes;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Microbial_metabolism_in_diverse_environments;Carbon_metabolism;Two-component_system|Evalue:0.0e+00|gene:000000047	1
sfv:SFV_4312|frdB|fumarate_reductase_iron-sulfur_subunit_(EC:1.3.99.1)|K00245|Citrate_cycle(TCA_cycle);Oxidative_phosphorylation;Toluene_degradation;Butanoate_metabolism;Carbon_fixation_pathways_in_prokaryotes;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Microbial_metabolism_in_diverse_environments;Carbon_metabolism;Two-component_system|Evalue:4.1e-144|gene:000000048	1
elh:ETEC_4501|no_gene_symbols|fumarate_reductase_subunit_C|K00246|Citrate_cycle(TCA_cycle);Oxidative_phosphorylation;Toluene_degradation;Butanoate_metabolism;Carbon_fixation_pathways_in_prokaryotes;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Microbial_metabolism_in_diverse_environments;Carbon_metabolism;Two-component_system|Evalue:3.9e-69|gene:000000049	1
eso:O3O_02510|no_gene_symbols|fumarate_reductase_subunit_D|K00247|Citrate_cycle(TCA_cycle);Oxidative_phosphorylation;Toluene_degradation;Butanoate_metabolism;Carbon_fixation_pathways_in_prokaryotes;Metabolic_pathways;Biosynthesis_of_secondary_metabolites;Microbial_metabolism_in_diverse_environments;Carbon_metabolism;Two-component_system|Evalue:9.5e-62|gene:000000050	1
ecx:EcHS_A4394|ampC|beta-lactamase_(EC:3.5.2.6)|K01467|Penicillin_and_cephalosporin_biosynthesis;beta-Lactam_resistance;Biosynthesis_of_secondary_metabolites;Two-component_system|Evalue:7.2e-225|gene:000000051	1
