target_name	normalized_abundance
efl:EF62_1340|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:1.0e-16|gene:000000001	80
efs:EFS1_0789|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.1e-23|gene:000000002	141
efi:OG1RF_10696|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.6e-26|gene:000000003	91
k127_15896|flag=0|multi=1650.0000|len=33170_4|#|1320|#|1745|#|-1|#|ID=1_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.333|unknown:000000001	351
lbh:Lbuc_1929|no_gene_symbols|acetylornithine_deacetylase/succinyl-diaminopimelate_desuccinylase_(EC:3.5.1.18)|K01439|Lysine_biosynthesis;Metabolic_pathways;Microbial_metabolism_in_diverse_environments;Biosynthesis_of_amino_acids|Evalue:3.0e-101|gene:000000004	358
lfe:LAF_1008|no_gene_symbols|nucleoside_diphosphate_kinase|K00940|Purine_metabolism;Pyrimidine_metabolism;Metabolic_pathways;Biosynthesis_of_secondary_metabolites|Evalue:1.0e-54|gene:000000005	2007
lrr:N134_01990|no_gene_symbols|hydrolase|K07023|no_pathway_id|Evalue:1.3e-30|gene:000000006	522
lfe:LAF_0351|no_gene_symbols|hypothetical_protein|K07023|no_pathway_id|Evalue:4.1e-56|gene:000000007	392
k127_15896|flag=0|multi=1650.0000|len=33170_9|#|4372|#|4893|#|-1|#|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.471|unknown:000000002	855
ppe:PEPE_0055|no_gene_symbols|Beta-lactamase_class_A|no_ko_id|no_pathway_id|Evalue:1.0e-65|gene:000000008	858
ooe:OEOE_1718|no_gene_symbols|hypothetical_protein|no_ko_id|no_pathway_id|Evalue:5.0e-138|gene:000000009	2743
crn:CAR_c21690|nagA2|N-acetylglucosamine-6-phosphate_deacetylase_(EC:3.5.1.25)|K01443|Amino_sugar_and_nucleotide_sugar_metabolism;Biosynthesis_of_secondary_metabolites|Evalue:3.4e-121|gene:000000010	1239
efl:EF62_2179|agaS|Putative_tagatose-6-phosphate_ketose/aldose_isomerase|K02082|no_pathway_id|Evalue:2.5e-132|gene:000000011	1269
spn:SP_0064|no_gene_symbols|PTS_system_transporter_subunit_IIA|K02793|Fructose_and_mannose_metabolism;Amino_sugar_and_nucleotide_sugar_metabolism;Metabolic_pathways;Phosphotransferase_system_(PTS)|Evalue:1.4e-34|gene:000000012	960
ehr:EHR_01690|no_gene_symbols|PTS_system_transporter_subunit_IID|K02796|Fructose_and_mannose_metabolism;Amino_sugar_and_nucleotide_sugar_metabolism;Metabolic_pathways;Phosphotransferase_system_(PTS)|Evalue:4.3e-118|gene:000000013	1674
efl:EF62_2174|no_gene_symbols|PTS_system_sorbose-specific_IIC_component_family_protein|K02795|Fructose_and_mannose_metabolism;Amino_sugar_and_nucleotide_sugar_metabolism;Metabolic_pathways;Phosphotransferase_system_(PTS)|Evalue:4.1e-114|gene:000000014	1606
efu:HMPREF0351_12968|no_gene_symbols|PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB_(EC:2.7.1.69)|no_ko_id|no_pathway_id|Evalue:1.4e-60|gene:000000015	1564
sdt:SPSE_0106|no_gene_symbols|glycosyl_hydrolase_(EC:3.2.1.23)|K12308|Galactose_metabolism|Evalue:8.5e-212|gene:000000016	1717
