contigName	contigLen	normDepth
CD630_23310|Mannitol-1-phosphate_5-dehydrogenase        1152    1.5
CD630_07680|Sorbitol_6-phosphate_2-dehydrogenase        774     1.5
272563.8.peg.9|Chromosomal_replication_initiator_protein_DnaA	1320	4.0909
272563.8.peg.866|Glutamate_synthase	1443	0.104
272563.8.peg.871|Aconitate_hydratase_(EC_4.2.1.3)	1926	0.4413
272563.8.peg.872|Isocitrate_dehydrogenase	996	0.251
272563.8.peg.879|Phosphoribosylaminoimidazolecarboxamide_formyltransferase_(EC_2.1.2.3)	1176	0.8078
272563.8.peg.83|SSU_ribosomal_protein_S10p_(S20e)	312	562.3397
272563.8.peg.84|LSU_ribosomal_protein_L3p_(L3e)	630	357.5397
272563.8.peg.893|Oligopeptide_ABC_transporter,_substrate-binding_protein_OppA_(TC_3.A.1.5.1)	1569	8.3811
272563.8.peg.894|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppD_(TC_3.A.1.5.1)	1026	4.2885
272563.8.peg.895|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppF_(TC_3.A.1.5.1)	138	3.6232
272563.8.peg.896|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppF_(TC_3.A.1.5.1)	627	3.8278
272563.8.peg.85|LSU_ribosomal_protein_L4p_(L1e)	624	261.1378
272563.8.peg.901|PTS_system,_cellobiose-specific_IIC_component	1290	0.0388
272563.8.peg.902|PTS_system,_cellobiose-specific_IIA_component_(EC_2.7.1.205)	330	0.0
272563.8.peg.903|Maltose-6'-phosphate_glucosidase_(EC_3.2.1.122)	1329	0.1881
272563.8.peg.86|LSU_ribosomal_protein_L23p_(L23Ae)	291	257.9038
272563.8.peg.907|Predicted_molybdate-responsive_regulator_YvgK_in_bacilli	930	0.6452
272563.8.peg.87|LSU_ribosomal_protein_L2p_(L8e)	831	596.1492
272563.8.peg.911|Maltose_O-acetyltransferase_(EC_2.3.1.79)	558	0.1792
272563.8.peg.88|SSU_ribosomal_protein_S19p_(S15e)	282	679.7872
272563.8.peg.89|LSU_ribosomal_protein_L22p_(L17e)	336	637.3512
272563.8.peg.90|SSU_ribosomal_protein_S3p_(S3e)	816	412.5613
272563.8.peg.921|Glucose-1-phosphate_adenylyltransferase_(EC_2.7.7.27)	1161	0.3876
272563.8.peg.922|Glycogen_biosynthesis_protein_GlgD,_glucose-1-phosphate_adenylyltransferase_family	1131	0.1326
272563.8.peg.923|Glycogen_synthase,_ADP-glucose_transglucosylase_(EC_2.4.1.21)	1443	1.5593
272563.8.peg.924|Glycogen_phosphorylase_(EC_2.4.1.1)	2421	1.012
272563.8.peg.91|LSU_ribosomal_protein_L16p_(L10e)	432	307.7546
272563.8.peg.927|Arginine_decarboxylase_(EC_4.1.1.19)	1476	0.1355
272563.8.peg.928|S-adenosylmethionine_decarboxylase_proenzyme_(EC_4.1.1.50),_prokaryotic_class_1B	414	2.0531
272563.8.peg.929|Spermidine_synthase_(EC_2.5.1.16)	852	0.7629
272563.8.peg.930|Agmatinase_(EC_3.5.3.11)	879	0.9101
272563.8.peg.92|LSU_ribosomal_protein_L29p_(L35e)	204	179.4118
272563.8.peg.93|SSU_ribosomal_protein_S17p_(S11e)	255	28.4314
272563.8.peg.94|LSU_ribosomal_protein_L14p_(L23e)	369	795.393
272563.8.peg.95|LSU_ribosomal_protein_L24p_(L26e)	309	482.8479
272563.8.peg.96|LSU_ribosomal_protein_L5p_(L11e)	543	118.0479
272563.8.peg.97|SSU_ribosomal_protein_S14p_(S29e)_@_SSU_ribosomal_protein_S14p_(S29e),_zinc-dependent	186	354.0323
272563.8.peg.98|SSU_ribosomal_protein_S8p_(S15Ae)	399	825.4386
272563.8.peg.99|LSU_ribosomal_protein_L6p_(L9e)	543	546.4088
272563.8.peg.100|LSU_ribosomal_protein_L18p_(L5e)	369	442.6829
272563.8.peg.101|SSU_ribosomal_protein_S5p_(S2e)	510	361.5686
272563.8.peg.102|LSU_ribosomal_protein_L30p_(L7e)	186	182.7957
272563.8.peg.103|LSU_ribosomal_protein_L15p_(L27Ae)	444	124.5495
272563.8.peg.105|Adenylate_kinase_(EC_2.7.4.3)	651	189.4777
272563.8.peg.1023|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	816	0.0
272563.8.peg.106|Methionine_aminopeptidase_(EC_3.4.11.18)	747	32.3293
272563.8.peg.1034|Phosphoserine_phosphatase_(EC_3.1.3.3)	474	0.0
272563.8.peg.109|LSU_ribosomal_protein_L36p_@_LSU_ribosomal_protein_L36p,_zinc-dependent	114	39.0351
272563.8.peg.1040|2-isopropylmalate_synthase_(EC_2.3.3.13)	1743	0.0861
272563.8.peg.1041|3-isopropylmalate_dehydratase_large_subunit_(EC_4.2.1.33)	1278	0.1956
272563.8.peg.110|SSU_ribosomal_protein_S13p_(S18e)	372	279.9731
272563.8.peg.1042|3-isopropylmalate_dehydratase_small_subunit_(EC_4.2.1.33)	492	0.1016
272563.8.peg.1043|3-isopropylmalate_dehydrogenase_(EC_1.1.1.85)	1071	0.0467
272563.8.peg.1045|Serine--pyruvate_aminotransferase_(EC_2.6.1.51)	1077	1.3928
272563.8.peg.111|SSU_ribosomal_protein_S11p_(S14e)	399	794.2356
272563.8.peg.1046|D-3-phosphoglycerate_dehydrogenase_(EC_1.1.1.95)	942	1.0085
272563.8.peg.112|SSU_ribosomal_protein_S4p_(S9e)_@_SSU_ribosomal_protein_S4p_(S9e),_zinc-dependent	624	919.7917
272563.8.peg.113|DNA-directed_RNA_polymerase_alpha_subunit_(EC_2.7.7.6)	948	344.2511
272563.8.peg.1052|ABC_transporter,_ATP-binding_protein_(cluster_10,_nitrate/sulfonate/bicarbonate)	699	0.0715
272563.8.peg.1054|Fumarate_hydratase_class_I,_alpha_region_(EC_4.2.1.2);_L(+)-tartrate_dehydratase_alpha_subunit_(EC_4.2.1.32)	840	0.7143
272563.8.peg.1055|Fumarate_hydratase_class_I,_beta_region_(EC_4.2.1.2);_L(+)-tartrate_dehydratase_beta_subunit_(EC_4.2.1.32)	549	0.2732
272563.8.peg.1056|NADP-dependent_malic_enzyme_(EC_1.1.1.40)	1182	2.1997
272563.8.peg.1062|Glucosamine-6-phosphate_deaminase_(EC_3.5.99.6)	750	0.9333
272563.8.peg.114|LSU_ribosomal_protein_L17p	342	1334.0643
272563.8.peg.1085|UDP-N-acetylglucosamine_2-epimerase_(EC_5.1.3.14)	1125	0.4889
272563.8.peg.1086|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	975	0.0513
272563.8.peg.1087|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	2019	2.0555
